"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
308	315	"Brown Lake"	40.68056	-82.0625	755	"AWI"	755	7989	13694	10757	0	0	0	0.27027027027027	0	0	0	0.810810810810811	6.48648648648649	0.27027027027027	0	0	2.7027027027027	0.27027027027027	1.62162162162162	0	0.27027027027027	2.7027027027027	0.540540540540541	0	0	0	2.97297297297297	0.27027027027027	0	0.540540540540541	6.21621621621622	0.27027027027027	65.6756756756757	0.810810810810811	0	0	0	0.540540540540541	0.27027027027027	0.27027027027027	0.540540540540541	5.67567567567568	0
308	315	"Brown Lake"	40.68056	-82.0625	815	"AWI"	815	8911	14536	11613	0.265957446808511	0	0	0	0	0	0	0.531914893617021	6.64893617021277	0	0.265957446808511	0.265957446808511	0.797872340425532	0	2.65957446808511	0	0	3.98936170212766	0	0	0	0	5.0531914893617	0.265957446808511	7.97872340425532	1.59574468085106	2.12765957446809	0.265957446808511	60.3723404255319	0	0	0	0.265957446808511	0	0	0.797872340425532	0.531914893617021	5.31914893617021	0
308	315	"Brown Lake"	40.68056	-82.0625	855	"AWI"	855	9498	15079	12191	0	0	0	0	0	0.303030303030303	0	0	6.96969696969697	0	0	0	1.51515151515152	0	2.72727272727273	0	0.606060606060606	0	0.606060606060606	0	0	0.606060606060606	6.06060606060606	0	6.06060606060606	0.606060606060606	3.03030303030303	0	57.5757575757576	0	0	0.303030303030303	0	0.303030303030303	0	0	0.303030303030303	12.4242424242424	0
308	315	"Brown Lake"	40.68056	-82.0625	895	"AWI"	895	10093	15620	12774	0	0	0.540540540540541	0	0	0.27027027027027	0	0.540540540540541	2.43243243243243	0	0.27027027027027	0	0.540540540540541	0	0.810810810810811	0	0	0	0.27027027027027	0	0.27027027027027	0	15.4054054054054	0.27027027027027	19.4594594594595	0.810810810810811	0	0	45.945945945946	0	0	0	0	0.27027027027027	0	0.540540540540541	1.08108108108108	10.2702702702703	0
308	315	"Brown Lake"	40.68056	-82.0625	915	"AWI"	915	10363	15915	13056	0	1.55038759689922	1.29198966408269	0	0	0	0	0	2.58397932816537	0	0	0	0.516795865633075	0	0.516795865633075	0	0.258397932816538	0	0	0	0.258397932816538	0	11.8863049095607	0.775193798449612	44.9612403100775	0.516795865633075	0.775193798449612	0	26.3565891472868	0	0	0	0	0	0	0.516795865633075	1.29198966408269	5.94315245478036	0
308	315	"Brown Lake"	40.68056	-82.0625	975	"AWI"	975	11370	16745	13914	2.45098039215686	0	1.7156862745098	0.245098039215686	0	0.490196078431373	0	4.41176470588235	0.980392156862745	0	0	0	0.735294117647059	0.245098039215686	1.7156862745098	0	0	5.3921568627451	0	0	1.47058823529412	0	4.65686274509804	5.88235294117647	46.3235294117647	0	0.245098039215686	0.490196078431373	9.06862745098039	0	0	0	0	0.245098039215686	0	0	2.94117647058824	10.2941176470588	0
308	315	"Brown Lake"	40.68056	-82.0625	1035	"AWI"	1035	12424	17454	14733	2.68096514745308	0	1.60857908847185	0	0	1.34048257372654	1.34048257372654	2.41286863270777	0.268096514745308	0	0	0	0.536193029490617	0	3.75335120643432	0	0	0	0	0	1.60857908847185	0	7.77479892761394	12.6005361930295	38.6058981233244	0	2.14477211796247	0	15.0134048257373	0	0.268096514745308	0	0.268096514745308	1.60857908847185	0.268096514745308	0.268096514745308	2.14477211796247	3.48525469168901	0
308	315	"Brown Lake"	40.68056	-82.0625	1055	"AWI"	1055	12729	17760	15016	10.1983002832861	0	0.28328611898017	0	0	0	0	0.28328611898017	0.28328611898017	0	0.56657223796034	0	2.54957507082153	0	4.24929178470255	0	0	8.78186968838527	0.56657223796034	0.56657223796034	0.28328611898017	0	20.6798866855524	14.1643059490085	6.51558073654391	0	9.06515580736544	0.28328611898017	14.7308781869688	0	0	0	0	1.13314447592068	0.56657223796034	0	0.28328611898017	3.96600566572238	0
308	315	"Brown Lake"	40.68056	-82.0625	1095	"AWI"	1095	13382	18435	15698	8.05970149253731	0	1.19402985074627	0	0	0.298507462686567	0	0.298507462686567	1.7910447761194	0.298507462686567	0	0	2.08955223880597	0	3.88059701492537	0	0	13.4328358208955	0.298507462686567	0	0.298507462686567	0	14.0298507462687	23.8805970149254	0	0.298507462686567	5.07462686567164	0.298507462686567	19.7014925373134	0.298507462686567	0	0	0	0.298507462686567	0.298507462686567	0	0.298507462686567	3.58208955223881	0
308	315	"Brown Lake"	40.68056	-82.0625	1135	"AWI"	1135	14001	19203	16428	1.16618075801749	0	0.87463556851312	0.291545189504373	0	2.04081632653061	0	0.87463556851312	0.87463556851312	0	0.291545189504373	0	0.583090379008746	0	4.66472303206997	0	0	9.32944606413994	0	0	0	0	16.0349854227405	43.731778425656	0	0	4.08163265306122	0	12.8279883381924	0.291545189504373	0.291545189504373	0	0.291545189504373	0.291545189504373	0	0	0	1.16618075801749	0
