"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
308	315	"Brown Lake"	40.68056	-82.0625	755	"AWI"	755	7989	13694	10757	0	0	0	1	0	0	0	3	24	1	0	0	10	1	6	0	1	10	2	0	0	0	11	1	0	2	23	1	243	3	0	0	0	2	1	1	2	21	0
308	315	"Brown Lake"	40.68056	-82.0625	815	"AWI"	815	8911	14536	11613	1	0	0	0	0	0	0	2	25	0	1	1	3	0	10	0	0	15	0	0	0	0	19	1	30	6	8	1	227	0	0	0	1	0	0	3	2	20	0
308	315	"Brown Lake"	40.68056	-82.0625	855	"AWI"	855	9498	15079	12191	0	0	0	0	0	1	0	0	23	0	0	0	5	0	9	0	2	0	2	0	0	2	20	0	20	2	10	0	190	0	0	1	0	1	0	0	1	41	0
308	315	"Brown Lake"	40.68056	-82.0625	895	"AWI"	895	10093	15620	12774	0	0	2	0	0	1	0	2	9	0	1	0	2	0	3	0	0	0	1	0	1	0	57	1	72	3	0	0	170	0	0	0	0	1	0	2	4	38	0
308	315	"Brown Lake"	40.68056	-82.0625	915	"AWI"	915	10363	15915	13056	0	6	5	0	0	0	0	0	10	0	0	0	2	0	2	0	1	0	0	0	1	0	46	3	174	2	3	0	102	0	0	0	0	0	0	2	5	23	0
308	315	"Brown Lake"	40.68056	-82.0625	975	"AWI"	975	11370	16745	13914	10	0	7	1	0	2	0	18	4	0	0	0	3	1	7	0	0	22	0	0	6	0	19	24	189	0	1	2	37	0	0	0	0	1	0	0	12	42	0
308	315	"Brown Lake"	40.68056	-82.0625	1035	"AWI"	1035	12424	17454	14733	10	0	6	0	0	5	5	9	1	0	0	0	2	0	14	0	0	0	0	0	6	0	29	47	144	0	8	0	56	0	1	0	1	6	1	1	8	13	0
308	315	"Brown Lake"	40.68056	-82.0625	1055	"AWI"	1055	12729	17760	15016	36	0	1	0	0	0	0	1	1	0	2	0	9	0	15	0	0	31	2	2	1	0	73	50	23	0	32	1	52	0	0	0	0	4	2	0	1	14	0
308	315	"Brown Lake"	40.68056	-82.0625	1095	"AWI"	1095	13382	18435	15698	27	0	4	0	0	1	0	1	6	1	0	0	7	0	13	0	0	45	1	0	1	0	47	80	0	1	17	1	66	1	0	0	0	1	1	0	1	12	0
308	315	"Brown Lake"	40.68056	-82.0625	1135	"AWI"	1135	14001	19203	16428	4	0	3	1	0	7	0	3	3	0	1	0	2	0	16	0	0	32	0	0	0	0	55	150	0	0	14	0	44	1	1	0	1	1	0	0	0	4	0
308	315	"Brown Lake"	40.68056	-82.0625	1155	"AWI"	1155	14365	19640	16778	0	0	12	0	0	2	0	8	2	0	1	0	1	0	26	0	0	29	0	0	3	0	26	163	0	1	27	0	39	1	0	0	1	1	1	0	0	5	0
308	315	"Brown Lake"	40.68056	-82.0625	1195	"AWI"	1195	14956	20521	17529	0	0	11	0	0	4	4	5	1	0	0	0	0	1	16	0	0	14	3	0	1	0	12	200	0	0	22	1	31	1	1	1	1	3	0	0	0	0	0
308	315	"Brown Lake"	40.68056	-82.0625	1215	"AWI"	1215	15361	20805	17901	0	0	10	0	0	5	0	2	2	0	0	0	0	0	23	1	0	0	3	0	3	0	6	142	0	0	17	0	12	0	0	0	0	2	1	0	0	1	1
308	315	"Brown Lake"	40.68056	-82.0625	1335	"AWI"	1335	17450	23194	20058	1	0	7	0	1	6	0	5	2	0	0	0	0	3	22	0	0	0	5	0	4	0	6	185	0	0	20	0	13	0	0	1	0	1	2	0	0	1	0
308	315	"Brown Lake"	40.68056	-82.0625	1375	"AWI"	1375	18126	23939	20788	0	0	4	1	0	10	0	0	0	1	0	0	0	0	17	0	0	0	4	0	2	0	1	259	0	0	12	0	15	0	0	0	0	1	0	0	0	3	0
