"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Isoëtes"	"Liliaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
1560	1604	"Lake PWWL"	73.59139	-98.53889	0.5	"AWI"	0.5	-84.5	136.5	18.5	0	0	1	4	0	16	6	4	1	0	48	0	0	13	1	0	0	4	0	6	10	8	0	23	16	0	6	0	0	10	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	2	"AWI"	2	-22	440	190	0	0	0	3	0	22	5	2	0	0	82	0	0	21	0	0	0	0	0	0	11	0	0	31	0	0	0	0	0	0	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	6.5	"AWI"	6.5	261	1246.5	702.5	0	29	2	5	3	15	1	1	0	0	85	0	0	31	0	0	0	0	0	2	25	36	0	17	0	0	2	0	0	0	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	21.5	"AWI"	21.5	1428	2238	1805	0	16	0	7	0	24	9	0	1	0	34	0	0	26	0	0	0	1	1	2	17	24	0	11	0	0	1	0	0	0	2
1560	1604	"Lake PWWL"	73.59139	-98.53889	39	"AWI"	39	2267	2898	2588	1	37	0	5	0	16	6	3	0	0	69	0	0	21	0	1	1	9	0	0	12	43	1	17	0	2	5	8	0	9	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	50.5	"AWI"	50.5	2772	3830	3218	0	24	0	6	0	20	2	3	1	1	40	3	0	14	0	0	0	0	0	1	7	45	0	10	0	0	2	0	0	0	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	60	"AWI"	60	3222	4422	3832	0	24	1	3	0	20	9	2	0	0	82	0	0	18	0	0	0	0	1	1	21	37	0	6	0	0	2	0	0	0	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	80.5	"AWI"	80.5	4826	6601	5529	0	0	0	3	0	26	0	0	0	0	87	0	0	24	0	0	0	0	0	2	24	26	0	8	0	0	0	0	0	0	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	95.5	"AWI"	95.5	6309.5	7940.5	7323	0	0	1	6	0	39	2	0	0	0	88	0	0	22	0	0	0	0	0	2	6	0	1	14	0	0	0	0	32	0	1
1560	1604	"Lake PWWL"	73.59139	-98.53889	124.5	"AWI"	124.5	7526	9881.5	8672	0	10	0	1	0	34	0	0	0	0	20	0	0	36	0	0	0	0	0	1	25	0	3	10	0	0	0	0	0	0	0
1560	1604	"Lake PWWL"	73.59139	-98.53889	158.5	"AWI"	158.5	8976.5	11849	10316	0	0	0	1	0	73	0	0	0	0	19	0	0	35	0	0	0	0	0	4	24	0	0	13	0	0	0	0	0	0	0
