"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Allophylus"	"Alnus"	"Amaranthaceae"	"Apeiba"	"Apiaceae"	"Araucaria"	"Arecaceae"	"Asteraceae"	"Banara"	"Begoniaceae"	"Buddleja"	"Caprifoliaceae"	"Caryophyllaceae"	"Cassia"	"Casuarina"	"Cecropia"	"Celtis"	"Chrysophyllum"	"Clethra"	"Cordia"	"Cyathea cf. C. delgadoi"	"Cyperaceae"	"Didymopanax"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Ficus"	"Gordonia"	"Guettarda"	"Hedyosmum"	"Hieronyma"	"Ilex"	"Indeterminable"	"Iridaceae"	"Isoëtes"	"Lamanonia"	"Lamiaceae"	"Lithraea"	"Luehea"	"Lythraceae"	"Malpighiaceae"	"Melastomataceae"	"Myrsine"	"Myrtaceae"	"Nothofagus"	"Ocotea"	"Oxalidaceae"	"Peraceae"	"Petiveriaceae"	"Pinus"	"Piper"	"Piperaceae"	"Piptadenia"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polygalaceae"	"Polygonaceae"	"Ranunculaceae"	"Rhamnus"	"Rubiaceae"	"Salix"	"Sapindaceae"	"Solanaceae"	"Styrax"	"Tapirira"	"Trema"	"Urticaceae"	"Verbenaceae"	"Weinmannia"	"Xyridaceae"	"Zanthoxylum"
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	0	"AWI"	0	-139	24	-52	15	0	0	0	0	0	9	4	0	0	0	0	0	0	1	1	1	1	0	2	0	0	110	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	0	0	0	0	6	33	3	0	0	0	0	1	40	1	0	0	0	185	3	1	0	0	0	0	0	0	2	1	0	9	10	1	0	4	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	10	"AWI"	10	7	647	246	14	0	0	0	1	0	26	7	0	0	0	0	0	0	1	0	3	2	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	5	21	1	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	1	0	9	24	0	4	12	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	15	"AWI"	15	98	812	400	12	0	1	0	0	0	37	7	0	0	0	0	0	0	1	0	1	7	0	0	0	1	47	0	0	2	0	0	1	0	0	0	1	1	16	0	0	0	0	0	1	0	0	11	38	1	0	0	0	0	4	0	2	0	0	0	254	2	0	0	0	0	0	0	0	1	0	0	4	18	0	3	4	2
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	20	"AWI"	20	207	955	554	13	0	1	0	0	0	55	3	0	0	0	0	0	0	0	0	1	4	0	1	0	1	64	2	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	5	0	0	0	8	31	7	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	14	0	2	10	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	25	"AWI"	25	336	1117	713	9	0	1	0	1	0	25	4	0	0	1	0	0	0	0	0	1	5	0	1	0	0	69	1	0	1	0	0	0	0	0	0	0	0	18	0	0	0	0	2	0	0	1	0	27	3	0	0	0	0	0	0	1	0	0	0	261	0	0	0	0	0	0	0	0	2	1	0	19	13	0	4	15	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	30	"AWI"	30	475	1219	867	12	1	0	0	0	0	26	0	0	1	0	0	0	0	0	0	1	7	0	0	0	2	84	0	0	4	0	0	0	0	0	0	3	1	12	0	0	2	0	1	0	0	0	6	38	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	11	17	0	2	4	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	35	"AWI"	35	630	1328	1010	13	0	0	0	0	0	28	1	0	1	0	0	0	0	0	0	0	6	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	6	48	5	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	6	13	0	6	14	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	40	"AWI"	40	815	1432	1153	4	0	1	0	0	0	49	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	92	0	0	1	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	8	23	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	20	0	3	9	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	45	"AWI"	45	1048	1531	1294	8	0	0	0	0	0	45	4	0	1	0	0	0	0	0	0	0	3	0	2	0	0	92	0	0	0	0	0	0	0	0	0	1	0	14	0	0	0	0	0	0	0	0	7	20	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	17	0	5	4	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	50	"AWI"	50	1296	1728	1469	11	0	0	0	0	0	18	2	0	1	0	0	0	0	0	0	0	6	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	8	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	12	0	0	5	2
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	55	"AWI"	55	1439	2203	1723	12	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	71	0	0	0	0	0	0	0	0	2	0	1	11	0	0	0	0	0	0	0	0	3	29	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	4	10	0	3	4	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	60	"AWI"	60	1608	2514	2013	10	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	1	0	2	0	0	0	0	0	0	0	0	8	0	0	1	0	1	0	0	0	6	34	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	3	5	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	65	"AWI"	65	1841	2767	2314	6	0	1	0	0	0	10	1	0	1	0	0	0	0	1	0	1	7	0	0	1	0	65	0	0	6	0	0	0	0	0	1	0	0	10	0	0	0	0	3	1	0	0	3	33	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	1	0	7	15	0	7	18	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	70	"AWI"	70	2144	2985	2625	14	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	1	2	0	1	0	0	50	0	0	0	0	0	0	0	0	0	0	1	15	0	0	1	0	2	0	0	0	7	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	11	0	3	18	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	75	"AWI"	75	2642	3459	2988	14	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	44	0	0	0	0	0	0	0	0	0	0	0	17	0	0	1	0	22	0	0	0	9	27	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	18	0	8	18	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	80	"AWI"	80	2973	4606	3522	19	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	33	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	4	23	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	0	1	34	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	85	"AWI"	85	3278	5679	4148	7	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	28	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	4	0	0	0	5	21	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	2	9	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	90	"AWI"	90	3678	6450	4830	11	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	18	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	9	0	2	8	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	95	"AWI"	95	4113	7157	5519	7	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	1	2	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	100	"AWI"	100	4542	7916	6194	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	6	0	2	1	0
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	105	"AWI"	105	5194	8511	6908	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	3	1	1
843	872	"Serra Campos Gerais"	-24.66667	-50.21667	110	"AWI"	110	5833	9050	7636	5	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	82	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	0	1	14	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	12	0	4	2	0
