"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
1404	1441	"Karginskii Cape Peat Exposure"	70	85	5	"AWI"	5	1008	1347	1154	0	95	1	1	3	0	296	2	0	2	27	0	15	48	6	2	0	7	1	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	10	"AWI"	10	1207	1562	1378	0	0	0	0	35	10	270	0	0	7	32	0	15	45	49	0	0	30	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	15	"AWI"	15	3365	3629	3514	0	0	228	0	0	0	0	0	0	1	24	0	0	0	2	0	0	60	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	30	"AWI"	30	3757	4448	4103	0	0	20	0	20	0	0	0	0	5	100	0	28	0	10	0	0	0	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	40	"AWI"	40	4032	4726	4391	0	78	5	0	10	0	255	0	0	2	5	0	0	0	1	0	0	0	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	50	"AWI"	50	4320	4957	4666	0	30	2	19	5	0	0	0	0	5	20	10	0	0	5	0	0	5	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	57	"AWI"	57	4511	5077	4830	0	0	10	0	5	0	221	0	0	1	5	0	10	0	2	0	0	5	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	78	"AWI"	78	5188	5665	5421	160	0	0	0	2	0	0	0	0	20	60	0	0	0	40	0	1	3	0	2
1404	1441	"Karginskii Cape Peat Exposure"	70	85	90	"AWI"	90	5862	6258	6088	140	45	3	0	5	0	0	3	2	0	70	0	5	15	35	0	0	4	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	110	"AWI"	110	6289	6612	6398	0	49	5	0	7	0	0	0	0	10	80	0	25	0	0	6	0	0	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	120	"AWI"	120	6862	7546	7231	0	53	6	1	7	0	0	0	1	7	87	0	35	0	13	0	0	0	12	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	130	"AWI"	130	7472	7813	7675	0	0	7	0	6	0	130	0	0	0	60	0	20	0	20	0	0	7	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	135	"AWI"	135	7560	7888	7747	0	13	8	2	5	0	0	3	0	0	45	0	0	0	10	0	0	6	1	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	140	"AWI"	140	7653	7950	7816	120	11	0	0	0	0	0	0	0	0	10	0	10	0	15	0	0	3	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	150	"AWI"	150	7810	8081	7947	135	7	10	0	10	0	0	2	0	35	20	0	7	0	35	0	0	7	0	5
1404	1441	"Karginskii Cape Peat Exposure"	70	85	155	"AWI"	155	7876	8141	8016	0	10	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	165	"AWI"	165	8096	8375	8200	120	120	10	0	0	15	0	0	0	35	10	2	30	0	20	5	0	15	0	10
1404	1441	"Karginskii Cape Peat Exposure"	70	85	170	"AWI"	170	8455	8923	8724	110	150	0	0	0	10	0	3	0	40	15	2	10	0	18	0	0	10	1	0
1404	1441	"Karginskii Cape Peat Exposure"	70	85	175	"AWI"	175	8778	9393	9003	0	190	35	0	35	5	0	0	0	8	7	0	0	0	21	0	1	5	0	1
