"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygalaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Vitaceae"
326	333	"Camp 12 Lake"	45.985066	-89.38065	0.25	"AWI"	0.25	-44.5	-3	-23	0	0	6	5	2	0	62	0	0	0	0	0	0	1	0	0	0	0	0	11	2	0	0	0	0	0	2	0	0	2	0	0	0	29	0	0	0	0	1	5	1
326	333	"Camp 12 Lake"	45.985066	-89.38065	1.25	"AWI"	1.25	-38.75	1	-18.75	0	0	6	11	4	0	66	0	0	0	0	2	0	1	0	0	0	0	1	0	4	0	0	0	1	1	4	95	0	4	0	4	0	28	0	0	0	0	4	4	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	2.25	"AWI"	2.25	-33.5	5	-13.75	0	0	10	4	3	0	80	0	1	0	0	3	0	1	0	0	0	0	1	3	0	0	0	0	0	4	4	117	0	2	0	0	0	35	0	3	0	0	2	6	1
326	333	"Camp 12 Lake"	45.985066	-89.38065	3.25	"AWI"	3.25	-27.75	9.25	-8.75	0	0	14	4	2	0	50	0	1	0	0	2	0	1	0	1	0	3	1	0	0	2	0	0	0	0	4	123	0	4	2	0	0	20	0	0	0	0	2	4	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	4.25	"AWI"	4.25	-22.5	14	-3.75	0	0	7	9	3	0	51	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	4	5	129	0	10	0	0	0	15	0	2	0	0	3	8	1
326	333	"Camp 12 Lake"	45.985066	-89.38065	5.25	"AWI"	5.25	-16.75	18.25	1	0	0	13	6	5	0	53	0	0	0	1	4	2	3	0	0	0	0	1	1	4	0	0	1	3	8	2	114	0	11	0	0	0	21	2	0	1	0	7	1	1
326	333	"Camp 12 Lake"	45.985066	-89.38065	6.25	"AWI"	6.25	-11.75	23.25	5.25	2	0	6	3	4	0	62	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	9	2	106	0	5	0	1	1	15	0	2	0	1	8	3	1
326	333	"Camp 12 Lake"	45.985066	-89.38065	7.25	"AWI"	7.25	-6.75	28.25	10.25	0	0	18	0	1	25	49	1	0	1	0	4	0	1	0	0	0	0	1	3	1	1	0	0	0	5	1	113	0	10	0	2	0	18	0	1	0	1	14	1	1
326	333	"Camp 12 Lake"	45.985066	-89.38065	8.25	"AWI"	8.25	-2	33.25	15.25	0	0	11	4	3	0	91	0	0	0	0	1	0	0	0	0	0	3	2	5	12	0	1	0	0	10	8	162	0	11	1	1	0	16	0	0	0	0	8	5	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	9.25	"AWI"	9.25	2.25	38.25	20.25	1	0	9	2	6	0	74	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	6	4	178	1	7	0	1	0	10	0	0	0	0	10	0	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	11.75	"AWI"	11.75	14	49.75	31.75	0	0	5	1	2	0	50	0	0	0	0	0	0	2	0	0	0	0	0	1	8	1	0	0	0	4	4	121	0	1	0	0	0	10	0	1	0	0	9	2	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	12.75	"AWI"	12.75	18	54.75	36.75	0	0	8	0	2	0	59	0	0	0	0	0	0	0	0	0	0	0	0	2	8	1	0	0	0	3	6	159	0	3	0	0	0	8	0	1	0	0	9	7	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	15.25	"AWI"	15.25	29	68	48	0	0	3	0	3	0	48	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	1	7	124	0	1	0	0	0	4	0	1	0	0	12	3	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	17.25	"AWI"	17.25	37	77.5	57.25	2	0	2	1	4	0	53	0	0	0	0	1	0	1	0	0	0	0	0	1	6	0	0	0	1	4	6	161	0	3	0	0	0	17	0	1	0	0	9	3	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	28.75	"AWI"	28.75	85	135	108.75	0	0	2	0	3	0	27	0	1	0	0	0	0	0	0	0	0	0	0	2	6	1	0	0	0	4	6	158	0	0	0	0	0	10	0	2	0	0	9	1	0
326	333	"Camp 12 Lake"	45.985066	-89.38065	39.5	"AWI"	39.5	130	186.5	157.5	1	0	4	0	5	0	78	0	0	0	0	2	0	1	0	0	1	0	0	1	2	0	0	0	0	2	3	306	0	3	0	1	0	17	0	1	0	0	17	7	0
