"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	0	"AWI"	0	930	3437	2000	132	0	0	3	6	80	0	3	22	20	1	1	0	0	0	35	2	0	16	0	0	0	10	13	5	1
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	40	"AWI"	40	3014	5345	4227	131	0	0	15	5	120	0	13	26	56	5	0	0	0	3	11	0	34	27	0	9	3	5	18	4	5
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	65	"AWI"	65	4308	6444	5585	75	0	0	13	2	101	0	11	15	24	3	2	0	0	1	39	0	0	24	0	0	0	3	14	0	6
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	80	"AWI"	80	5396	7037	6356	24	0	0	7	3	19	0	9	14	26	1	1	0	0	0	18	7	0	13	0	4	0	2	2	2	5
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	100	"AWI"	100	7194	7534	7408	180	2	1	7	25	159	0	11	39	60	3	0	0	0	0	27	6	18	9	0	0	0	30	21	3	8
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	120	"AWI"	120	7923	8484	8241	320	0	0	2	3	170	0	1	260	30	1	0	0	0	0	10	1	0	7	0	0	0	12	3	0	1
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	135	"AWI"	135	8502	8937	8688	240	0	1	2	2	117	0	1	130	31	0	1	0	0	0	6	3	0	5	0	2	0	2	3	1	0
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	150	"AWI"	150	8824	9295	9032	310	0	1	7	3	181	4	7	38	70	3	0	0	0	0	8	1	0	17	0	0	0	9	4	0	1
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	165	"AWI"	165	10013	10623	10348	123	0	1	2	5	70	5	3	1	13	1	0	0	0	0	11	2	0	13	0	0	0	3	15	2	0
779	799	"Enmyvaam River, 2.5-3 m terrace"	67.43333	172.16667	180	"AWI"	180	10479	11516	10811	185	0	0	2	4	176	0	7	10	26	4	0	0	9	0	12	2	0	12	3	0	0	8	8	1	3
