"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Solanaceae"
32	32	"Amarete"	-15.23333	-68.98333	0	"AWI"	0	-139	32	-62	0.684931506849315	0	0	0	0	0	0	0.684931506849315	0	0	0.684931506849315	0	1.36986301369863	2.73972602739726	86.986301369863	6.16438356164384	0.684931506849315	0
32	32	"Amarete"	-15.23333	-68.98333	20	"AWI"	20	-15	1645	488	0.182592818015825	0.365185636031649	1.39987827145466	9.31223371880706	0.121728545343883	0.182592818015825	0.121728545343883	0	0.121728545343883	0	85.2099817407182	0	0.121728545343883	1.4607425441266	0.304321363359708	0.730371272063299	0	0.365185636031649
32	32	"Amarete"	-15.23333	-68.98333	40	"AWI"	40	39	3359	1032	0.19047619047619	1.23809523809524	0	11.9047619047619	0.0952380952380952	0.476190476190476	0	0	0.380952380952381	0	76.1904761904762	0.0952380952380952	0.19047619047619	1.80952380952381	5.14285714285714	1.23809523809524	0	1.04761904761905
32	32	"Amarete"	-15.23333	-68.98333	60	"AWI"	60	406	4348	1741	1.46341463414634	1.95121951219512	0	73.6585365853659	0	0.48780487804878	0	0	0.48780487804878	0	5.36585365853659	0	0.48780487804878	0.48780487804878	12.6829268292683	2.92682926829268	0	0
32	32	"Amarete"	-15.23333	-68.98333	80	"AWI"	80	701	4895	2639	1.13636363636364	0	0	0	0	8.52272727272727	0	1.13636363636364	3.40909090909091	0	21.5909090909091	0	1.13636363636364	5.68181818181818	46.0227272727273	9.09090909090909	1.13636363636364	1.13636363636364
32	32	"Amarete"	-15.23333	-68.98333	100	"AWI"	100	945	6130	3337	0	0	0	0	1.17647058823529	17.6470588235294	0	3.52941176470588	3.52941176470588	0	27.0588235294118	0	1.17647058823529	4.70588235294118	35.2941176470588	5.88235294117647	0	0
32	32	"Amarete"	-15.23333	-68.98333	120	"AWI"	120	1747	6441	3941	0	0	0	0	0	9.09090909090909	0	3.03030303030303	6.06060606060606	0	15.1515151515152	0	0	0	48.4848484848485	15.1515151515152	0	3.03030303030303
32	32	"Amarete"	-15.23333	-68.98333	140	"AWI"	140	2115	6906	4606	0	0	0	0	0	17.8947368421053	0	1.05263157894737	2.10526315789474	0	29.4736842105263	0	1.05263157894737	5.26315789473684	33.6842105263158	9.47368421052632	0	0
32	32	"Amarete"	-15.23333	-68.98333	160	"AWI"	160	2802	7310	5306	0	0	0	0	0	18.75	0	0	6.25	0	25	0	0	6.25	40.625	3.125	0	0
32	32	"Amarete"	-15.23333	-68.98333	180	"AWI"	180	3384	7521	6009	0	0	0	0	0	22.2222222222222	5.55555555555556	0	13.8888888888889	0	13.8888888888889	0	0	11.1111111111111	30.5555555555556	2.77777777777778	0	0
32	32	"Amarete"	-15.23333	-68.98333	200	"AWI"	200	3985	7901	6703	1.88679245283019	0	0	0	0	11.3207547169811	0	1.88679245283019	1.88679245283019	0	35.8490566037736	0	0	5.66037735849057	35.8490566037736	3.77358490566038	0	1.88679245283019
32	32	"Amarete"	-15.23333	-68.98333	220	"AWI"	220	5698	7975	7249	0	0	0	0	0	2.27272727272727	0	1.13636363636364	1.13636363636364	0	12.5	1.13636363636364	1.13636363636364	11.3636363636364	64.7727272727273	3.40909090909091	1.13636363636364	0
32	32	"Amarete"	-15.23333	-68.98333	240	"AWI"	240	7338	8099	7796	0	0	0	0	0	4.76190476190476	0	1.19047619047619	0	1.19047619047619	3.57142857142857	0	0	11.9047619047619	71.4285714285714	5.95238095238095	0	0
32	32	"Amarete"	-15.23333	-68.98333	260	"AWI"	260	7765	8306	8070	1.78571428571429	0	0	0	0	3.57142857142857	0	0	1.78571428571429	0	14.2857142857143	1.78571428571429	1.78571428571429	5.35714285714286	57.1428571428571	10.7142857142857	1.78571428571429	0
32	32	"Amarete"	-15.23333	-68.98333	700	"AWI"	700	9899	10571	10290	0	0	0	13.1147540983607	0	1.63934426229508	1.63934426229508	1.63934426229508	0	0	13.1147540983607	0	0	3.27868852459016	18.0327868852459	36.0655737704918	9.83606557377049	1.63934426229508
32	32	"Amarete"	-15.23333	-68.98333	720	"AWI"	720	9960	10744	10386	6.97674418604651	0	0	0	6.97674418604651	0	0	2.32558139534884	0	0	13.953488372093	2.32558139534884	2.32558139534884	0	37.2093023255814	27.906976744186	0	0
32	32	"Amarete"	-15.23333	-68.98333	740	"AWI"	740	9999	10985	10472	0	0	0	0	0	0	0	0	0	0	23.9130434782609	2.17391304347826	2.17391304347826	4.34782608695652	19.5652173913043	36.9565217391304	6.52173913043478	4.34782608695652
