"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
204	204	"Andree Bog"	45.725	-93.25	425	"AWI"	425	8370	10673	9602	1	0	13	20	28	0	26	0	0	0	5	0	2	0	7	27	1	0	1	12	11	0	3	11	0	0	0	23	7	118	1	75	14	47	0	1	0	0	0	12	0	0	0	0	1	36	0	1
204	204	"Andree Bog"	45.725	-93.25	445	"AWI"	445	8894	11041	10052	2	0	19	1	7	0	44	0	0	1	3	0	0	0	2	18	0	0	0	23	18	0	0	0	0	3	0	14	7	182	1	18	14	43	0	0	0	0	0	4	0	0	0	0	0	48	5	0
204	204	"Andree Bog"	45.725	-93.25	505	"AWI"	505	10568	12120	11402	1	0	11	2	9	0	72	0	0	0	0	0	1	1	9	14	0	1	0	32	3	0	0	11	0	7	0	5	36	119	0	13	17	9	0	0	0	0	2	2	0	0	0	0	0	18	0	1
204	204	"Andree Bog"	45.725	-93.25	515	"AWI"	515	10808	12286	11622	3	10	48	9	31	0	119	0	0	3	1	0	1	0	12	42	0	0	0	72	9	0	0	19	0	39	0	17	212	74	0	17	86	44	0	0	3	0	0	11	0	1	0	2	0	52	14	2
204	204	"Andree Bog"	45.725	-93.25	525	"AWI"	525	11026	12453	11843	0	0	16	1	19	0	24	0	0	0	0	0	1	0	4	42	0	0	0	30	3	0	0	8	0	23	0	11	222	16	0	17	33	25	0	0	1	0	1	7	0	0	1	0	0	14	0	0
204	204	"Andree Bog"	45.725	-93.25	535	"AWI"	535	11245	12615	12065	0	0	13	5	25	0	19	0	0	0	0	0	0	0	2	44	0	0	0	0	13	0	0	15	0	19	1	8	154	4	0	16	24	11	0	0	2	0	0	9	0	1	0	1	0	6	5	0
204	204	"Andree Bog"	45.725	-93.25	545	"AWI"	545	11504	12781	12278	0	0	5	1	14	0	15	0	0	0	0	0	0	0	1	20	0	0	0	0	3	0	0	7	0	10	0	2	113	0	0	9	9	3	0	0	0	0	0	3	1	0	0	0	0	1	0	0
204	204	"Andree Bog"	45.725	-93.25	556	"AWI"	556	11767	12956	12516	0	0	16	6	16	0	27	0	0	0	0	0	0	0	1	42	0	1	0	0	10	0	0	12	0	11	0	7	111	2	0	17	23	6	0	0	0	0	0	3	0	0	0	0	0	10	0	0
204	204	"Andree Bog"	45.725	-93.25	560	"AWI"	560	11873	13021	12599	0	0	6	0	28	0	22	1	0	2	0	0	1	0	5	49	0	0	0	0	13	1	0	22	0	24	0	9	246	3	0	26	29	7	0	0	0	0	1	12	0	0	0	1	0	7	14	0
204	204	"Andree Bog"	45.725	-93.25	565	"AWI"	565	11989	13081	12704	0	0	10	2	37	0	9	0	0	0	0	0	0	0	3	37	0	0	1	0	41	0	0	5	0	8	0	6	296	3	0	19	28	8	0	0	1	0	0	9	0	0	0	0	0	4	0	0
