"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Droseraceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
847	876	"Gladkoye Bog"	55	83.33333	5	"AWI"	5	72	197	132	0.409276944065484	0	0.545702592087312	0	8.59481582537517	0	39.2905866302865	0	0.272851296043656	0	0	9.27694406548431	0	0	1.90995907230559	0	0	0	0	34.5156889495225	0	2.45566166439291	0	0	0	0.545702592087312	0.954979536152797	0.272851296043656	0	0.954979536152797	0	0
847	876	"Gladkoye Bog"	55	83.33333	10	"AWI"	10	266	363	325	1.22850122850123	0	0.737100737100737	0	5.65110565110565	0.737100737100737	75.1842751842752	0	0	0	0	5.65110565110565	0	0.491400491400491	0.245700245700246	0	0	0	0	0	0	5.65110565110565	0.491400491400491	0	0	0.737100737100737	1.96560196560197	0.737100737100737	0.491400491400491	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	20	"AWI"	20	590	755	709	0	0	3.41463414634146	0	17.5609756097561	1.21951219512195	54.390243902439	0	0	0	0	10.9756097560976	0	0	0.48780487804878	0	0	0	1.21951219512195	0	0	5.36585365853659	2.4390243902439	0	0	0.48780487804878	1.70731707317073	0	0.731707317073171	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	35	"AWI"	35	763	1213	965	3.2967032967033	0	1.31868131868132	0.879120879120879	11.8681318681319	0.43956043956044	66.3736263736264	0	0.43956043956044	0	0	4.3956043956044	0	0.43956043956044	0.879120879120879	0	0	0	0	0	0	5.93406593406593	0	0	0	0	0	0	0.43956043956044	3.2967032967033	0	0
847	876	"Gladkoye Bog"	55	83.33333	50	"AWI"	50	858	1596	1159	0	0	1.05485232067511	0	7.59493670886076	0.421940928270042	70.042194092827	0	0	0	0	3.79746835443038	0	0	0	0	0	0	6.32911392405063	0	0.843881856540084	3.79746835443038	1.47679324894515	0	0	1.47679324894515	3.16455696202532	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	65	"AWI"	65	950	1810	1383	24.2424242424242	0	0	0	0	6.06060606060606	0	0	0	0	0	0	0	0	0	4.54545454545455	0	0	22.7272727272727	0	1.51515151515152	0	3.03030303030303	0	0	0	24.2424242424242	0	0	0	12.1212121212121	1.51515151515152
847	876	"Gladkoye Bog"	55	83.33333	80	"AWI"	80	1270	1981	1625	2.84697508896797	0	1.42348754448399	0.711743772241993	0.355871886120996	0.355871886120996	82.5622775800712	0	0	0	0	4.27046263345196	0	0	0.711743772241993	0	0	0	3.55871886120996	0	0	1.06761565836299	0	0	0	0	1.06761565836299	0	1.06761565836299	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	100	"AWI"	100	1692	2203	1968	0	0.547945205479452	0.958904109589041	0.547945205479452	4.65753424657534	0	82.1917808219178	0	0.410958904109589	0	0	3.01369863013699	0	0	0	0.684931506849315	0	0	0.547945205479452	0	0.684931506849315	4.65753424657534	0.273972602739726	0	0	0.136986301369863	0	0.684931506849315	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	110	"AWI"	110	2004	2259	2133	0	1.24069478908189	0	0.496277915632754	1.24069478908189	1.73697270471464	78.9081885856079	0	0.992555831265509	0	0.744416873449132	4.46650124069479	0	0	0	2.48138957816377	0	0	3.47394540942928	0	0.744416873449132	0.744416873449132	0	0	0	0	1.24069478908189	0	0.992555831265509	0	0	0.496277915632754
847	876	"Gladkoye Bog"	55	83.33333	120	"AWI"	120	2147	2418	2283	7.63358778625954	0	2.54452926208651	0	17.3027989821883	1.01781170483461	56.4885496183206	0	0	0	0	8.3969465648855	0	0	1.27226463104326	0	0	0	0	0	0	2.03562340966921	1.27226463104326	0	0	0	0	0	2.03562340966921	0	0	0
