"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Amaranthaceae"	"Apiaceae"	"Aristotelia"	"Artemisia"	"Asteraceae"	"Austrocedrus"	"Azara"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Buddleja"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Drimys"	"Ephedraceae"	"Ericales"	"Eucryphia"	"Fabaceae"	"Grossulariaceae"	"Gunneraceae"	"Hydrangea"	"Indeterminable"	"Isoëtes"	"Lamiaceae"	"Liliaceae"	"Lomatia"	"Loranthaceae"	"Maytenus"	"Misodendraceae"	"Myrtaceae"	"Nothofagus"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Saxegothaea"	"Schinus"	"Solanaceae"	"Verbenaceae"	"Vivianiaceae"	"Weinmannia"
1538	1578	"Lago Moreno"	-41.05833	-71.51667	86	"AWI"	86	1157	2780	1909	3	3	0	0	0	148	0	0	0	0	4	0	1	18	1	0	0	0	0	0	1	4	3	97	0	0	5	0	1	5	10	0	0	16	1	1	17	0	0	0	0	4	2	0	0	0	0
1538	1578	"Lago Moreno"	-41.05833	-71.51667	109.5	"AWI"	109.5	1643.5	3338.5	2461	3	0	3	0	0	114	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	2	88	1	0	1	1	9	2	20	0	0	19	1	0	8	0	0	1	0	7	2	0	0	0	1
1538	1578	"Lago Moreno"	-41.05833	-71.51667	120	"AWI"	120	1869	3582	2705	1	0	0	0	0	103	0	0	0	0	3	0	0	7	0	0	0	2	0	0	0	2	1	72	1	0	4	0	17	0	7	0	0	12	1	1	11	0	0	0	0	1	2	0	0	0	4
1538	1578	"Lago Moreno"	-41.05833	-71.51667	145.5	"AWI"	145.5	2419	4133	3291.5	0	0	0	0	0	105	0	0	0	0	1	0	0	5	1	0	0	2	0	1	1	3	3	69	0	0	1	0	14	0	4	0	0	14	0	0	2	0	0	0	0	1	0	0	0	0	0
1538	1578	"Lago Moreno"	-41.05833	-71.51667	161	"AWI"	161	2790	4449	3653	0	0	0	0	0	176	0	0	0	3	3	0	0	5	1	0	0	4	0	0	0	1	3	22	0	1	1	0	9	0	4	0	0	10	0	0	3	0	0	2	0	12	0	1	0	0	5
1538	1578	"Lago Moreno"	-41.05833	-71.51667	180.5	"AWI"	180.5	3255.5	4850.5	4104	0	0	0	0	0	120	1	0	0	0	1	0	0	6	0	0	0	1	0	0	1	0	2	36	0	0	0	0	2	3	3	0	0	11	3	1	0	0	0	1	0	7	0	0	0	0	5
1538	1578	"Lago Moreno"	-41.05833	-71.51667	200	"AWI"	200	3776	5216	4564	0	0	0	1	0	130	0	0	0	0	1	0	0	9	0	0	0	1	0	0	0	0	5	40	0	0	0	0	3	1	3	104	0	16	1	0	4	0	0	0	0	2	0	0	0	1	7
1538	1578	"Lago Moreno"	-41.05833	-71.51667	219	"AWI"	219	4339	5581	5004	7	0	2	0	0	55	0	0	0	1	0	0	0	1	0	0	0	2	0	0	1	0	1	38	1	0	2	0	6	2	2	0	0	17	2	2	4	0	0	0	0	1	3	0	0	0	0
1538	1578	"Lago Moreno"	-41.05833	-71.51667	240	"AWI"	240	5026	5940	5471	3	0	1	1	0	78	0	0	0	0	2	0	1	7	1	0	0	0	0	0	1	0	1	70	1	0	1	0	2	3	4	137	0	43	7	0	3	0	0	1	1	0	0	0	0	0	0
1538	1578	"Lago Moreno"	-41.05833	-71.51667	259	"AWI"	259	5439	6703	6010	4	0	2	0	0	84	0	0	0	1	2	0	0	6	0	0	0	1	0	0	2	0	0	80	0	0	1	0	7	5	6	101	0	36	5	0	2	0	0	1	0	1	1	0	0	0	3
1538	1578	"Lago Moreno"	-41.05833	-71.51667	267.5	"AWI"	267.5	5652	7021.5	6263.5	6	0	0	0	0	31	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	3	58	1	0	0	0	3	2	4	0	0	28	3	0	5	0	0	3	1	0	1	0	0	0	3
