"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Grossulariaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Urticaceae"
773	792	"Elgennya Lake"	62.08333	149	0	"AWI"	0	-133	31	-51	635	0	0	2	16	0	381	0	0	0	4	64	72	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	45	0	0	0	14	2	0	0	0	23	6	7	0	0	0
773	792	"Elgennya Lake"	62.08333	149	10	"AWI"	10	-5	692	235	668	0	0	1	10	2	297	0	0	0	7	67	48	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	44	0	0	2	16	6	0	0	0	35	3	4	0	0	0
773	792	"Elgennya Lake"	62.08333	149	20	"AWI"	20	172	1086	557	300	0	0	0	2	0	87	0	0	0	0	24	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	7	2	4	0	0	0
773	792	"Elgennya Lake"	62.08333	149	30	"AWI"	30	401	1414	905	520	0	0	1	0	0	222	0	0	0	3	35	64	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	13	3	0	0	0	18	1	1	1	0	0
773	792	"Elgennya Lake"	62.08333	149	40	"AWI"	40	717	1642	1229	260	0	0	0	1	0	107	0	0	0	1	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	2	0	0	0	0	4	0	6	0	0	0
773	792	"Elgennya Lake"	62.08333	149	50	"AWI"	50	1168	1850	1568	271	0	0	0	4	0	106	0	0	0	1	25	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	8	3	2	0	0	0
773	792	"Elgennya Lake"	62.08333	149	57	"AWI"	57	1485	1965	1765	445	0	0	0	9	0	212	0	0	0	1	30	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	14	9	0	0	0	21	4	3	0	0	0
773	792	"Elgennya Lake"	62.08333	149	70	"AWI"	70	1697	2235	1983	123	0	0	1	3	0	63	0	0	0	0	20	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	3	0	0	0
773	792	"Elgennya Lake"	62.08333	149	80	"AWI"	80	1812	2408	2115	817	0	0	0	10	0	343	0	0	0	1	38	75	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	68	0	0	0	16	4	0	0	0	31	2	5	0	0	0
773	792	"Elgennya Lake"	62.08333	149	90	"AWI"	90	1931	2579	2248	493	0	0	1	5	0	185	0	0	0	1	28	16	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	15	0	0	0	12	2	0	0	0	28	3	3	0	0	0
773	792	"Elgennya Lake"	62.08333	149	100	"AWI"	100	2074	2720	2385	875	0	0	3	0	0	415	0	0	0	5	48	77	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	62	0	0	0	15	4	0	0	0	15	2	4	0	0	0
773	792	"Elgennya Lake"	62.08333	149	110	"AWI"	110	2225	2870	2519	130	0	0	0	0	0	60	0	0	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	0	2	0	0	0
773	792	"Elgennya Lake"	62.08333	149	120	"AWI"	120	2376	3013	2654	512	0	0	0	8	0	163	0	0	0	0	26	62	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	22	0	0	1	12	3	0	0	0	3	1	1	2	0	0
773	792	"Elgennya Lake"	62.08333	149	130	"AWI"	130	2562	3159	2776	300	0	0	0	1	0	98	0	0	0	0	24	27	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	1	7	1	9	0	0	0
773	792	"Elgennya Lake"	62.08333	149	140	"AWI"	140	2766	3405	2967	860	0	0	1	2	0	349	0	0	0	6	46	79	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	9	6	0	0	0	28	1	3	0	0	0
773	792	"Elgennya Lake"	62.08333	149	150	"AWI"	150	2903	3875	3269	626	0	0	0	4	0	289	0	0	0	1	36	68	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	13	0	0	1	9	0	0	0	0	14	2	1	0	0	0
773	792	"Elgennya Lake"	62.08333	149	160	"AWI"	160	3111	4216	3562	270	0	0	1	3	0	90	0	0	0	0	29	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	1	4	0	2	0	0	0
773	792	"Elgennya Lake"	62.08333	149	170	"AWI"	170	3333	4517	3846	760	1	0	0	5	0	319	0	0	0	2	30	83	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	4	1	0	0	0	20	2	0	1	0	0
773	792	"Elgennya Lake"	62.08333	149	178	"AWI"	178	3489	4736	4080	160	1	0	0	10	0	50	0	1	0	1	41	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	4	0	0	0	1	10	5	6	0	0	0
773	792	"Elgennya Lake"	62.08333	149	192	"AWI"	192	3850	5159	4486	620	0	1	0	0	2	226	0	0	0	1	22	30	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	41	0	0	0	14	7	0	0	0	19	0	3	0	0	0
773	792	"Elgennya Lake"	62.08333	149	200	"AWI"	200	4070	5378	4707	284	0	0	0	4	0	130	0	0	0	0	29	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	0	2	0	0	0
773	792	"Elgennya Lake"	62.08333	149	210	"AWI"	210	4331	5593	4998	844	0	0	1	6	0	277	0	0	0	2	38	82	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	24	0	0	1	8	3	0	0	0	31	3	3	0	0	1
773	792	"Elgennya Lake"	62.08333	149	220	"AWI"	220	4636	5805	5287	284	0	0	1	4	0	113	0	0	0	0	32	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	1	7	0	3	0	0	0
773	792	"Elgennya Lake"	62.08333	149	230	"AWI"	230	4996	5996	5591	1005	0	0	1	2	0	319	0	0	0	3	22	63	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	40	0	0	1	14	1	0	0	0	26	3	2	1	0	0
773	792	"Elgennya Lake"	62.08333	149	240	"AWI"	240	5411	6165	5882	320	0	0	0	6	0	97	0	0	0	1	25	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	2	4	0	5	0	0	1
773	792	"Elgennya Lake"	62.08333	149	250	"AWI"	250	5978	6358	6175	1023	1	0	0	7	0	277	0	0	0	0	41	75	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	4	8	0	0	0	31	1	2	0	0	0
773	792	"Elgennya Lake"	62.08333	149	260	"AWI"	260	6216	7411	6665	350	0	0	0	4	0	110	0	0	0	0	20	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	2	0	0	0	0	11	0	0	0	0	0
773	792	"Elgennya Lake"	62.08333	149	265	"AWI"	265	6310	7804	6925	1296	0	0	1	8	0	431	0	0	0	4	70	91	1	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	68	0	0	0	13	2	0	0	0	24	3	4	0	0	0
