"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Larix"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
489	501	"Compass Pond"	50.03417	-56.19639	1	"AWI"	1	-101	75	-16	10	0	74	0	0	0	0	106	0	0	1	0	0	1	0	2	0	0	0	0	0	13	1	0	0	14	0	120	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	5	"AWI"	5	-70	268	55	17	0	83	0	0	1	0	64	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	8	0	120	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	10	"AWI"	10	-46	556	140	16	0	123	0	0	1	0	88	0	0	0	0	0	4	0	0	0	0	0	0	0	13	1	2	0	11	0	111	4	0	0	5	0	1	1	0	0	0	0	0	0	2	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	20	"AWI"	20	46	820	346	17	0	60	0	0	0	0	108	0	0	0	0	0	5	0	0	0	1	0	0	0	8	5	2	0	8	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	30	"AWI"	30	166	1058	558	24	1	40	0	0	1	0	103	0	0	0	0	0	1	0	1	0	0	0	0	0	8	1	1	0	9	0	132	0	0	0	3	0	0	3	0	0	0	0	0	0	1	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	40	"AWI"	40	310	1292	770	38	0	49	0	0	1	0	139	0	0	0	0	0	2	0	1	0	0	0	0	0	4	3	2	0	10	0	125	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
489	501	"Compass Pond"	50.03417	-56.19639	45	"AWI"	45	402	1386	878	27	1	38	0	0	1	0	128	0	0	0	0	0	2	0	0	0	0	0	0	0	10	1	1	0	16	0	113	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	50	"AWI"	50	482	1483	984	27	0	49	0	0	0	0	109	0	0	0	0	0	3	0	2	0	1	0	0	0	14	2	3	0	14	0	127	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0
489	501	"Compass Pond"	50.03417	-56.19639	60	"AWI"	60	684	1649	1194	23	0	49	0	0	0	0	103	0	0	0	0	0	3	0	0	0	1	0	0	0	9	2	2	0	6	0	123	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	70	"AWI"	70	900	1808	1400	19	0	58	0	0	0	0	108	0	0	0	0	0	3	0	2	0	1	0	0	0	2	0	2	0	12	0	92	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	80	"AWI"	80	1148	1954	1606	29	0	72	0	0	1	0	115	0	0	0	0	0	1	0	0	0	0	0	0	0	8	2	1	0	10	0	113	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	90	"AWI"	90	1460	2096	1798	5	1	103	0	0	1	0	112	0	0	0	0	0	0	0	2	0	0	0	0	0	4	1	1	0	22	0	80	0	0	0	3	0	0	1	0	0	0	0	0	0	2	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	100	"AWI"	100	1664	2273	1976	13	0	121	0	0	1	0	86	0	0	0	0	0	1	0	1	0	0	0	0	0	11	4	0	0	9	0	84	5	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	110	"AWI"	110	1796	2458	2122	16	0	59	0	0	0	0	124	0	0	0	0	1	1	0	0	0	0	0	0	0	9	2	1	0	9	0	109	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	120	"AWI"	120	1904	2655	2262	14	1	69	1	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	11	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	125	"AWI"	125	1963	2763	2330	21	0	88	0	0	0	0	138	0	0	0	0	0	1	0	2	0	0	0	0	0	8	3	0	0	26	0	117	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0
489	501	"Compass Pond"	50.03417	-56.19639	130	"AWI"	130	2030	2824	2400	33	0	54	0	0	1	0	113	0	0	0	0	0	2	0	0	0	0	0	0	0	18	0	0	0	16	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	135	"AWI"	135	2085	2915	2466	15	0	72	0	0	0	0	145	0	0	0	0	0	1	0	1	0	2	0	0	0	11	1	0	0	13	0	96	0	0	0	4	0	0	1	0	0	1	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	140	"AWI"	140	2160	2970	2539	17	0	63	0	0	0	0	146	0	0	0	0	1	2	0	0	0	0	0	0	0	5	1	0	0	8	0	104	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	150	"AWI"	150	2289	3129	2681	3	0	80	0	0	0	4	95	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	9	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
489	501	"Compass Pond"	50.03417	-56.19639	155	"AWI"	155	2337	3214	2757	0	0	160	0	0	0	0	107	0	0	0	0	0	1	0	0	0	0	1	0	0	11	0	0	0	26	0	45	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
