"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Carya"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Ulmus"
1559	1603	"Lake LT1"	58.14167	-75.15	0	"AWI"	0	-142	29	-63	0	0	3	9	21	287	0	0	0	69	46	0	0	1	4	0	0	0	0	0	84	0	0	1	0	0	0	2	0	6	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	2.5	"AWI"	2.5	-36.5	1157	364.5	0	0	0	12	0	243	0	0	1	46	69	0	0	0	7	0	1	1	0	1	73	0	0	2	0	0	0	0	0	2	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	4.5	"AWI"	4.5	2.5	2128.5	702.5	0	0	0	11	5	166	0	0	0	46	64	1	0	0	22	0	0	0	0	0	63.5	0	0	6	0	0	1	0	0	0	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	5.5	"AWI"	5.5	95.5	2425	895.5	0	112	1	7	0	191	0	0	3	43	68	0	0	1	14	0	0	0	0	0	91.5	0	1	3	0	0	0	0	0	3	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	7.5	"AWI"	7.5	323	2674.5	1342.5	0	0	2	7	4	197	0	0	0	39	70	0	0	0	27	0	0	0	0	0	54	0	0	3	0	0	0	0	0	3	1	0
1559	1603	"Lake LT1"	58.14167	-75.15	9.5	"AWI"	9.5	452	3169	1760	0	0	0	6	7	219	0	0	0	34	63	0	0	1	17	0	1	0	1	0	73	0	0	5	0	0	0	5	0	4	0	1
1559	1603	"Lake LT1"	58.14167	-75.15	10.5	"AWI"	10.5	631.5	3357	1966	0	150	1	15	2	195	0	0	0	43	70	0	1	0	13	1	1	0	0	0	82.5	0	0	3	0	0	1	0	0	4	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	15	"AWI"	15	1321	3844	2955	0	162	0	4	0	188	0	0	0	31	74	0	1	4	10	0	0	1	0	0	72	0	0	4	0	0	0	2	0	5	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	21.5	"AWI"	21.5	3483	4335	3927.5	0	0	1	6	2	227	1	0	2	49	81	0	0	4	8	0	1	0	0	0	73.5	0	0	10	0	0	0	0	0	10	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	30	"AWI"	30	3883	5273	4538	0	210	0	13	0	320	0	0	0	44	79	0	0	2	10	0	0	0	0	1	64.5	0	0	10	0	0	0	0	0	12	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	40	"AWI"	40	4546	5915	5295	0	150	0	11	0	298	0	0	0	37	49	0	0	1	0	0	0	0	0	0	31.5	0	1	4	2	0	0	0	0	7	0	1
1559	1603	"Lake LT1"	58.14167	-75.15	50	"AWI"	50	5187	6275	5807	0	0	0	14	2	323	1	0	1	43	73	0	0	2	4	0	0	0	0	1	53.5	0	0	5	0	0	0	0	0	4	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	60	"AWI"	60	5749	6503	6101	0	197	0	6	3	379	0	0	1	52	41	0	0	0	0	0	0	0	0	0	40.5	0	0	3	0	0	1	0	1	6	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	70	"AWI"	70	6114	6996	6530	1	162	3	15	0	256	0	0	0	47	25	0	0	2	0	0	0	0	0	0	43	0	0	0	0	0	1	0	0	12	0	0
1559	1603	"Lake LT1"	58.14167	-75.15	80	"AWI"	80	6522	7674	6987	0	0	3	16	5	199	0	1	0	54	14	0	0	1	0	0	2	0	0	0	44.5	0	0	2	0	1	0	0	0	15	1	0
