"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
292	298	"Bog D Pond"	47.1774	-95.16281	1	"AWI"	1	-126	30	-38	3	0	21	7	1	6	0	49	0	0	0	0	0	0	4	10	0	0	0	0	4	0	0	0	4	3	8	181	0	0	24	1	31	0	0	3	0	0	0	6	0
292	298	"Bog D Pond"	47.1774	-95.16281	10	"AWI"	10	-91	78	-1	2	0	18	11	2	19	0	52	0	1	0	0	0	0	6	8	0	0	0	0	0	0	3	0	11	3	6	238	0	0	38	5	16	0	0	1	0	0	1	7	0
292	298	"Bog D Pond"	47.1774	-95.16281	20	"AWI"	20	-44	128	40	3	0	17	9	0	14	0	59	0	0	0	0	0	0	5	14	0	0	0	0	0	1	0	0	12	1	4	235	0	0	13	5	21	0	0	3	1	0	0	7	0
292	298	"Bog D Pond"	47.1774	-95.16281	30	"AWI"	30	3	173	81	3	0	10	2	0	19	0	49	0	0	0	1	0	0	5	17	0	0	0	0	0	0	0	0	11	6	5	174	0	0	15	3	32	0	0	3	1	0	0	2	0
292	298	"Bog D Pond"	47.1774	-95.16281	40	"AWI"	40	52	216	120	2	0	17	3	0	19	0	62	0	0	0	0	1	0	6	11	0	0	0	0	2	0	3	0	12	3	7	202	0	0	23	4	16	0	0	2	0	0	0	4	0
292	298	"Bog D Pond"	47.1774	-95.16281	50	"AWI"	50	100	454	214	3	0	10	4	0	8	0	34	1	0	0	1	0	0	2	6	0	0	0	0	0	0	0	0	7	7	7	233	0	0	29	1	12	0	0	0	0	0	0	2	0
292	298	"Bog D Pond"	47.1774	-95.16281	60	"AWI"	60	147	635	320	1	0	12	2	0	10	0	46	0	0	0	0	0	0	4	10	0	0	0	0	0	1	1	0	8	7	17	257	0	0	47	0	16	0	0	3	0	1	0	2	0
292	298	"Bog D Pond"	47.1774	-95.16281	70	"AWI"	70	204	817	426	2	0	16	2	0	6	0	32	0	0	0	0	0	0	1	10	0	1	0	0	0	0	1	0	10	5	7	260	0	0	50	1	20	1	0	2	1	0	0	1	0
292	298	"Bog D Pond"	47.1774	-95.16281	100	"AWI"	100	416	1234	769	1	0	14	2	0	12	0	79	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	9	20	3	152	0	0	63	0	19	0	0	2	0	0	0	5	0
292	298	"Bog D Pond"	47.1774	-95.16281	120	"AWI"	120	578	1492	1000	2	0	26	1	1	10	0	62	0	0	0	2	0	0	3	13	0	0	0	0	4	0	1	0	9	9	3	169	0	0	149	3	25	0	0	0	1	1	0	5	0
