"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Artemisia"	"Betulaceae"	"Cyperaceae"	"Ericales"	"Larix"	"Picea"	"Pinus"	"Poaceae"	"Salix"
1108	1141	"Igarka Peat Exposure"	67.66667	86	5	"AWI"	5	5241	6006	5669	0	8.57142857142857	0	34.2857142857143	0	11.4285714285714	0	42.8571428571429	0	2.85714285714286	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	10	"AWI"	10	5438	6171	5841	0	0	0	0	0.16366612111293	0	0	39.2798690671031	60.556464811784	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	20	"AWI"	20	5840	6465	6191	0	17.175572519084	0	47.7099236641221	0.763358778625954	0	0	34.3511450381679	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	30	"AWI"	30	6269	6744	6532	0	6.89655172413793	3.44827586206897	34.4827586206897	17.2413793103448	13.7931034482759	0	20.6896551724138	0	3.44827586206897	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	35	"AWI"	35	6491	6876	6704	7.46268656716418	14.9253731343284	0	37.3134328358209	0	0	0	29.8507462686567	9.95024875621891	0.497512437810945	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	40	"AWI"	40	6738	7002	6873	0	10	0	58.3333333333333	25	5	1.66666666666667	0	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	50	"AWI"	50	7058	7446	7228	0	4.41176470588235	0	25.7352941176471	17.6470588235294	0	2.20588235294118	35.2941176470588	0	14.7058823529412	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	60	"AWI"	60	7342	7874	7590	0	7.90960451977401	0	47.4576271186441	1.12994350282486	0	11.638418079096	31.638418079096	0	0.225988700564972	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	75	"AWI"	75	7838	8487	8143	0	8.47457627118644	0	33.8983050847458	1.30378096479791	0	19.5567144719687	36.5058670143416	0	0.260756192959583	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	80	"AWI"	80	8011	8665	8326	0	2.98507462686567	0	40.2985074626866	0.298507462686567	0	2.6865671641791	53.7313432835821	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	100	"AWI"	100	8723	9399	9063	0	8.46262341325811	0	25.3878702397743	9.87306064880113	4.23131170662905	1.26939351198872	50.7757404795487	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	110	"AWI"	110	9108	9737	9431	0	9.93377483443709	0	31.7880794701987	23.841059602649	0	1.32450331125828	33.112582781457	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	115	"AWI"	115	9306	9906	9616	0	6.875	0	34.375	12.5	0	0	41.25	0	5	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	120	"AWI"	120	9503	10068	9799	0	9.09090909090909	0	36.3636363636364	0	0	0	54.5454545454545	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	125	"AWI"	125	9716	10224	9983	0	0	0	48.1481481481481	0	0	3.89863547758285	47.953216374269	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	130	"AWI"	130	9945	10375	10163	0	7.57575757575758	7.57575757575758	45.4545454545455	1.51515151515152	0	7.57575757575758	30.3030303030303	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	135	"AWI"	135	10195	10521	10339	0	15.0943396226415	3.77358490566038	45.2830188679245	0.943396226415094	0	4.71698113207547	30.188679245283	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	140	"AWI"	140	10362	10701	10513	0	4.79041916167665	4.19161676646707	35.9281437125749	25.1497005988024	3.59281437125748	4.79041916167665	21.5568862275449	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	145	"AWI"	145	10493	10893	10680	0	2.39520958083832	7.18562874251497	13.1736526946108	43.1137724550898	21.5568862275449	0.598802395209581	10.7784431137725	0	0	1.19760479041916
1108	1141	"Igarka Peat Exposure"	67.66667	86	150	"AWI"	150	10622	11074	10848	0	4.08496732026144	1.63398692810458	49.0196078431373	0.326797385620915	3.26797385620915	1.63398692810458	36.7647058823529	0	3.26797385620915	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	155	"AWI"	155	10758	11261	11022	0	4.29184549356223	4.29184549356223	30.9012875536481	30.0429184549356	8.58369098712446	1.28755364806867	20.6008583690987	0	0	0
1108	1141	"Igarka Peat Exposure"	67.66667	86	160	"AWI"	160	10899	11484	11194	0	2.53164556962025	11.3924050632911	37.9746835443038	37.9746835443038	0	0	10.126582278481	0	0	0
