"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Celtis"	"Cercocarpus"	"Cyperaceae"	"Ephedraceae"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Malvaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Portulacaceae"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"
504	517	"Crane Lake"	36.529734	-112.149064	0	"AWI"	0	-108	63	-31	6	0	0	3	33	0	0	0	0	0	0	1	25	0	0	7	22	0	0	20	0	49	0	4	0	1	3	0	0	0	0	1	1	0	1
504	517	"Crane Lake"	36.529734	-112.149064	20	"AWI"	20	473	1849	1102	3	0	11	0	20	0	0	0	0	0	1	1	14	0	0	3	14	0	0	25	0	36	0	1	0	0	3	0	0	0	0	0	1	0	0
504	517	"Crane Lake"	36.529734	-112.149064	40	"AWI"	40	1566	2783	2276	9	0	0	3	15	0	0	0	0	0	0	1	31	0	0	13	30	0	0	22	0	39	0	10	0	4	0	0	0	0	0	1	1	0	1
504	517	"Crane Lake"	36.529734	-112.149064	60	"AWI"	60	2845	3652	3213	6	0	0	1	17	0	0	0	1	0	0	3	26	1	0	10	9	0	0	11	194	36	2	0	0	4	3	0	0	0	0	0	3	0	0
504	517	"Crane Lake"	36.529734	-112.149064	80	"AWI"	80	3458	4431	3950	9	0	0	1	18	0	0	0	0	0	0	1	20	0	0	6	8	0	1	24	164	44	0	1	0	4	3	0	2	0	0	0	0	0	0
504	517	"Crane Lake"	36.529734	-112.149064	100	"AWI"	100	4314	5008	4683	3	0	0	0	35	0	0	0	1	1	0	0	28	1	0	8	12	1	0	20	0	47	0	1	0	0	4	1	0	0	0	1	0	0	1
504	517	"Crane Lake"	36.529734	-112.149064	120	"AWI"	120	4740	5832	5225	1	3	0	0	43	0	0	0	0	3	0	2	35	0	0	11	7	0	0	43	0	20	0	1	0	2	4	0	1	0	0	0	1	0	1
504	517	"Crane Lake"	36.529734	-112.149064	140	"AWI"	140	5196	6526	5785	1	1	0	0	41	0	0	0	3	1	0	0	40	0	1	10	10	0	0	57	0	15	0	0	0	3	1	0	1	0	0	3	3	0	0
504	517	"Crane Lake"	36.529734	-112.149064	160	"AWI"	160	5660	7169	6362	0	1	0	1	45	0	0	0	0	1	0	1	47	0	0	38	9	0	2	43	0	37	0	4	0	0	0	0	1	0	0	2	2	1	0
504	517	"Crane Lake"	36.529734	-112.149064	180	"AWI"	180	6153	7807	6927	1	3	0	1	63	0	0	0	4	1	0	1	22	0	1	10	4	0	0	38	0	25	0	0	0	1	3	0	0	0	1	3	3	1	1
504	517	"Crane Lake"	36.529734	-112.149064	200	"AWI"	200	6648	8408	7486	0	0	0	0	43	0	0	0	0	2	0	4	31	0	0	9	2	0	0	40	0	23	0	3	0	0	1	0	0	0	1	0	2	0	1
504	517	"Crane Lake"	36.529734	-112.149064	220	"AWI"	220	7173	8984	8047	2	0	0	0	51	0	0	0	7	0	0	3	40	0	2	9	7	0	0	30	0	34	0	2	0	4	2	0	0	0	0	0	2	0	2
504	517	"Crane Lake"	36.529734	-112.149064	240	"AWI"	240	7704	9559	8608	6	0	0	3	55	0	0	0	0	0	0	0	14	0	1	7	3	0	0	9	0	36	2	3	1	3	2	1	0	0	1	0	0	1	0
504	517	"Crane Lake"	36.529734	-112.149064	260	"AWI"	260	8240	10138	9171	3	3	0	0	43	0	0	0	4	0	0	0	21	0	0	7	11	0	0	38	0	24	0	10	0	0	4	0	0	0	0	0	0	0	1
504	517	"Crane Lake"	36.529734	-112.149064	280	"AWI"	280	8814	10694	9737	2	0	0	3	83	0	0	0	3	0	0	0	12	0	1	12	10	0	0	18	0	22	0	1	0	1	3	0	2	0	0	0	1	1	1
504	517	"Crane Lake"	36.529734	-112.149064	300	"AWI"	300	9400	11222	10305	2	3	0	3	54	0	0	0	8	1	0	3	16	0	1	13	12	0	0	7	118	53	0	1	0	2	4	0	0	0	0	1	6	1	0
