"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Indeterminable"	"Isoëtes"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Thalictrum"	"Verbenaceae"
817	843	"Forest Pond 2"	43.43889	-109.95	0	"AWI"	0	-147	25	-65	8	2	21	1	155	0	0	0	0	22	0	1	0	0	0	6	13	0	22	776.5	0	31	1	0	0	0	0	0	1	1	1	5	9	4	1	0
817	843	"Forest Pond 2"	43.43889	-109.95	1	"AWI"	1	-77	474	81	8.5	1	17	0	205	0	0	0	0	50	0	1	1	0	0	1	1	0	17	939	0	38	0	0	0	0	3	5	0	1	1	20	9	6	0	0
817	843	"Forest Pond 2"	43.43889	-109.95	3	"AWI"	3	93	1035	456	3	0	13	0	82	0	0	0	0	16	0	0	1	0	0	3	6	0	6.5	378.5	0	15	0	0	0	0	1	1	1	0	0	7	4	1	1	0
817	843	"Forest Pond 2"	43.43889	-109.95	5	"AWI"	5	334	1570	845	5	2	25	0	132	0	1	0	0	38	0	0	0	0	0	5	4	0	19.5	593.5	0	40	0	0	1	0	4	6	0	0	2	18	7	4	1	0
817	843	"Forest Pond 2"	43.43889	-109.95	7	"AWI"	7	598	2078	1229	4.5	1	27	0	114	0	0	0	0	35	0	3	0	0	0	6	13	0	16	774	0	27	0	0	0	0	2	0	0	0	1	17	7	7	1	0
817	843	"Forest Pond 2"	43.43889	-109.95	9	"AWI"	9	906	2488	1628	4.5	0	14	1	70	0	0	0	0	21	0	0	0	0	0	3	4	0	8.5	288	0	25	0	0	0	0	0	2	0	1	0	7	7	4	2	0
817	843	"Forest Pond 2"	43.43889	-109.95	11	"AWI"	11	1231	2926	2025	6.5	0	22	0	143	21	0	0	1	33	0	0	0	0	0	9	0	0	39.5	787.5	0	47	0	0	0	1	4	0	1	0	0	21	10	12	0	0
817	843	"Forest Pond 2"	43.43889	-109.95	13	"AWI"	13	1575	3352	2415	6.5	0	20	0	105	0	0	0	0	21	0	0	0	0	0	8	0	0	10	528.5	0	30	1	0	0	0	0	0	0	1	0	14	4	3	1	0
817	843	"Forest Pond 2"	43.43889	-109.95	17	"AWI"	17	2308	4081	3209	7	3	26	1	144	0	0	0	2	32	0	1	2	0	0	11	0	0	33.5	915.5	0	47	0	0	0	0	0	1	1	1	0	16	16	5	2	0
817	843	"Forest Pond 2"	43.43889	-109.95	21	"AWI"	21	3094	4763	3982	3	0	18	0	103	0	0	0	0	16	0	0	0	0	0	4	0	0	8	431.5	0	43	0	0	1	0	2	4	0	0	0	15	6	8	0	0
