"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Salix"
1629	1684	"Lynn Lake"	56.84167	-101.04194	0	"AWI"	0	-142	22	-63	34.0331491712707	0.110497237569061	0.773480662983425	0	13.3701657458564	0	7.18232044198895	0	0.110497237569061	3.0939226519337	18.5635359116022	22.6519337016575	0	0.110497237569061
1629	1684	"Lynn Lake"	56.84167	-101.04194	5	"AWI"	5	-18	1107	415	48.2985729967069	0	1.09769484083425	0	11.8551042810099	0	3.18331503841932	1.09769484083425	0.109769484083425	0	8.56201975850714	22.5027442371021	3.18331503841932	0.109769484083425
1629	1684	"Lynn Lake"	56.84167	-101.04194	10	"AWI"	10	321	1401	986	7.38341968911917	0.129533678756477	0	0	7.38341968911917	0	14.7668393782383	2.46113989637306	2.46113989637306	0	20.9844559585492	43.1347150259067	1.29533678756477	0
1629	1684	"Lynn Lake"	56.84167	-101.04194	15	"AWI"	15	1310	1541	1418	7.16577540106952	0	2.03208556149733	0	4.06417112299465	0	25.4545454545455	1.06951871657754	0.106951871657754	1.06951871657754	22.3529411764706	35.6149732620321	1.06951871657754	0
1629	1684	"Lynn Lake"	56.84167	-101.04194	20	"AWI"	20	1389	1952	1605	23.2998885172798	0	2.11817168338907	0	5.35117056856187	0	35.0055741360089	1.11482720178372	0	0.111482720178372	11.7056856187291	19.0635451505017	1.11482720178372	1.11482720178372
1629	1684	"Lynn Lake"	56.84167	-101.04194	25	"AWI"	25	1521	2201	1825	10.5813953488372	0	0	0	6.74418604651163	0	42.093023255814	0.116279069767442	0	0.116279069767442	12.4418604651163	26.8604651162791	0.116279069767442	0.930232558139535
1629	1684	"Lynn Lake"	56.84167	-101.04194	27.5	"AWI"	27.5	1635	2276.5	1929.5	8.12641083521445	0	1.01580135440181	0	51.0158013544018	0	3.04740406320542	2.03160270880361	0	2.03160270880361	10.1580135440181	19.4130925507901	0.112866817155756	3.04740406320542
1629	1684	"Lynn Lake"	56.84167	-101.04194	30	"AWI"	30	1700	2415	2035	6.23608017817372	0	0.111358574610245	0	42.3162583518931	0	10.467706013363	0.111358574610245	0	2.11581291759465	8.35189309576838	21.9376391982183	1.0022271714922	7.34966592427617
1629	1684	"Lynn Lake"	56.84167	-101.04194	40	"AWI"	40	2200	3904	2748	15.5495978552279	0	1.07238605898123	0	27.8820375335121	0	6.16621983914209	3.08310991957105	0	8.31099195710456	15.5495978552279	19.5710455764075	0.804289544235925	2.01072386058981
1629	1684	"Lynn Lake"	56.84167	-101.04194	45	"AWI"	45	2488	4447	3297	11.8238993710692	0.125786163522013	1.0062893081761	0	28.1761006289308	0	9.81132075471698	2.0125786163522	0	3.89937106918239	17.7358490566038	22.6415094339623	0.754716981132076	2.0125786163522
