"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Juniperus"	"Onagraceae"	"Picea"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Thalictrum"
992	1024	"Headwaters Lake"	67.93333	-155.05	0	"AWI"	0	-155	14	-69	89	8	0	86	0	0	0	69	6	0	0	17	14	0	0	0	0	1	9	0
992	1024	"Headwaters Lake"	67.93333	-155.05	4	"AWI"	4	-51	437	122	71	8	0	126	0	0	1	52	4	0	0	15	19	0	0	0	0	0	15	0
992	1024	"Headwaters Lake"	67.93333	-155.05	12	"AWI"	12	196	1017	544	79	9	0	109	0	0	0	55	6	0	0	17	12	0	0	1	0	0	10	0
992	1024	"Headwaters Lake"	67.93333	-155.05	20	"AWI"	20	511	1527	970	82	10	0	121	0	0	1	38	4	0	1	17	7	2	0	0	0	0	12	0
992	1024	"Headwaters Lake"	67.93333	-155.05	34	"AWI"	34	1163	2299	1713	82	4	0	114	0	0	0	52	6	0	0	14	7	0	0	0	0	0	13	1
992	1024	"Headwaters Lake"	67.93333	-155.05	46	"AWI"	46	1778	2899	2354	94	5	0	117	0	0	0	55	3	0	0	11	10	2	0	0	0	0	9	1
992	1024	"Headwaters Lake"	67.93333	-155.05	54	"AWI"	54	2223	3265	2778	108	9	0	101	0	0	0	71	7	0	0	13	12	0	0	0	0	1	9	0
992	1024	"Headwaters Lake"	67.93333	-155.05	66	"AWI"	66	2962	3786	3409	120	7	0	110	0	0	0	33	7	0	0	13	5	1	0	0	0	0	5	0
992	1024	"Headwaters Lake"	67.93333	-155.05	74	"AWI"	74	3460	4121	3797	122	9	0	88	0	0	1	52	7	0	0	13	9	1	0	0	0	1	10	0
992	1024	"Headwaters Lake"	67.93333	-155.05	82	"AWI"	82	3720	4565	4114	100	8	0	104	0	0	0	37	14	0	0	19	9	1	0	2	0	1	6	0
992	1024	"Headwaters Lake"	67.93333	-155.05	94	"AWI"	94	4134	5137	4607	109	3	0	133	0	0	0	34	6	0	0	14	6	0	0	0	0	1	8	0
992	1024	"Headwaters Lake"	67.93333	-155.05	102	"AWI"	102	4419	5501	4936	124	7	0	122	0	0	0	37	5	0	0	3	7	0	0	0	0	0	4	0
992	1024	"Headwaters Lake"	67.93333	-155.05	110	"AWI"	110	4728	5858	5266	116	5	0	116	0	0	0	33	5	0	0	11	8	0	0	0	0	0	4	0
992	1024	"Headwaters Lake"	67.93333	-155.05	118	"AWI"	118	5034	6188	5592	131	7	0	107	0	0	0	33	3	0	0	7	4	1	0	0	0	0	4	0
992	1024	"Headwaters Lake"	67.93333	-155.05	130	"AWI"	130	5527	6678	6096	120	4	0	98	0	0	0	48	5	0	0	12	9	0	0	0	0	0	4	1
992	1024	"Headwaters Lake"	67.93333	-155.05	142	"AWI"	142	6037	7164	6595	125	5	0	133	0	0	1	32	3	0	0	6	4	0	0	0	0	0	5	0
992	1024	"Headwaters Lake"	67.93333	-155.05	150	"AWI"	150	6399	7464	6919	161	2	0	109	0	1	2	34	2	0	0	1	4	0	0	0	0	0	4	0
992	1024	"Headwaters Lake"	67.93333	-155.05	162	"AWI"	162	6985	7923	7411	149	1	0	121	0	0	0	19	3	0	0	7	3	0	0	0	0	0	3	0
992	1024	"Headwaters Lake"	67.93333	-155.05	170	"AWI"	170	7427	8240	7730	111	2	0	120	0	0	0	53	4	1	0	1	4	0	0	0	0	0	7	0
992	1024	"Headwaters Lake"	67.93333	-155.05	182	"AWI"	182	7989	9115	8444	10	8	0	225	0	0	0	40	0	0	0	5	8	1	0	0	0	0	10	0
992	1024	"Headwaters Lake"	67.93333	-155.05	190	"AWI"	190	8373	9733	8970	2	4	0	210	0	0	2	52	3	3	0	2	7	0	0	0	0	0	9	1
992	1024	"Headwaters Lake"	67.93333	-155.05	198	"AWI"	198	8808	10297	9502	4	8	0	231	0	0	0	35	2	0	0	0	4	0	0	0	0	0	14	0
992	1024	"Headwaters Lake"	67.93333	-155.05	206	"AWI"	206	9296	10853	10033	5	8	0	231	0	0	0	30	5	0	0	0	6	0	4	0	0	0	13	0
992	1024	"Headwaters Lake"	67.93333	-155.05	218	"AWI"	218	10019	11646	10823	0	2	0	281	0	0	0	16	1	0	0	0	6	0	0	0	0	0	5	0
992	1024	"Headwaters Lake"	67.93333	-155.05	226	"AWI"	226	10547	12125	11351	0	5	0	229	0	0	0	43	3	0	0	0	7	0	0	0	0	0	14	0
992	1024	"Headwaters Lake"	67.93333	-155.05	234	"AWI"	234	11102	12575	11873	0	8	0	170	2	0	0	60	3	0	0	0	17	2	0	0	0	2	20	2
992	1024	"Headwaters Lake"	67.93333	-155.05	242	"AWI"	242	11650	13037	12404	0	8	0	190	0	0	2	51	3	0	0	0	20	2	0	1	0	1	22	1
992	1024	"Headwaters Lake"	67.93333	-155.05	250	"AWI"	250	12249	13455	12919	4	1	0	235	0	0	0	51	1	0	0	0	5	0	0	0	0	1	12	0
992	1024	"Headwaters Lake"	67.93333	-155.05	258	"AWI"	258	12924	13854	13434	0	5	0	104	0	0	2	109	2	0	1	0	32	0	0	0	0	0	37	0
992	1024	"Headwaters Lake"	67.93333	-155.05	262	"AWI"	262	13173	14108	13657	1	13	0	65	0	0	0	102	2	3	0	0	23	1	5	0	0	2	64	1
