"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fraxinus"	"Liliaceae"	"Myrica"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Tsuga"
788	808	"East Sooke Fen"	48.35194	-123.68167	5	"AWI"	5	-46	534	157	0	0	69	0	0	0	0	0	0	0	0	4	126	0	0	0	0	0	1	37	0	31	23	19	0	0	0	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	15	"AWI"	15	10	1682	533	4	0	110	0	0	0	3	0	0	0	0	9	17	0	0	0	0	0	4	72	0	5	3	33	1	5	0	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	25	"AWI"	25	49	2831	913	3	0	124	0	6	1	1	0	0	0	0	12	27	0	1	0	0	0	6	71	0	2	2	77	0	17	0	0	0	32
788	808	"East Sooke Fen"	48.35194	-123.68167	35	"AWI"	35	286	3376	1375	4	0	123	0	1	0	0	0	0	0	0	12	17	1	0	0	0	0	3	0	0	3	5	14	0	6	3	2	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	45	"AWI"	45	489	3760	1871	4	0	132	0	4	0	0	4	0	0	0	6	12	0	0	0	0	0	7	74	0	2	2	40	0	1	2	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	55	"AWI"	55	626	4424	2345	0	0	76	2	2	0	1	4	0	0	0	8	30	0	0	0	0	0	6	115	0	1	0	41	0	8	1	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	65	"AWI"	65	1120	4741	2843	5	0	61	0	0	1	2	0	0	0	0	61	33	0	0	0	0	0	4	0	0	1	0	82	0	2	1	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	75	"AWI"	75	1456	5053	3375	5	0	61	0	0	0	1	0	0	0	1	23	21	0	0	0	0	1	4	63	0	8	0	91	0	0	1	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	85	"AWI"	85	1745	5510	3903	5	0	39	0	1	1	0	0	0	0	0	50	31	0	0	0	0	0	10	61	0	1	0	88	0	2	1	0	1	0
788	808	"East Sooke Fen"	48.35194	-123.68167	95	"AWI"	95	2656	5634	4339	3	0	51	0	0	0	0	0	0	0	0	22	30	0	0	0	0	0	6	88	0	2	0	94	2	7	3	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	105	"AWI"	105	3266	5797	4830	3	0	46	1	1	0	0	0	0	0	0	45	34	0	1	0	0	1	2	132	0	1	1	38	0	3	1	0	0	33
788	808	"East Sooke Fen"	48.35194	-123.68167	115	"AWI"	115	3747	6064	5311	3	0	70	0	0	0	0	0	0	0	0	22	8	0	0	0	0	0	18	104	0	1	0	82	1	1	1	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	125	"AWI"	125	4689	6123	5618	3	0	59	0	0	0	0	0	0	0	0	32	49	0	0	0	0	1	4	61	0	0	2	69	0	3	1	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	135	"AWI"	135	5559	6201	5929	2	0	126	0	0	0	1	0	0	0	1	38	7	0	0	0	0	0	15	54	0	4	1	43	3	0	2	0	2	0
788	808	"East Sooke Fen"	48.35194	-123.68167	145	"AWI"	145	5963	6438	6205	2	0	101	1	0	0	1	0	0	0	0	22	8	0	0	0	0	0	13	92	0	3	0	50	2	3	0	0	0	26
788	808	"East Sooke Fen"	48.35194	-123.68167	155	"AWI"	155	6048	6632	6319	2	0	106	0	1	0	1	0	0	0	0	19	19	0	0	0	0	0	14	76	0	0	0	58	4	1	1	1	1	0
788	808	"East Sooke Fen"	48.35194	-123.68167	165	"AWI"	165	6093	6904	6421	1	0	83	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	16	0	0	1	0	73	2	6	2	0	0	21
788	808	"East Sooke Fen"	48.35194	-123.68167	175	"AWI"	175	6172	7097	6536	2	0	114	0	0	0	1	0	0	0	0	27	12	0	0	0	0	0	16	0	0	1	0	44	2	7	1	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	185	"AWI"	185	6262	7204	6668	2	2	94	0	3	0	0	0	0	0	0	22	9	0	1	0	0	0	10	86	0	0	0	71	1	0	2	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	195	"AWI"	195	6315	7352	6788	4	0	89	1	1	0	0	0	1	0	0	17	8	0	0	0	0	1	4	72	0	2	0	103	2	3	4	0	1	0
788	808	"East Sooke Fen"	48.35194	-123.68167	205	"AWI"	205	6437	7474	6915	5	0	82	0	1	0	1	0	0	0	0	32	16	0	0	0	0	0	7	0	0	0	0	63	0	17	3	0	8	31
788	808	"East Sooke Fen"	48.35194	-123.68167	215	"AWI"	215	6548	7545	7049	3	0	88	0	0	0	3	0	1	0	0	11	19	1	1	0	0	0	9	93	0	2	1	84	0	5	4	0	2	0
788	808	"East Sooke Fen"	48.35194	-123.68167	225	"AWI"	225	6619	7672	7181	2	0	76	0	0	1	1	0	0	0	0	26	6	0	0	0	0	0	6	103	0	3	0	43	1	7	4	1	0	18
788	808	"East Sooke Fen"	48.35194	-123.68167	235	"AWI"	235	6816	7751	7295	3	0	97	0	0	0	1	0	0	0	1	7	18	0	0	0	0	0	4	118	0	0	0	53	2	2	0	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	245	"AWI"	245	7012	7810	7407	2	0	89	0	0	0	0	0	0	0	0	10	8	0	2	0	0	0	18	84	0	0	0	78	1	5	2	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	255	"AWI"	255	7122	7913	7525	4	0	52	0	0	0	2	0	2	0	0	3	20	0	0	0	0	0	20	122	0	0	0	84	0	3	0	0	0	0
788	808	"East Sooke Fen"	48.35194	-123.68167	265	"AWI"	265	7332	8017	7652	5	0	65	0	0	0	3	0	0	0	0	13	34	0	0	0	0	0	13	96	0	3	0	34	0	6	3	0	0	28
788	808	"East Sooke Fen"	48.35194	-123.68167	275	"AWI"	275	7450	8207	7784	3	0	92	0	0	0	2	0	0	0	0	2	25	0	0	0	0	0	11	139	0	1	0	32	1	8	6	0	0	14
788	808	"East Sooke Fen"	48.35194	-123.68167	285	"AWI"	285	7512	8488	7907	1	0	70	0	0	0	1	0	0	0	0	12	6	0	1	1	0	0	9	0	0	1	0	72	0	3	2	0	0	18
788	808	"East Sooke Fen"	48.35194	-123.68167	295	"AWI"	295	7619	8644	8052	2	0	72	0	0	0	0	0	0	0	0	6	18	0	1	0	0	0	9	136	0	0	0	58	0	2	1	0	0	0
