"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
204	204	"Andree Bog"	45.725	-93.25	425	"AWI"	425	8370	10673	9602	0.198412698412698	0	2.57936507936508	3.96825396825397	5.55555555555556	0	5.15873015873016	0	0	0	0.992063492063492	0	0.396825396825397	0	1.38888888888889	5.35714285714286	0.198412698412698	0	0.198412698412698	2.38095238095238	2.18253968253968	0	0.595238095238095	2.18253968253968	0	0	0	4.56349206349206	1.38888888888889	23.4126984126984	0.198412698412698	14.8809523809524	2.77777777777778	9.32539682539683	0	0.198412698412698	0	0	0	2.38095238095238	0	0	0	0	0.198412698412698	7.14285714285714	0	0.198412698412698
204	204	"Andree Bog"	45.725	-93.25	445	"AWI"	445	8894	11041	10052	0.419287211740042	0	3.9832285115304	0.209643605870021	1.46750524109015	0	9.22431865828092	0	0	0.209643605870021	0.628930817610063	0	0	0	0.419287211740042	3.77358490566038	0	0	0	4.82180293501048	3.77358490566038	0	0	0	0	0.628930817610063	0	2.93501048218029	1.46750524109015	38.1551362683438	0.209643605870021	3.77358490566038	2.93501048218029	9.0146750524109	0	0	0	0	0	0.838574423480084	0	0	0	0	0	10.062893081761	1.0482180293501	0
204	204	"Andree Bog"	45.725	-93.25	505	"AWI"	505	10568	12120	11402	0.252525252525253	0	2.77777777777778	0.505050505050505	2.27272727272727	0	18.1818181818182	0	0	0	0	0	0.252525252525253	0.252525252525253	2.27272727272727	3.53535353535354	0	0.252525252525253	0	8.08080808080808	0.757575757575758	0	0	2.77777777777778	0	1.76767676767677	0	1.26262626262626	9.09090909090909	30.050505050505	0	3.28282828282828	4.29292929292929	2.27272727272727	0	0	0	0	0.505050505050505	0.505050505050505	0	0	0	0	0	4.54545454545455	0	0.252525252525253
204	204	"Andree Bog"	45.725	-93.25	515	"AWI"	515	10808	12286	11622	0.314795383001049	1.04931794333683	5.03672612801679	0.944386149003148	3.25288562434418	0	12.4868835257083	0	0	0.314795383001049	0.104931794333683	0	0.104931794333683	0	1.2591815320042	4.40713536201469	0	0	0	7.55508919202518	0.944386149003148	0	0	1.99370409233998	0	4.09233997901364	0	1.78384050367261	22.2455403987408	7.76495278069255	0	1.78384050367261	9.02413431269675	4.61699895068206	0	0	0.314795383001049	0	0	1.15424973767051	0	0.104931794333683	0	0.209863588667366	0	5.45645330535152	1.46904512067156	0.209863588667366
204	204	"Andree Bog"	45.725	-93.25	525	"AWI"	525	11026	12453	11843	0	0	3.08285163776493	0.192678227360308	3.66088631984586	0	4.6242774566474	0	0	0	0	0	0.192678227360308	0	0.770712909441233	8.09248554913295	0	0	0	5.78034682080925	0.578034682080925	0	0	1.54142581888247	0	4.43159922928709	0	2.11946050096339	42.7745664739884	3.08285163776493	0	3.27552986512524	6.35838150289017	4.81695568400771	0	0	0.192678227360308	0	0.192678227360308	1.34874759152216	0	0	0.192678227360308	0	0	2.69749518304432	0	0
204	204	"Andree Bog"	45.725	-93.25	535	"AWI"	535	11245	12615	12065	0	0	3.27455919395466	1.25944584382872	6.29722921914358	0	4.78589420654912	0	0	0	0	0	0	0	0.503778337531486	11.0831234256927	0	0	0	0	3.27455919395466	0	0	3.77833753148615	0	4.78589420654912	0.251889168765743	2.01511335012594	38.7909319899244	1.00755667506297	0	4.03022670025189	6.04534005037783	2.77078085642317	0	0	0.503778337531486	0	0	2.26700251889169	0	0.251889168765743	0	0.251889168765743	0	1.51133501259446	1.25944584382872	0
204	204	"Andree Bog"	45.725	-93.25	545	"AWI"	545	11504	12781	12278	0	0	2.30414746543779	0.460829493087558	6.45161290322581	0	6.91244239631336	0	0	0	0	0	0	0	0.460829493087558	9.21658986175115	0	0	0	0	1.38248847926267	0	0	3.2258064516129	0	4.60829493087558	0	0.921658986175115	52.073732718894	0	0	4.14746543778802	4.14746543778802	1.38248847926267	0	0	0	0	0	1.38248847926267	0.460829493087558	0	0	0	0	0.460829493087558	0	0
204	204	"Andree Bog"	45.725	-93.25	556	"AWI"	556	11767	12956	12516	0	0	4.98442367601246	1.86915887850467	4.98442367601246	0	8.41121495327103	0	0	0	0	0	0	0	0.311526479750779	13.0841121495327	0	0.311526479750779	0	0	3.11526479750779	0	0	3.73831775700935	0	3.42679127725857	0	2.18068535825545	34.5794392523364	0.623052959501558	0	5.29595015576324	7.16510903426791	1.86915887850467	0	0	0	0	0	0.934579439252336	0	0	0	0	0	3.11526479750779	0	0
204	204	"Andree Bog"	45.725	-93.25	560	"AWI"	560	11873	13021	12599	0	0	1.13421550094518	0	5.2930056710775	0	4.15879017013232	0.189035916824197	0	0.378071833648393	0	0	0.189035916824197	0	0.945179584120983	9.26275992438563	0	0	0	0	2.45746691871456	0.189035916824197	0	4.15879017013232	0	4.53686200378072	0	1.70132325141777	46.5028355387524	0.56710775047259	0	4.91493383742911	5.4820415879017	1.32325141776938	0	0	0	0	0.189035916824197	2.26843100189036	0	0	0	0.189035916824197	0	1.32325141776938	2.64650283553875	0
204	204	"Andree Bog"	45.725	-93.25	565	"AWI"	565	11989	13081	12704	0	0	1.89753320683112	0.379506641366224	7.02087286527514	0	1.70777988614801	0	0	0	0	0	0	0	0.569259962049336	7.02087286527514	0	0	0.189753320683112	0	7.77988614800759	0	0	0.94876660341556	0	1.5180265654649	0	1.13851992409867	56.1669829222011	0.569259962049336	0	3.60531309297913	5.31309297912714	1.5180265654649	0	0	0.189753320683112	0	0	1.70777988614801	0	0	0	0	0	0.759013282732448	0	0
