"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Corylus"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Ranunculaceae"	"Salix"	"Sambucus"
516	530	"Voros-mocsar"	46.47722	19.19083	10	"AWI"	10	27	1627	633	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	50	"AWI"	50	3120	3721	3428	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	80	"AWI"	80	3553	5129	4233	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	110	"AWI"	110	4136	6120	5094	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	130	"AWI"	130	4717	6554	5685	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	150	"AWI"	150	5334	6955	6281	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	170	"AWI"	170	5979	7260	6839	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	190	"AWI"	190	6897	7495	7315	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	230	"AWI"	230	7315	8048	7602	0	0	1	0	0	0	0	0	0	0	8	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	250	"AWI"	250	7624	8431	7825	0	0	0	0	1	0	0	2	0	4	11	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	270	"AWI"	270	8413	11560	9783	1	0	0	0	0	0	1	0	0	2	16	1	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	290	"AWI"	290	10372	12885	11917	0	0	0	0	1	0	1	0	0	1	36	2	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	310	"AWI"	310	12187	13410	13198	0	0	0	0	1	0	0	0	0	5	87	0	0	0	0
516	530	"Voros-mocsar"	46.47722	19.19083	330	"AWI"	330	12699	14033	13477	2	0	1	0	8	0	0	0	1	7	93	2	1	1	0
516	530	"Voros-mocsar"	46.47722	19.19083	350	"AWI"	350	13085	14400	13681	0	0	0	0	3	0	2	0	0	0	94	7	0	2	1
516	530	"Voros-mocsar"	46.47722	19.19083	370	"AWI"	370	13396	14709	13884	0	0	1	0	0	0	0	2	0	3	85	0	0	0	0
