"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Castanea"	"Celtis"	"Cephalanthus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Juglans"	"Larix"	"Liquidambar"	"Morus"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
314	321	"Bucyrus Bog"	40.79722	-82.93333	28	"AWI"	28	8693	10768	9798	0	0	6	1	0	0	1	15	0	0	37	3	0	21	0	4	0	26	7	2	0	1	16	28	0	0	5	3	2	146	0	0	1	0	1	0	0	0	29	1
314	321	"Bucyrus Bog"	40.79722	-82.93333	37	"AWI"	37	9022	11034	10115	0	0	3	0	0	0	7	7	0	0	0	1	0	14	0	1	0	30	8	0	0	0	0	93	1	31	0	2	2	148	0	0	0	0	1	0	2	0	49	1
314	321	"Bucyrus Bog"	40.79722	-82.93333	47	"AWI"	47	9435	11298	10462	2	0	10	0	1	0	5	4	0	1	0	2	0	2	0	1	0	0	3	0	1	0	0	22	7	418	0	5	1	39	0	0	0	1	1	0	0	2	37	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	62	"AWI"	62	10264	11639	10931	4	0	15	0	0	0	4	4	0	0	0	1	0	13	0	1	1	0	0	0	11	0	0	11	14	266	0	5	1	45	0	1	0	0	3	0	1	1	8	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	70	"AWI"	70	10700	11848	11214	6	0	2	1	2	0	5	4	0	0	0	2	0	25	0	0	0	18	1	0	7	0	0	8	43	157	2	9	0	28	0	1	0	0	6	0	0	5	20	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	78	"AWI"	78	10944	12137	11514	8	0	6	1	1	0	11	2	0	1	0	4	0	14	0	0	0	16	2	0	7	0	0	15	58	126	1	1	4	37	1	0	2	0	4	0	0	3	13	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	82	"AWI"	82	11026	12354	11661	9	0	5	0	2	0	4	2	0	0	0	4	0	9	0	0	0	0	1	0	11	0	0	10	81	112	0	8	1	25	0	0	0	0	2	0	0	2	16	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	86	"AWI"	86	11166	12512	11811	10	0	3	0	2	0	5	4	0	0	0	3	0	16	0	0	0	0	0	0	8	0	0	13	89	106	0	5	0	30	0	0	0	0	1	0	1	2	17	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	90	"AWI"	90	11306	12615	11978	6	0	4	0	2	0	7	4	0	0	0	5	0	7	0	0	0	0	4	0	6	0	0	11	67	103	1	12	8	35	0	0	1	1	3	0	0	5	19	0
314	321	"Bucyrus Bog"	40.79722	-82.93333	94	"AWI"	94	11383	12772	12141	10	0	6	0	9	0	9	5	0	0	0	7	0	26	0	0	1	18	4	0	12	0	0	24	132	66	0	10	3	58	0	0	0	1	5	2	1	1	13	0
