"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
214	215	"Arts Lough"	52.95	-6.43333	3	"AWI"	3	141	990	688	21	0	0	1	0	0	12	0	2	1	0	0	0	70	0	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	5	0	0	0	17	0	0	0	0	0	1	0	0	0	0	0	5	0
214	215	"Arts Lough"	52.95	-6.43333	7	"AWI"	7	815	1702	1364	42	0	1	0	1	0	21	0	0	1	1	0	0	125	0	10	152	0	0	0	2	0	0	0	0	1	0	0	0	5	0	1	9	0	73	0	32	0	0	0	0	0	1	0	0	0	0	0	9	0
214	215	"Arts Lough"	52.95	-6.43333	10	"AWI"	10	1448	1854	1678	25	0	0	0	0	0	19	0	0	0	0	0	0	94	0	12	80	0	0	0	2	0	1	0	0	2	0	0	0	3	0	0	6	0	40	0	15	0	0	0	0	0	0	0	0	1	0	0	10	0
214	215	"Arts Lough"	52.95	-6.43333	11	"AWI"	11	1492	1865	1694	26	1	0	1	0	0	25	0	1	1	0	0	0	92	0	14	0	0	1	0	5	0	0	1	0	4	0	0	0	0	0	4	2	0	59	0	21	0	0	0	0	0	0	0	0	0	0	0	6	0
214	215	"Arts Lough"	52.95	-6.43333	12	"AWI"	12	1534	1878	1711	23	0	0	0	0	0	19	0	2	0	0	0	0	55	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	8	0	40	0	16	0	0	0	0	0	0	0	0	0	0	0	4	0
214	215	"Arts Lough"	52.95	-6.43333	13	"AWI"	13	1568	1894	1729	27	0	0	0	1	0	14	0	0	1	0	0	0	74	0	8	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	0	62	0	21	0	0	0	0	0	0	0	2	0	0	0	9	0
214	215	"Arts Lough"	52.95	-6.43333	14	"AWI"	14	1596	1915	1748	29	0	0	1	0	0	14	0	1	1	0	0	0	100	0	10	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	7	0	58	0	30	0	0	0	0	0	2	0	1	0	0	0	15	0
214	215	"Arts Lough"	52.95	-6.43333	16	"AWI"	16	1650	1982	1807	29	0	0	0	0	0	10	0	0	0	0	1	0	84	0	3	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	13	1
214	215	"Arts Lough"	52.95	-6.43333	18	"AWI"	18	1699	2111	1876	18	0	0	0	0	0	11	0	2	0	0	0	0	73	0	6	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	6	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	6	0
214	215	"Arts Lough"	52.95	-6.43333	19	"AWI"	19	1720	2183	1909	33	0	0	4	2	0	31	0	0	2	0	0	0	147	0	21	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	5	12	0	102	0	31	0	0	0	0	0	0	0	0	0	0	0	20	0
214	215	"Arts Lough"	52.95	-6.43333	20	"AWI"	20	1738	2272	1942	8	1	0	0	0	0	12	0	1	0	0	0	0	47	0	5	51	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	32	0	15	0	0	0	0	0	0	1	0	0	0	0	6	0
214	215	"Arts Lough"	52.95	-6.43333	21	"AWI"	21	1942	2501	2216	17	0	0	0	0	0	12	0	2	0	0	0	0	67	0	15	76	0	0	0	4	0	0	0	0	3	0	0	0	13	0	1	6	0	37	0	21	0	1	0	0	0	3	0	0	0	0	0	8	0
214	215	"Arts Lough"	52.95	-6.43333	22	"AWI"	22	2084	2795	2495	18	1	1	0	1	0	12	0	1	1	0	0	0	72	0	10	65	0	0	0	1	0	1	0	0	4	0	0	0	0	0	2	5	0	56	0	20	0	0	0	0	0	0	0	0	0	0	0	6	0
214	215	"Arts Lough"	52.95	-6.43333	23	"AWI"	23	2209	3105	2767	24	0	0	0	0	0	17	1	1	3	0	0	0	73	0	9	0	0	0	0	2	0	0	1	0	14	0	0	0	0	0	2	6	0	59	0	20	0	0	0	0	0	2	0	2	0	0	0	8	0
214	215	"Arts Lough"	52.95	-6.43333	25	"AWI"	25	2427	3797	3299	47	1	0	0	0	0	24	0	0	4	0	0	0	106	0	5	0	0	0	0	5	0	0	0	0	11	0	0	0	0	0	0	5	0	51	0	55	0	0	0	0	0	4	0	3	3	0	0	16	0
214	215	"Arts Lough"	52.95	-6.43333	27	"AWI"	27	3353	3925	3672	103	0	0	1	0	0	27	0	0	8	0	0	0	213	0	10	0	0	0	0	7	0	0	0	48	32	0	0	0	0	0	0	14	0	0	0	96	0	0	0	0	0	7	0	2	0	0	0	16	0
214	215	"Arts Lough"	52.95	-6.43333	29	"AWI"	29	3675	4565	4064	48	1	0	0	0	0	17	0	0	1	0	0	0	99	0	2	0	0	1	0	6	0	0	0	0	16	0	0	0	0	0	0	10	0	0	0	66	0	0	0	0	0	1	0	1	3	0	0	25	0
214	215	"Arts Lough"	52.95	-6.43333	35	"AWI"	35	3977	5503	4654	30	0	0	0	0	0	16	0	0	3	0	0	0	93	0	0	0	0	0	0	12	0	0	1	0	8	0	0	0	1	0	1	5	0	0	0	85	0	0	0	0	0	2	0	1	0	0	0	28	0
214	215	"Arts Lough"	52.95	-6.43333	40	"AWI"	40	4274	5860	5049	36	0	0	1	0	0	29	0	0	0	0	0	0	90	0	2	0	0	0	0	10	0	0	0	0	19	0	0	0	0	0	0	13	0	0	0	73	0	0	0	0	0	2	0	0	0	0	0	20	0
214	215	"Arts Lough"	52.95	-6.43333	45	"AWI"	45	4606	6151	5435	24	0	0	0	0	0	3	0	0	0	0	0	0	64	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	26	0	0	0	0	0	1	0	2	0	0	0	21	0
214	215	"Arts Lough"	52.95	-6.43333	50	"AWI"	50	4984	6432	5822	40	0	0	0	0	0	4	0	0	0	0	0	0	49	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	14	0	0	0	20	0	0	0	0	0	1	0	1	0	0	0	19	0
214	215	"Arts Lough"	52.95	-6.43333	58	"AWI"	58	5971	6752	6396	29	0	0	0	0	0	12	0	0	0	0	0	0	54	0	1	7	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	41	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	38	0
214	215	"Arts Lough"	52.95	-6.43333	59	"AWI"	59	6092	6797	6467	44	0	0	1	1	0	31	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	51	0	0	0	43	0	0	0	0	0	1	0	1	0	0	1	43	0
214	215	"Arts Lough"	52.95	-6.43333	60	"AWI"	60	6167	6867	6543	49	0	0	1	0	0	33	0	0	0	0	0	0	99	0	2	0	0	0	0	0	0	0	2	0	149	0	0	0	6	0	0	61	0	0	0	58	0	0	0	0	0	6	0	0	0	0	0	48	1
