"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Indeterminable"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"
263	269	"Banks Island 74MS15"	73.53333	-120.21667	2.5	"AWI"	2.5	-89	316	54.5	0	15	0	12	10	0	60	0	5	6	2	80	35	55	25	10
263	269	"Banks Island 74MS15"	73.53333	-120.21667	7.5	"AWI"	7.5	-46.5	1045.5	290.5	3	21	0	15	11	3	68	0	7	7	3	95	24	0	17	15
263	269	"Banks Island 74MS15"	73.53333	-120.21667	12.5	"AWI"	12.5	78.5	1516	558.5	0	20	0	14	7	7	140	0	3	24	1	84	7	0	5	18
263	269	"Banks Island 74MS15"	73.53333	-120.21667	17.5	"AWI"	17.5	194.5	1856	853.5	0	19	0	12	5	3	136	0	5	21	4	97	9	0	9	17
263	269	"Banks Island 74MS15"	73.53333	-120.21667	21	"AWI"	21	305	2138	1048	0	11	12	18	6	0	84	6	3	6	12	150	0	0	7	7
263	269	"Banks Island 74MS15"	73.53333	-120.21667	25	"AWI"	25	471	2303	1284	0	10	9	19	5	0	99	3	5	13	9	130	0	0	9	6
263	269	"Banks Island 74MS15"	73.53333	-120.21667	30	"AWI"	30	597	2598	1592	0	16	6	24	6	0	108	0	2	18	1	114	0	0	13	2
263	269	"Banks Island 74MS15"	73.53333	-120.21667	35	"AWI"	35	909	2748	1886	0	11	7	23	5	0	100	0	5	19	2	115	8	0	12	5
263	269	"Banks Island 74MS15"	73.53333	-120.21667	40	"AWI"	40	1098	3007	2182	0	15	0	18	6	0	120	0	3	12	0	82	14	0	16	7
263	269	"Banks Island 74MS15"	73.53333	-120.21667	45	"AWI"	45	1583	3129	2476	0	13	0	20	5	0	118	0	1	14	1	85	12	0	8	10
263	269	"Banks Island 74MS15"	73.53333	-120.21667	50	"AWI"	50	1854	3351	2796	0	15	0	10	0	0	105	20	2	10	2	130	0	0	10	10
263	269	"Banks Island 74MS15"	73.53333	-120.21667	55	"AWI"	55	2619	3491	3063	0	13	0	15	0	0	104	18	5	12	3	137	0	0	13	11
263	269	"Banks Island 74MS15"	73.53333	-120.21667	61	"AWI"	61	3033	3899	3438	8	11	12	12	0	4	64	0	4	12	1	160	8	0	9	9
263	269	"Banks Island 74MS15"	73.53333	-120.21667	65	"AWI"	65	3201	4295	3718	7	6	9	15	0	7	72	0	1	14	2	155	7	0	5	11
263	269	"Banks Island 74MS15"	73.53333	-120.21667	70	"AWI"	70	3304	4998	4060	0	10	0	24	18	22	63	0	3	10	5	96	0	0	10	5
263	269	"Banks Island 74MS15"	73.53333	-120.21667	75	"AWI"	75	3651	5176	4427	0	10	0	25	19	21	62	0	1	15	6	98	0	0	12	4
263	269	"Banks Island 74MS15"	73.53333	-120.21667	80	"AWI"	80	3819	5569	4795	0	10	9	36	5	0	68	0	2	14	9	135	0	0	5	8
263	269	"Banks Island 74MS15"	73.53333	-120.21667	85	"AWI"	85	4438	5668	5115	0	11	7	40	6	0	74	0	7	16	8	130	0	0	9	8
263	269	"Banks Island 74MS15"	73.53333	-120.21667	90	"AWI"	90	4747	5913	5482	5	5	10	15	0	5	75	0	3	15	0	145	0	0	5	12
263	269	"Banks Island 74MS15"	73.53333	-120.21667	95	"AWI"	95	5339	6103	5732	4	8	9	21	0	4	77	0	5	17	0	141	0	0	8	13
263	269	"Banks Island 74MS15"	73.53333	-120.21667	100	"AWI"	100	5549	6631	5997	0	5	0	17	5	0	190	0	4	10	0	90	0	0	5	9
263	269	"Banks Island 74MS15"	73.53333	-120.21667	105	"AWI"	105	5708	6905	6219	0	7	0	15	6	0	187	0	3	14	0	95	0	0	9	6
263	269	"Banks Island 74MS15"	73.53333	-120.21667	109	"AWI"	109	5782	7270	6382	8	10	0	20	4	0	130	0	6	6	0	70	0	0	21	10
263	269	"Banks Island 74MS15"	73.53333	-120.21667	115	"AWI"	115	5958	7581	6643	7	13	0	21	5	0	127	0	11	9	1	73	0	0	22	14
263	269	"Banks Island 74MS15"	73.53333	-120.21667	120	"AWI"	120	6066	7949	6851	0	2	4	16	0	0	196	4	2	7	0	108	12	0	4	8
263	269	"Banks Island 74MS15"	73.53333	-120.21667	125	"AWI"	125	6245	8113	7081	0	3	7	21	0	0	194	5	5	9	0	103	13	0	14	7
263	269	"Banks Island 74MS15"	73.53333	-120.21667	130	"AWI"	130	6359	8431	7303	12	9	0	18	0	0	138	0	5	12	0	66	9	0	18	12
263	269	"Banks Island 74MS15"	73.53333	-120.21667	135	"AWI"	135	6586	8593	7537	10	9	0	21	0	0	134	0	2	11	2	69	11	0	17	6
263	269	"Banks Island 74MS15"	73.53333	-120.21667	140	"AWI"	140	6712	8861	7756	0	13	0	12	0	0	130	0	1	12	0	120	0	0	19	14
263	269	"Banks Island 74MS15"	73.53333	-120.21667	145	"AWI"	145	6974	9032	7982	0	15	0	22	0	0	125	0	7	15	1	114	0	0	21	12
263	269	"Banks Island 74MS15"	73.53333	-120.21667	150	"AWI"	150	7110	9280	8209	0	5	0	12	0	0	138	0	3	23	12	66	0	0	11	11
263	269	"Banks Island 74MS15"	73.53333	-120.21667	155	"AWI"	155	7338	9414	8426	0	3	0	19	0	0	135	0	7	21	11	67	0	0	17	10
263	269	"Banks Island 74MS15"	73.53333	-120.21667	161	"AWI"	161	7570	9663	8701	0	21	12	3	0	12	153	0	3	12	12	85	0	0	12	26
263	269	"Banks Island 74MS15"	73.53333	-120.21667	165	"AWI"	165	7815	9773	8874	0	15	11	7	0	13	116	0	8	15	11	81	0	0	11	12
263	269	"Banks Island 74MS15"	73.53333	-120.21667	170	"AWI"	170	8012	9961	9090	0	15	0	15	6	0	131	0	4	10	0	69	0	0	14	12
263	269	"Banks Island 74MS15"	73.53333	-120.21667	175	"AWI"	175	8348	10062	9307	0	13	0	25	7	0	139	0	2	15	1	69	0	0	24	11
263	269	"Banks Island 74MS15"	73.53333	-120.21667	180	"AWI"	180	8535	10242	9519	0	21	0	4	0	0	144	0	3	9	0	72	0	0	0	26
263	269	"Banks Island 74MS15"	73.53333	-120.21667	185	"AWI"	185	8978	10329	9721	0	17	0	17	0	0	147	0	9	11	0	71	0	0	16	19
