"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Juniperus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sarcobataceae"
1587	1635	"Lily Lake"	43.76667	-110.31667	0	"AWI"	0	-137	28	-52	4	0	2	20	0	1	5	0	0	0	15	300	5	0	0	4	0	1	0	0	0	2
1587	1635	"Lily Lake"	43.76667	-110.31667	20	"AWI"	20	-59	588	136	3	0	3	24	0	0	4	0	1	1	3	267	5	0	0	1	0	0	0	0	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	40	"AWI"	40	33	917	357	2	2	10	52	10	0	5	0	0	2	4	236	12	0	0	0	0	0	0	0	0	6
1587	1635	"Lily Lake"	43.76667	-110.31667	60	"AWI"	60	164	1216	588	3	0	4	27	5	0	4	0	0	0	16	314	6	0	0	1	1	0	0	0	1	6
1587	1635	"Lily Lake"	43.76667	-110.31667	80	"AWI"	80	310	1465	822	5	0	9	38	4	0	6	0	0	0	13	273	6	0	0	3	1	1	0	1	0	2
1587	1635	"Lily Lake"	43.76667	-110.31667	100	"AWI"	100	482	1710	1057	5	0	3	30	5	0	2	0	0	0	6	354	5	0	0	0	0	0	0	1	1	2
1587	1635	"Lily Lake"	43.76667	-110.31667	120	"AWI"	120	676	1928	1281	6	0	4	23	6	0	4	0	0	0	12	294	5	0	0	0	0	0	0	1	1	2
1587	1635	"Lily Lake"	43.76667	-110.31667	140	"AWI"	140	883	2123	1500	2	0	7	25	3	0	2	0	0	0	12	300	8	0	0	2	0	0	0	0	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	160	"AWI"	160	1089	2336	1728	7	0	6	19	3	0	4	0	0	0	5	332	5	0	0	5	0	0	0	0	0	4
1587	1635	"Lily Lake"	43.76667	-110.31667	180	"AWI"	180	1332	2530	1949	4	0	6	31	6	0	5	0	0	0	16	309	14	0	0	1	0	0	0	0	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	200	"AWI"	200	1559	2686	2159	5	1	3	15	0	1	2	0	0	0	13	300	3	0	0	5	0	0	0	2	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	220	"AWI"	220	1809	2851	2388	1	2	3	19	3	0	3	0	1	2	7	317	4	0	0	0	1	0	1	0	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	240	"AWI"	240	2096	3012	2595	7	0	1	28	0	0	6	0	0	0	16	315	5	0	0	0	1	1	0	1	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	260	"AWI"	260	2504	3159	2786	6	0	8	23	9	1	15	0	1	0	24	288	11	0	0	0	0	0	0	0	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	280	"AWI"	280	2804	3666	3097	5	0	3	13	0	0	3	0	0	1	7	295	4	0	0	1	0	0	0	2	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	300	"AWI"	300	2978	4437	3511	2	0	4	23	3	0	4	0	0	0	20	329	7	0	0	1	0	0	0	0	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	320	"AWI"	320	3199	5012	3940	4	0	3	18	3	0	4	0	0	2	10	292	9	0	0	4	0	1	0	1	1	2
1587	1635	"Lily Lake"	43.76667	-110.31667	340	"AWI"	340	3474	5526	4407	4	0	4	26	0	1	7	0	1	2	18	321	9	0	0	5	1	0	0	0	1	0
1587	1635	"Lily Lake"	43.76667	-110.31667	360	"AWI"	360	3787	5962	4844	3	0	7	59	0	0	4	0	0	0	16	296	13	0	0	3	0	0	0	1	1	6
1587	1635	"Lily Lake"	43.76667	-110.31667	380	"AWI"	380	4152	6359	5271	4	0	1	20	0	0	0	0	0	1	12	313	6	0	0	4	1	0	0	0	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	400	"AWI"	400	4549	6701	5725	4	0	3	23	0	0	1	0	0	0	24	301	2	0	0	1	0	0	0	0	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	420	"AWI"	420	5030	7037	6174	7	0	7	23	2	0	3	0	0	0	22	300	5	0	0	2	0	0	0	0	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	440	"AWI"	440	5535	7324	6595	10	0	3	26	0	0	8	0	0	1	37	315	3	0	0	3	0	1	0	0	3	0
1587	1635	"Lily Lake"	43.76667	-110.31667	460	"AWI"	460	6123	7550	7029	5	0	6	25	0	0	15	0	0	1	17	303	7	0	0	4	0	0	0	1	1	1
1587	1635	"Lily Lake"	43.76667	-110.31667	480	"AWI"	480	6823	7724	7415	4	0	3	10	0	0	2	0	0	1	17	321	3	0	0	6	0	0	0	1	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	500	"AWI"	500	7309	7886	7665	13	0	3	22	0	0	5	0	1	2	54	335	3	0	0	10	0	0	0	0	0	2
1587	1635	"Lily Lake"	43.76667	-110.31667	520	"AWI"	520	7569	8002	7815	4	0	7	27	3	0	7	1	0	1	7	301	5	0	0	7	0	0	0	1	0	1
1587	1635	"Lily Lake"	43.76667	-110.31667	540	"AWI"	540	7827	8384	8033	1	0	4	14	0	0	4	0	0	3	7	318	4	0	0	7	0	0	0	0	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	560	"AWI"	560	7972	9310	8373	4	0	14	26	4	1	4	0	0	6	12	309	3	0	2	22	0	0	0	1	1	3
1587	1635	"Lily Lake"	43.76667	-110.31667	580	"AWI"	580	8146	9977	8760	5	0	2	20	3	0	9	0	0	1	12	345	6	0	0	6	0	0	0	0	0	0
1587	1635	"Lily Lake"	43.76667	-110.31667	600	"AWI"	600	8375	10486	9148	7	0	6	25	2	0	5	0	1	1	17	291	5	0	1	7	1	0	0	0	0	1
