"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Fabaceae"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Tilia"	"Ulmus"
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	475	"AWI"	475	25802	27109	26499	0	0	0	4	0	1	0	0	1	0	0	0	0	117	0	0	0	0	0	176	195	0	1	0	0	1	0	0	0	0	1	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	480	"AWI"	480	25970	27238	26642	0	1	0	2	0	3	0	0	1	0	0	0	1	289	0	0	0	0	0	222	118	0	9	0	4	1	0	0	0	0	4	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	485	"AWI"	485	26129	27341	26792	0	3	0	4	0	4	0	0	0	0	0	0	0	377	0	0	0	0	2	89	174	0	8	0	10	0	0	0	3	0	4	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	490	"AWI"	490	26302	27465	26934	0	1	0	1	0	1	0	0	0	0	0	0	0	126	0	0	0	0	0	211	185	0	1	0	0	0	0	0	0	0	3	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	495	"AWI"	495	26505	27546	27073	0	4	0	2	0	0	0	0	1	0	0	0	0	91	0	0	0	0	0	143	190	0	3	0	3	1	0	0	2	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	500	"AWI"	500	26687	27658	27209	0	2	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	9	2	183	89	0	0	0	2	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	505	"AWI"	505	26910	27775	27353	0	10	0	1	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	254	67	0	0	0	0	1	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	510	"AWI"	510	27051	27962	27512	0	0	0	0	0	0	0	0	1	0	0	0	0	37	0	0	0	0	0	224	116	0	0	0	0	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	515	"AWI"	515	27193	28168	27679	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	259	65	0	1	0	0	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	520	"AWI"	520	27349	28392	27832	0	3	0	1	0	0	0	1	0	0	0	0	0	76	0	0	0	0	0	285	107	0	0	0	3	0	0	0	2	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	525	"AWI"	525	27506	28532	27994	0	0	0	4	0	3	0	0	0	0	0	0	0	15	0	0	0	0	0	222	102	0	0	0	1	0	0	0	2	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	530	"AWI"	530	27677	28708	28158	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	212	88	0	0	0	1	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	540	"AWI"	540	27983	29163	28524	0	0	0	1	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	291	45	0	1	0	0	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	545	"AWI"	545	28116	29466	28720	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	253	74	0	0	0	0	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	550	"AWI"	550	28261	29783	28910	0	1	0	1	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	196	134	0	0	0	2	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	560	"AWI"	560	28566	30218	29289	0	2	0	3	0	1	0	0	0	0	0	0	4	71	0	0	0	0	0	159	167	1	2	0	5	0	0	0	3	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	570	"AWI"	570	28851	30655	29638	0	0	0	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	0	93	274	0	3	0	0	1	0	0	1	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	575	"AWI"	575	28965	30811	29794	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	49	262	0	0	0	1	0	0	0	0	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	580	"AWI"	580	29093	30983	29945	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	69	100	0	1	0	3	0	0	0	1	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	590	"AWI"	590	29337	31272	30228	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	49	252	0	1	0	3	0	0	0	2	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	600	"AWI"	600	29607	31561	30515	0	3	0	1	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	31	202	0	6	0	3	0	0	0	1	0	0	0	0
265	271	"Biggsville [Cessford Quarry]"	40.85556	-90.88	605	"AWI"	605	29739	31696	30660	0	0	0	2	0	1	0	0	0	0	0	0	0	29	0	0	0	0	0	48	247	0	0	0	0	0	0	0	2	1	0	0	0
