"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Droseraceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
847	876	"Gladkoye Bog"	55	83.33333	5	"AWI"	5	72	197	132	3	0	4	0	63	0	288	0	2	0	0	68	0	0	14	0	0	0	0	253	0	18	0	0	0	4	7	2	0	7	0	0
847	876	"Gladkoye Bog"	55	83.33333	10	"AWI"	10	266	363	325	5	0	3	0	23	3	306	0	0	0	0	23	0	2	1	0	0	0	0	0	0	23	2	0	0	3	8	3	2	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	20	"AWI"	20	590	755	709	0	0	14	0	72	5	223	0	0	0	0	45	0	0	2	0	0	0	5	0	0	22	10	0	0	2	7	0	3	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	35	"AWI"	35	763	1213	965	15	0	6	4	54	2	302	0	2	0	0	20	0	2	4	0	0	0	0	0	0	27	0	0	0	0	0	0	2	15	0	0
847	876	"Gladkoye Bog"	55	83.33333	50	"AWI"	50	858	1596	1159	0	0	5	0	36	2	332	0	0	0	0	18	0	0	0	0	0	0	30	0	4	18	7	0	0	7	15	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	65	"AWI"	65	950	1810	1383	16	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	15	0	1	0	2	0	0	0	16	0	0	0	8	1
847	876	"Gladkoye Bog"	55	83.33333	80	"AWI"	80	1270	1981	1625	8	0	4	2	1	1	232	0	0	0	0	12	0	0	2	0	0	0	10	0	0	3	0	0	0	0	3	0	3	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	100	"AWI"	100	1692	2203	1968	0	4	7	4	34	0	600	0	3	0	0	22	0	0	0	5	0	0	4	0	5	34	2	0	0	1	0	5	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	110	"AWI"	110	2004	2259	2133	0	5	0	2	5	7	318	0	4	0	3	18	0	0	0	10	0	0	14	0	3	3	0	0	0	0	5	0	4	0	0	2
847	876	"Gladkoye Bog"	55	83.33333	120	"AWI"	120	2147	2418	2283	30	0	10	0	68	4	222	0	0	0	0	33	0	0	5	0	0	0	0	0	0	8	5	0	0	0	0	0	8	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	130	"AWI"	130	2187	2736	2402	28	28	0	4	112	0	561	0	3	0	0	32	0	0	29	6	0	0	0	0	0	19	0	0	0	0	0	0	6	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	140	"AWI"	140	2252	2960	2524	8	0	0	2	36	0	158	0	0	0	0	14	0	0	1	0	0	0	7	0	0	18	0	4	0	0	7	5	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	150	"AWI"	150	2328	3043	2650	3	3	0	0	32	4	288	0	0	0	0	38	0	0	2	0	0	0	3	0	0	27	0	0	0	0	2	0	5	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	160	"AWI"	160	2399	3183	2762	0	24	13	0	34	0	303	0	0	0	0	71	0	0	0	0	0	0	24	0	0	33	0	0	0	0	0	0	6	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	170	"AWI"	170	2545	3248	2875	28	14	11	6	65	2	308	0	0	0	0	17	0	0	0	0	0	0	0	362	0	23	0	0	0	4	0	0	5	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	180	"AWI"	180	2638	3361	3006	0	0	7	8	79	0	288	0	7	0	0	43	0	3	0	0	0	0	0	0	0	36	0	0	0	5	29	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	190	"AWI"	190	2827	3416	3100	0	0	7	0	108	0	225	0	13	0	0	14	0	0	0	3	0	0	0	0	0	30	0	7	0	0	0	3	0	0	20	0
847	876	"Gladkoye Bog"	55	83.33333	200	"AWI"	200	2999	3486	3191	0	8	5	0	65	0	217	0	0	0	2	54	0	4	4	0	0	0	30	519	0	13	4	0	0	3	7	0	4	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	210	"AWI"	210	3295	3652	3437	15	0	8	0	97	0	265	0	0	0	0	19	0	0	3	0	0	0	0	479	0	14	0	0	0	6	29	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	220	"AWI"	220	3591	3942	3799	15	0	5	0	51	4	428	0	5	0	0	51	0	0	0	5	0	3	29	0	0	16	0	8	0	0	0	4	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	230	"AWI"	230	3889	4257	4101	29	29	5	0	50	0	316	0	0	0	0	25	0	5	15	7	0	0	0	0	0	23	0	0	0	5	0	0	0	0	20	0
847	876	"Gladkoye Bog"	55	83.33333	240	"AWI"	240	4183	4517	4313	0	0	2	0	68	9	316	0	0	0	0	68	0	0	36	0	0	0	0	0	0	22	0	0	0	7	29	0	7	10	0	0
847	876	"Gladkoye Bog"	55	83.33333	250	"AWI"	250	4231	5054	4509	0	10	4	6	57	0	201	0	0	0	0	46	0	0	6	0	0	0	0	352	0	12	0	6	0	0	14	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	260	"AWI"	260	4322	5172	4660	28	0	4	0	58	6	288	0	0	0	0	10	0	0	79	0	0	0	0	0	0	14	10	0	0	0	28	4	7	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	270	"AWI"	270	4365	5416	4806	28	15	6	5	29	7	287	0	0	0	0	40	0	0	10	0	0	0	10	399	0	40	0	0	0	0	15	4	7	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	280	"AWI"	280	4499	5575	4962	0	0	9	3	71	11	280	0	4	0	0	36	0	0	0	5	0	0	0	0	0	47	0	0	0	0	26	3	16	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	290	"AWI"	290	4595	5756	5124	29	0	13	5	65	4	295	0	0	0	0	32	0	0	13	3	0	0	0	0	0	19	4	7	0	0	20	7	0	0	15	0
847	876	"Gladkoye Bog"	55	83.33333	300	"AWI"	300	4716	5903	5266	0	8	4	5	41	0	300	0	4	0	0	17	0	0	0	0	0	0	31	0	0	21	0	4	0	0	0	0	0	0	7	0
847	876	"Gladkoye Bog"	55	83.33333	310	"AWI"	310	4813	6010	5431	0	10	9	9	72	0	300	0	0	0	0	22	0	0	4	0	0	0	0	475	0	28	0	21	0	0	0	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	320	"AWI"	320	4941	6149	5587	14	14	14	0	94	0	317	0	0	0	0	36	0	7	0	0	0	0	0	0	0	36	7	5	0	0	14	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	330	"AWI"	330	5150	6220	5737	30	0	3	0	58	3	484	0	4	0	0	46	0	0	0	0	0	0	30	0	0	34	0	3	0	3	0	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	340	"AWI"	340	5256	6334	5888	0	6	5	0	52	0	363	5	0	0	0	3	0	0	0	4	0	0	0	0	0	28	3	5	0	0	0	0	0	0	10	0
847	876	"Gladkoye Bog"	55	83.33333	350	"AWI"	350	5576	6391	6030	7	15	6	11	61	0	365	0	2	0	0	57	0	0	0	0	0	0	5	0	0	12	0	4	0	0	10	0	0	0	7	0
847	876	"Gladkoye Bog"	55	83.33333	360	"AWI"	360	5817	6515	6181	14	14	6	0	63	0	316	0	0	0	0	6	0	6	0	0	0	0	13	0	0	40	0	0	0	0	15	0	0	0	0	0
847	876	"Gladkoye Bog"	55	83.33333	370	"AWI"	370	6176	6640	6368	14	0	4	0	40	0	265	0	0	0	0	43	0	0	0	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0
