"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Juglans"	"Larix"	"Morus"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Populus"	"Quercus"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Tilia"	"Tsuga"	"Ulmus"
325	332	"Camp 11 Lake"	46.66667	-88.01667	525	"AWI"	525	5209	6494	5830	1	0	18	0	1	2	47	0	0	4	1	0	8	1	0	1	0	12	1	574	1	2	30	1	0	2	0	0	1	17	2
325	332	"Camp 11 Lake"	46.66667	-88.01667	550	"AWI"	550	6054	6855	6476	3	0	8	1	3	0	56	0	0	3	2	0	5	0	1	0	1	19	3	557	0	0	28	1	0	0	0	0	1	10	10
325	332	"Camp 11 Lake"	46.66667	-88.01667	575	"AWI"	575	6407	7479	6875	0	0	13	4	5	1	38	0	0	6	2	0	5	0	0	0	0	23	0	565	0	3	35	0	0	0	0	1	0	1	17
325	332	"Camp 11 Lake"	46.66667	-88.01667	600	"AWI"	600	6647	7823	7243	2	0	26	2	3	3	50	1	0	4	8	1	1	0	0	0	2	19	0	493	1	5	24	0	0	1	0	0	0	0	10
325	332	"Camp 11 Lake"	46.66667	-88.01667	625	"AWI"	625	7000	8047	7591	2	0	12	4	0	1	40	1	1	4	2	0	7	0	0	0	0	5	3	625	0	2	27	0	0	0	0	0	1	0	9
325	332	"Camp 11 Lake"	46.66667	-88.01667	650	"AWI"	650	7600	8262	7911	2	0	4	4	2	4	30	2	1	0	2	0	6	1	0	0	0	14	0	784	0	1	13	0	0	1	0	1	0	0	13
325	332	"Camp 11 Lake"	46.66667	-88.01667	675	"AWI"	675	7940	8745	8337	2	0	15	7	3	8	38	0	0	1	3	0	7	1	0	0	2	10	5	758	1	5	7	0	0	0	0	1	0	0	9
325	332	"Camp 11 Lake"	46.66667	-88.01667	700	"AWI"	700	8329	9307	8794	3	0	11	2	3	4	60	0	0	6	4	0	4	0	0	0	2	5	4	353	0	6	6	1	0	1	1	0	0	0	6
325	332	"Camp 11 Lake"	46.66667	-88.01667	725	"AWI"	725	8721	9667	9254	6	0	22	2	3	2	74	1	0	2	4	0	5	0	3	1	1	3	19	395	0	2	9	0	0	0	0	0	0	0	8
325	332	"Camp 11 Lake"	46.66667	-88.01667	750	"AWI"	750	9048	10131	9578	7	0	13	1	3	7	41	0	1	7	5	0	1	3	1	0	6	3	30	261	0	2	18	0	0	2	0	0	0	0	4
325	332	"Camp 11 Lake"	46.66667	-88.01667	775	"AWI"	775	9326	10576	9854	3	0	0	4	5	8	39	1	1	0	8	0	3	0	4	0	14	7	27	361	1	6	5	0	0	1	0	0	0	0	9
325	332	"Camp 11 Lake"	46.66667	-88.01667	800	"AWI"	800	9672	11006	10194	3	0	0	1	8	6	29	2	0	3	2	0	4	0	5	0	6	5	31	295	0	6	11	1	0	1	0	0	0	0	21
325	332	"Camp 11 Lake"	46.66667	-88.01667	830	"AWI"	830	10176	11844	11014	5	0	2	2	9	2	28	2	0	2	7	0	3	0	8	0	17	6	33	292	1	6	15	0	0	4	1	0	1	0	17
325	332	"Camp 11 Lake"	46.66667	-88.01667	855	"AWI"	855	10835	12403	11622	8	0	2	2	8	5	32	2	0	7	7	0	5	0	7	0	0	4	65	0	0	10	22	0	0	3	0	0	0	0	14
325	332	"Camp 11 Lake"	46.66667	-88.01667	860	"AWI"	860	10906	12568	11747	7	0	0	3	17	7	24	1	0	5	11	0	9	1	8	0	0	8	90	258	0	21	31	0	0	8	0	0	1	0	29
