"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Nyssa"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
941	971	"Gould Pond"	44.98333	-69.31667	740.5	"AWI"	740.5	-105.5	56.5	-27	6	0	13	0	0	0	16	2	71	0	0	0	0	0	0	0	0	4	7	3	0	0	0	0	5	0	0	10	0	0	0	0	0	0	0	0	1	19	32	0	0	38	0	2	0	11	0	0	0	4	0	0	0	2	30	3	0
941	971	"Gould Pond"	44.98333	-69.31667	748.5	"AWI"	748.5	-58.5	109.5	20	5	0	0	0	0	0	0	1	87	0	0	0	0	0	0	0	0	5	8	4	0	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0	3	13	0	0	0	49	0	1	1	8	0	0	0	3	0	0	0	0	22	6	0
941	971	"Gould Pond"	44.98333	-69.31667	756.5	"AWI"	756.5	-25	171.5	68	4	0	21	0	0	1	19	0	80	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	12	0	1	17	0	0	0	0	0	0	0	0	2	12	26	0	0	50	0	0	0	11	0	0	0	5	0	0	0	0	21	5	0
941	971	"Gould Pond"	44.98333	-69.31667	764.5	"AWI"	764.5	-0.5	241.5	115	2	0	22	0	0	0	15	0	88	0	0	0	0	0	0	0	0	3	17	3	0	0	0	0	11	0	0	11	0	0	0	2	0	1	0	0	3	17	26	0	0	43	0	0	1	7	0	0	0	3	0	0	0	0	19	1	0
941	971	"Gould Pond"	44.98333	-69.31667	768.5	"AWI"	768.5	11	279	140	5	0	39	2	0	0	11	0	87	1	0	1	0	0	0	0	0	5	10	3	0	0	0	0	15	0	0	12	0	0	0	0	0	2	0	0	2	14	0	0	0	34	0	3	0	6	0	0	0	3	0	0	0	0	11	7	0
941	971	"Gould Pond"	44.98333	-69.31667	770	"AWI"	770	15	293	148	3	0	0	0	1	0	17	0	88	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	20	0	0	17	0	0	0	0	0	1	0	0	2	7	0	0	0	27	0	6	0	10	0	0	0	1	0	0	0	0	20	2	0
941	971	"Gould Pond"	44.98333	-69.31667	772.5	"AWI"	772.5	22	316	163	8	0	26	0	0	2	0	0	99	0	0	0	0	1	0	0	0	9	22	4	0	0	0	0	6	0	0	17	0	0	0	0	0	0	0	0	1	3	0	0	0	34	0	3	0	8	0	0	0	5	0	0	0	0	9	6	0
941	971	"Gould Pond"	44.98333	-69.31667	780	"AWI"	780	39	389	208	3	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	3	13	1	0	0	0	0	5	0	0	12	0	0	0	0	0	2	0	0	1	7	0	0	0	17	0	3	1	14	0	0	0	5	0	0	0	0	16	8	0
941	971	"Gould Pond"	44.98333	-69.31667	800	"AWI"	800	80	584	325	3	0	30	2	1	2	0	0	102	0	0	0	0	0	0	0	0	4	6	7	0	0	0	0	17	0	0	16	0	0	0	0	0	1	0	0	1	17	32	0	0	23	0	1	0	9	0	0	0	3	0	0	0	1	20	2	0
941	971	"Gould Pond"	44.98333	-69.31667	820	"AWI"	820	121	786	444	3	0	0	0	0	1	0	0	114	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	37	0	0	7	0	0	0	2	0	0	1	0	1	17	30	0	0	3	0	1	0	13	0	0	0	0	0	0	0	0	70	1	0
