"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Juglans"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Syringa"	"Ulmus"
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	175	"AWI"	175	4124	5310	4779	11	0	18	8	1	2	3	0	2	81	0	6	6	0	0	23	17	46	140	3	0	11
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	185	"AWI"	185	4450	5523	5057	34	0	12	5	0	0	2	0	0	28	0	5	7	0	1	28	24	2	85	0	0	3
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	200	"AWI"	200	4988	5814	5467	31	0	22	0	0	10	4	0	0	67	0	0	6	0	2	0	18	37	156	0	0	22
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	210	"AWI"	210	5357	6007	5739	18	0	0	0	0	0	2	0	0	16	0	30	2	0	0	10	6	13	126	0	0	4
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	215	"AWI"	215	5577	6090	5869	8	0	0	8	0	23	4	26	2	22	0	2	16	0	0	4	9	40	89	0	0	15
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	220	"AWI"	220	5755	6177	5983	4	0	37	4	0	22	12	93	0	1	0	2	29	6	8	0	4	56	82	2	0	31
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	225	"AWI"	225	5854	6284	6086	20	0	128	6	0	0	30	0	2	70	0	0	10	0	0	38	24	90	53	4	0	2
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	230	"AWI"	230	5958	6391	6179	4	1	0	0	0	12	1	0	0	0	0	0	35	0	8	10	2	20	65	0	1	11
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	240	"AWI"	240	6140	6587	6364	4	0	0	2	0	21	0	0	0	2	0	0	10	0	0	0	8	31	62	0	0	4
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	255	"AWI"	255	6452	6848	6635	22	0	0	2	0	0	0	0	3	70	0	2	40	0	4	12	6	70	108	0	0	24
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	260	"AWI"	260	6542	6963	6733	0	0	43	6	0	2	0	59	2	37	0	3	18	0	0	14	22	36	127	12	0	19
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	270	"AWI"	270	6706	7205	6946	0	0	119	6	0	0	0	0	0	2	0	0	0	0	0	0	0	5	3	0	0	0
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	280	"AWI"	280	6899	7399	7166	0	0	62	2	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
1509	1547	"Gulf of Kosmodem'yanskaya-3 Exposure 5815"	44.1522	145.93986	290	"AWI"	290	7078	7643	7373	0	0	55	0	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
