"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Chrysolepis"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Liliaceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Santalaceae"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tsuga"
1592	1642	"Little Lake"	44.166038	-123.584708	30	"AWI"	30	-50	691	167	3	0	103	5	3	3	0	0	0	0	0	0	0	0	5	0	20	0	0	0	0	6	0	0	0	1	1	0	0	1	55	0	2	1	24	1	0	0	0	0	3	0	0	1	0	1	0
1592	1642	"Little Lake"	44.166038	-123.584708	50	"AWI"	50	40	954	352	13	0	127	0	0	1	0	0	1	0	0	0	2	0	0	16	5	1	0	0	5	7	0	0	0	0	0	2	0	0	6	0	3	0	31	0	0	0	0	1	5	0	0	0	3	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	60	"AWI"	60	64	1172	435	7	5	0	0	1	3	0	0	0	0	0	0	0	0	3	6	16	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	32	0	0	0	0	0	9	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	120	"AWI"	120	403	1733	984	23	0	106	0	0	0	1	0	0	0	0	0	0	0	3	26	15	0	0	0	6	0	0	0	0	0	0	6	0	0	1	0	0	0	96	1	0	0	0	3	7	0	1	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	150	"AWI"	150	611	2039	1268	29	0	167	0	1	1	1	0	0	0	0	0	0	0	7	7	8	0	0	1	11	0	0	0	1	3	0	2	0	0	3	0	0	0	124	1	0	0	0	0	2	1	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	180	"AWI"	180	807	2247	1535	3	0	0	3	1	0	2	0	0	0	0	0	0	0	8	14	2	0	0	0	7	1	0	0	0	0	0	2	0	0	3	0	0	0	106	1	0	0	0	0	3	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	210	"AWI"	210	1096	2454	1811	43	0	104	1	0	0	2	0	0	0	0	0	0	0	3	17	7	0	0	0	6	0	0	0	0	0	0	5	8	1	1	0	1	2	101	1	0	0	0	0	3	1	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	230	"AWI"	230	1267	2570	1972	15	0	88	0	0	0	1	0	0	0	0	0	0	0	4	14	3	0	0	0	8	1	0	0	0	0	0	2	16	0	1	0	0	1	84	1	0	0	0	0	1	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	250	"AWI"	250	1432	2688	2135	6	0	257	0	0	0	0	0	0	0	0	1	0	0	3	15	0	0	0	0	1	0	0	0	0	0	0	4	11	0	0	0	0	0	21	0	0	0	0	0	3	0	0	0	1	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	270	"AWI"	270	1592	2824	2309	20	0	90	0	0	0	0	0	0	0	0	0	0	0	5	14	1	0	0	0	5	2	0	0	0	0	0	7	0	0	3	0	0	1	60	4	0	0	0	0	3	0	0	0	0	0	46
1592	1642	"Little Lake"	44.166038	-123.584708	290	"AWI"	290	1906	2907	2481	2	0	157	1	0	0	0	0	0	0	0	1	0	0	11	29	1	0	0	0	6	0	0	0	0	1	0	1	0	0	0	0	0	0	19	0	0	0	0	0	3	0	0	0	2	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	310	"AWI"	310	2169	3018	2645	0	0	247	0	0	0	0	0	0	0	0	1	0	0	4	23	0	0	0	0	0	2	0	0	0	3	0	5	0	0	2	0	0	0	28	1	0	0	0	0	3	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	330	"AWI"	330	2394	3132	2813	2	0	129	0	0	0	2	0	0	0	0	1	0	1	3	38	1	0	0	0	3	1	3	0	0	3	0	0	0	0	2	0	0	0	36	0	0	0	0	0	3	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	370	"AWI"	370	2905	3499	3160	3	0	173	0	0	1	1	0	0	0	0	0	0	0	3	37	2	0	0	0	2	2	0	0	0	0	0	0	5	0	2	0	0	0	36	0	0	0	0	0	7	1	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	400	"AWI"	400	3051	3955	3422	5	0	205	0	0	0	0	0	0	0	0	0	0	0	9	38	6	0	0	1	4	0	1	0	0	0	0	1	0	0	1	0	0	0	31	1	2	0	0	0	1	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	430	"AWI"	430	3224	4293	3698	8	0	186	0	1	0	0	0	0	0	0	0	0	0	4	41	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	1	21	2	1	0	0	1	1	1	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	460	"AWI"	460	3457	4538	3985	2	0	136	0	0	0	1	0	0	0	0	0	3	0	12	47	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	78	1	0	0	0	0	1	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	500	"AWI"	500	3793	4822	4360	7	0	181	1	0	0	1	0	0	0	0	1	0	0	2	63	1	1	0	0	5	0	0	0	0	0	0	0	0	1	1	0	1	1	49	0	0	0	0	0	2	0	0	0	1	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	530	"AWI"	530	4240	5047	4622	4	0	126	0	0	0	0	0	0	0	0	0	0	0	10	56	2	0	0	0	2	5	0	0	0	0	0	3	0	0	1	0	2	1	36	1	0	1	0	0	1	0	0	0	1	1	0
1592	1642	"Little Lake"	44.166038	-123.584708	576	"AWI"	576	4741	5837	5137	5	0	185	0	1	1	0	0	0	0	0	0	1	1	8	64	2	0	0	0	1	1	0	0	0	0	0	2	8	0	0	0	0	1	54	0	0	0	0	0	1	1	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	620	"AWI"	620	5064	6733	5711	8	0	149	0	0	0	2	0	0	0	0	0	0	0	10	59	10	0	0	0	0	7	0	0	0	0	0	7	9	0	1	0	4	0	59	1	0	3	0	1	5	0	0	0	2	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	660	"AWI"	660	5399	7368	6270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	700	"AWI"	700	5911	7854	6835	18	0	186	2	0	0	0	0	0	0	0	0	0	0	18	29	2	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	68	2	0	0	0	0	4	2	0	0	1	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	740	"AWI"	740	6344	8333	7377	14	0	103	0	0	0	1	0	0	0	0	0	0	1	9	13	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	125	1	0	0	0	0	0	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	780	"AWI"	780	6857	8786	7928	10	0	0	2	0	0	0	0	0	0	0	0	0	1	14	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	69	2	0	0	0	0	1	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	820	"AWI"	820	7506	9060	8455	10	0	151	0	1	0	2	0	0	0	0	0	0	0	11	4	0	0	0	0	0	1	0	0	0	0	0	1	9	0	0	0	0	0	112	5	0	0	0	0	3	0	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	860	"AWI"	860	8448	9318	8956	26	0	131	3	0	0	1	0	0	0	0	0	2	0	11	10	5	0	0	0	0	0	0	0	0	0	0	5	3	0	2	0	0	0	77	3	0	1	0	0	1	2	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	900	"AWI"	900	9158	10292	9605	13	0	143	0	1	0	1	0	0	0	0	0	0	0	5	9	1	0	0	0	0	2	1	0	0	5	0	0	6	0	3	0	3	0	75	1	0	0	0	0	2	1	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	940	"AWI"	940	9713	11674	10520	14	0	79	0	0	0	0	0	0	0	0	0	0	0	8	6	1	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	69	1	0	0	0	0	1	1	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	980	"AWI"	980	10413	12277	11455	9	0	178	0	1	0	1	0	1	0	0	0	0	0	5	5	3	0	0	0	0	3	1	0	0	3	0	3	7	0	0	0	1	0	65	9	0	0	0	0	3	2	0	0	0	0	0
1592	1642	"Little Lake"	44.166038	-123.584708	1020	"AWI"	1020	11487	12821	12413	17	0	194	0	0	0	1	0	0	0	0	0	0	0	1	9	1	0	0	3	0	0	3	0	0	0	0	7	30	0	0	0	1	0	61	0	0	2	0	0	9	7	0	0	0	0	10
1592	1642	"Little Lake"	44.166038	-123.584708	1050	"AWI"	1050	12533	13409	12937	35	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	12	127	0	1	0	0	0	77	2	0	0	0	0	17	0	0	0	0	0	24
1592	1642	"Little Lake"	44.166038	-123.584708	1080	"AWI"	1080	12852	14438	13450	31	0	109	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	5	0	1	0	0	5	91	0	3	0	0	0	32	0	1	0	0	0	5	1	0	0	0	0	16
1592	1642	"Little Lake"	44.166038	-123.584708	1120	"AWI"	1120	13414	15101	14254	34	4	196	0	0	0	1	0	0	0	0	0	0	0	0	6	4	0	0	0	0	2	1	0	0	0	0	3	20	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	16
1592	1642	"Little Lake"	44.166038	-123.584708	1160	"AWI"	1160	14277	15531	14991	83	0	137	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	0	2	33	0	0	0	0	4	21	0	2	0	0	0	25	1	0	1	0	0	1	0	0	0	1	0	35
1592	1642	"Little Lake"	44.166038	-123.584708	1200	"AWI"	1200	14937	16751	15750	97	0	75	0	2	0	5	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	101	0	0	0	0	9	25	0	8	0	0	0	24	0	0	0	0	0	2	0	0	0	0	2	64
1592	1642	"Little Lake"	44.166038	-123.584708	1240	"AWI"	1240	15789	17691	16692	45	0	37	0	0	0	8	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	93	0	0	0	0	118	79	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	50
1592	1642	"Little Lake"	44.166038	-123.584708	1260	"AWI"	1260	16113	18459	17253	123	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	123	1	0	0	0	107	0	0	20	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	72
1592	1642	"Little Lake"	44.166038	-123.584708	1290	"AWI"	1290	16775	19238	18168	68	0	19	0	1	0	3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	57	0	0	0	0	172	58	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	43
1592	1642	"Little Lake"	44.166038	-123.584708	1320	"AWI"	1320	18174	19758	18966	57	0	5	0	1	0	9	0	0	0	0	0	0	0	0	0	20	0	0	2	0	3	224	0	0	0	0	47	125	0	24	0	2	0	0	0	1	1	0	0	1	1	0	0	0	0	15
1592	1642	"Little Lake"	44.166038	-123.584708	1350	"AWI"	1350	18990	21166	19844	39	0	7	0	0	0	18	14	0	0	0	0	0	0	0	16	8	0	0	0	0	0	19	0	0	0	0	94	140	0	28	0	0	0	0	0	4	0	0	0	5	0	0	0	0	1	13
1592	1642	"Little Lake"	44.166038	-123.584708	1390	"AWI"	1390	20082	22531	21267	51	0	2	1	0	0	16	0	0	0	0	0	0	0	0	8	22	0	0	0	0	1	138	0	0	0	0	54	133	0	35	0	0	0	0	3	0	0	0	2	1	1	0	0	0	0	9
1592	1642	"Little Lake"	44.166038	-123.584708	1430	"AWI"	1430	21840	23633	22682	36	0	0	1	0	0	9	0	0	0	0	0	0	0	0	5	18	0	0	0	0	2	121	0	0	0	0	117	81	0	25	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	29
1592	1642	"Little Lake"	44.166038	-123.584708	1470	"AWI"	1470	22721	26071	24122	14	0	5	0	1	0	7	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	80	1	0	0	0	70	277	0	32	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	18
1592	1642	"Little Lake"	44.166038	-123.584708	1515	"AWI"	1515	24343	27301	25743	26	0	15	1	1	0	14	0	0	1	0	0	0	0	0	3	10	0	1	0	0	0	224	1	0	0	0	53	148	0	27	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	17
