"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Asteraceae"	"Brassicaceae"	"Cactaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Gentianaceae"	"Geraniaceae"	"Isoëtes"	"Malvaceae"	"Myrica"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polylepis"	"Solanaceae"
1406	1443	"Katantica"	-14.8	-69.18333	5	"AWI"	5	-112	138	-7	8.82352941176471	1.47058823529412	0	0	0	0	1.47058823529412	0	1.47058823529412	0	0	10.2941176470588	2.94117647058824	10.2941176470588	1.47058823529412	0	1.47058823529412	44.1176470588235	14.7058823529412	1.47058823529412	0
1406	1443	"Katantica"	-14.8	-69.18333	15	"AWI"	15	-49	407	104	1.0989010989011	0	0	0	0	0	2.1978021978022	1.0989010989011	1.0989010989011	0	0	3.84615384615385	1.64835164835165	30.2197802197802	7.14285714285714	1.0989010989011	0.549450549450549	41.2087912087912	1.64835164835165	0.549450549450549	6.59340659340659
1406	1443	"Katantica"	-14.8	-69.18333	25	"AWI"	25	24	625	223	0.313479623824451	0.626959247648903	0	48.58934169279	0	0	7.52351097178683	4.38871473354232	1.88087774294671	0	0.313479623824451	0.313479623824451	0.313479623824451	10.6583072100313	5.64263322884013	0.626959247648903	6.26959247648903	9.71786833855799	1.25391849529781	0	1.56739811912226
1406	1443	"Katantica"	-14.8	-69.18333	35	"AWI"	35	109	831	336	0.529100529100529	0	0.529100529100529	0	0	0	3.7037037037037	0	20.1058201058201	0	0.529100529100529	33.3333333333333	0	1.05820105820106	1.05820105820106	0	1.05820105820106	26.4550264550265	2.11640211640212	0	9.52380952380952
1406	1443	"Katantica"	-14.8	-69.18333	45	"AWI"	45	213	1021	447	2.4390243902439	0	1.21951219512195	0	0	0	4.8780487804878	0	4.8780487804878	0	0	31.7073170731707	0	3.65853658536585	2.4390243902439	0	0	28.0487804878049	3.65853658536585	0	17.0731707317073
1406	1443	"Katantica"	-14.8	-69.18333	55	"AWI"	55	343	1213	554	2.08333333333333	2.08333333333333	0	0	0	0	27.0833333333333	0	12.5	0	0	6.25	0	2.08333333333333	4.16666666666667	0	0	37.5	2.08333333333333	0	4.16666666666667
1406	1443	"Katantica"	-14.8	-69.18333	65	"AWI"	65	562	1586	764	0	0	0	0	0	0	12.8205128205128	0	12.8205128205128	0	2.56410256410256	12.8205128205128	0	7.69230769230769	5.12820512820513	0	0	28.2051282051282	5.12820512820513	0	12.8205128205128
1406	1443	"Katantica"	-14.8	-69.18333	75	"AWI"	75	768	2288	1296	0	0	0	0	0	0	3.17460317460317	0	39.6825396825397	0	0	6.34920634920635	0	1.58730158730159	1.58730158730159	1.58730158730159	0	20.6349206349206	1.58730158730159	0	23.8095238095238
1406	1443	"Katantica"	-14.8	-69.18333	85	"AWI"	85	1127	3206	1984	0	0	2.5	0	0	0	7.5	0	1.25	0	1.25	3.75	0	2.5	3.75	1.25	0	75	1.25	0	0
1406	1443	"Katantica"	-14.8	-69.18333	95	"AWI"	95	1586	3813	2722	0	0	0.649350649350649	0	0	11.6883116883117	27.9220779220779	0	7.14285714285714	0	0	16.2337662337662	0	0	1.94805194805195	0	0	23.3766233766234	0	0	11.038961038961
1406	1443	"Katantica"	-14.8	-69.18333	105	"AWI"	105	2297	4245	3470	0	0	0	62.1301775147929	0	4.73372781065089	2.36686390532544	0	0	0	0	10.0591715976331	1.18343195266272	0	7.10059171597633	0	0	9.46745562130178	2.9585798816568	0	0
1406	1443	"Katantica"	-14.8	-69.18333	115	"AWI"	115	3498	4586	4156	1.31004366812227	0	0	0	0	0	1.74672489082969	0	3.05676855895197	0	0.436681222707424	3.05676855895197	0.436681222707424	0	2.18340611353712	0	0	85.589519650655	0	0	2.18340611353712
1406	1443	"Katantica"	-14.8	-69.18333	125	"AWI"	125	4303	5217	4704	0	0	0	0	0	0	6.14035087719298	0.87719298245614	4.3859649122807	0.87719298245614	0	6.14035087719298	14.9122807017544	4.3859649122807	26.3157894736842	0	0	27.1929824561404	5.26315789473684	0	3.50877192982456
1406	1443	"Katantica"	-14.8	-69.18333	135	"AWI"	135	4572	6116	5186	0	0	0	0	0	0	4.54545454545455	0	0	0	0	9.09090909090909	1.13636363636364	4.54545454545455	14.7727272727273	0	0	56.8181818181818	2.27272727272727	0	6.81818181818182
1406	1443	"Katantica"	-14.8	-69.18333	145	"AWI"	145	4871	6656	5683	0	0	0	0	0	0	4.69798657718121	0	0	0	0	2.68456375838926	3.35570469798658	28.8590604026846	13.4228187919463	0	0	36.9127516778523	7.38255033557047	0.671140939597315	2.01342281879195
1406	1443	"Katantica"	-14.8	-69.18333	155	"AWI"	155	5265	7150	6212	1.51515151515152	1.51515151515152	0	0	0	12.1212121212121	0	0	0	0	0	6.06060606060606	0	4.54545454545455	3.03030303030303	0	0	60.6060606060606	6.06060606060606	0	4.54545454545455
1406	1443	"Katantica"	-14.8	-69.18333	165	"AWI"	165	5715	7581	6738	0	0	0	0	2.98507462686567	8.95522388059701	1.49253731343284	0	0	0	1.49253731343284	13.4328358208955	0	10.4477611940298	5.97014925373134	0	0	55.2238805970149	0	0	0
1406	1443	"Katantica"	-14.8	-69.18333	175	"AWI"	175	6280	7931	7264	0	0	0	0	0	1.22699386503067	7.97546012269939	0	1.22699386503067	0.613496932515337	0.613496932515337	16.5644171779141	17.7914110429448	11.0429447852761	16.5644171779141	0	0	21.4723926380368	1.22699386503067	0	3.68098159509202
