"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Ilex"	"Juglans"	"Liliaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Salix"	"Syringa"	"Tilia"	"Ulmus"
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	10	"AWI"	10	85	1179	498	0	1	0	0	1	1	0	0	0	56	0	0	9	0	0	0	0	0	0	3	0	0	0	25	0	0	0	0	0
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	15	"AWI"	15	266	1448	806	15	0	0	1	15	7	0	0	0	100	0	0	12	0	10	1	0	0	0	0	272	1	0	75	0	6	0	0	2
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	20	"AWI"	20	514	1655	1099	1	0	0	0	0	0	0	0	0	49	0	0	2	0	1	0	0	0	1	0	0	3	0	60	0	0	0	0	2
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	25	"AWI"	25	800	1833	1390	1	0	0	1	2	0	0	0	0	36	0	0	2	0	3	0	0	0	0	0	0	1	0	18	0	0	0	1	0
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	30	"AWI"	30	1266	1995	1668	2	0	0	0	7	0	0	0	0	32	0	0	4	0	3	0	0	0	0	34	131	1	0	42	0	0	0	2	0
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	35	"AWI"	35	1658	2271	1931	0	0	7	0	0	0	0	0	0	7	1	0	3	0	1	0	0	0	0	2	0	1	0	12	0	0	0	0	1
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	40	"AWI"	40	1848	2657	2197	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	45	"AWI"	45	2032	2942	2462	0	0	0	0	8	2	0	0	2	39	0	0	0	0	3	1	0	0	0	23	121	1	0	59	0	0	0	2	0
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	50	"AWI"	50	2262	3173	2730	0	0	19	0	16	1	0	0	0	40	0	0	0	1	2	0	0	0	0	16	164	0	0	67	0	0	0	1	4
356	364	"Chernyii Yar Exposure 955"	43.18333	134.43333	55	"AWI"	55	2483	3398	2963	2	1	0	0	9	5	0	0	0	32	0	0	0	0	4	0	2	0	0	0	154	1	0	65	0	0	0	2	2
