"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Carya"	"Castanea"	"Celtis"	"Cephalanthus"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Larix"	"Liquidambar"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
235	238	"Lac Bastien"	46.4	-78.91667	905	"AWI"	905	-119	45	-36	8	0	29	2	0	1	9	0	509	0	1	0	0	0	0	1	10	0	0	0	27	6	0	0	0	15	7	0	0	19	27	241	6	4	0	4	37	0	0	1	0	0	0	0	1	29	4
235	238	"Lac Bastien"	46.4	-78.91667	912	"AWI"	912	-38	330	94	11	0	16	1	0	0	0	0	545	0	1	0	0	0	0	2	6	0	0	1	8	5	0	0	0	27	9	0	0	8	24	289	2	2	0	2	40	0	0	0	1	0	1	0	1	41	9
235	238	"Lac Bastien"	46.4	-78.91667	920	"AWI"	920	43	570	258	33	23	0	1	0	0	0	0	346	0	0	0	1	0	0	2	8	0	0	0	5	0	0	0	0	52	15	0	1	20	23	389	2	5	0	1	26	0	0	0	0	0	0	0	1	37	14
235	238	"Lac Bastien"	46.4	-78.91667	928	"AWI"	928	166	758	423	3	15	0	1	0	5	2	0	531	0	1	0	0	0	0	1	2	0	0	0	12	16	0	0	0	10	7	0	0	26	13	225	1	8	0	4	36	0	0	0	2	0	1	0	3	21	16
235	238	"Lac Bastien"	46.4	-78.91667	936	"AWI"	936	290	954	585	12	20	34	5	0	2	5	0	308	0	0	0	0	0	0	5	14	0	0	0	7	7	0	0	0	31	7	0	1	10	28	334	0	6	0	2	35	0	0	0	10	0	1	0	0	41	13
235	238	"Lac Bastien"	46.4	-78.91667	944	"AWI"	944	422	1130	759	7	37	17	0	0	3	0	0	381	0	0	0	0	0	0	1	10	0	0	0	25	7	0	0	3	62	6	0	0	9	12	207	3	4	0	3	17	0	0	0	0	0	4	0	1	100	2
235	238	"Lac Bastien"	46.4	-78.91667	952	"AWI"	952	572	1308	926	14	22	28	0	0	5	0	1	406	0	2	0	0	0	0	0	7	0	0	2	16	8	1	0	0	17	5	0	5	14	17	256	4	6	0	2	37	1	0	0	0	0	1	0	1	109	18
235	238	"Lac Bastien"	46.4	-78.91667	960	"AWI"	960	725	1481	1094	8	35	11	1	0	1	3	0	397	0	2	0	0	0	0	1	5	0	0	0	20	0	0	0	0	40	6	0	2	10	5	310	1	3	0	1	27	0	1	0	2	0	0	0	1	108	24
235	238	"Lac Bastien"	46.4	-78.91667	968	"AWI"	968	892	1623	1264	5	52	0	0	0	2	3	0	366	0	2	0	0	0	0	0	6	0	0	0	23	0	1	0	0	51	6	0	1	7	12	286	2	3	0	3	29	0	0	0	1	0	1	0	0	215	9
235	238	"Lac Bastien"	46.4	-78.91667	976	"AWI"	976	1068	1765	1429	7	22	0	0	0	4	2	1	396	1	2	0	0	0	0	0	5	0	0	0	14	13	0	0	0	25	5	2	2	14	19	277	1	2	0	2	34	0	1	0	0	0	4	0	0	158	14
235	238	"Lac Bastien"	46.4	-78.91667	984	"AWI"	984	1254	1901	1595	5	10	28	0	0	4	0	0	507	0	1	1	0	0	0	0	14	0	0	0	11	0	0	0	0	66	8	0	0	5	9	299	3	3	0	2	31	0	0	0	1	0	1	0	2	95	20
235	238	"Lac Bastien"	46.4	-78.91667	992	"AWI"	992	1466	2037	1759	3	28	18	2	0	2	0	0	296	0	1	0	0	0	0	0	5	0	0	1	12	2	1	0	0	41	7	0	0	12	7	312	1	6	0	4	16	0	0	0	3	0	3	1	0	209	9
235	238	"Lac Bastien"	46.4	-78.91667	1000	"AWI"	1000	1698	2172	1917	1	34	20	0	0	4	0	0	386	1	3	0	0	0	0	1	4	0	0	0	17	6	0	0	0	65	9	1	0	19	5	300	5	7	0	1	35	1	1	0	1	0	5	0	1	107	23
235	238	"Lac Bastien"	46.4	-78.91667	1008	"AWI"	1008	1815	2374	2068	1	31	0	3	0	2	0	0	415	0	1	0	0	0	0	4	6	0	0	1	16	9	1	0	0	38	9	0	0	18	8	388	1	2	0	4	38	0	0	0	0	0	1	0	1	94	17
235	238	"Lac Bastien"	46.4	-78.91667	1016	"AWI"	1016	1931	2578	2219	7	0	0	0	0	5	2	0	286	0	1	0	0	0	0	1	2	0	0	0	8	13	0	0	0	37	11	0	0	13	8	369	3	2	0	1	56	0	0	1	0	0	2	0	0	56	21
235	238	"Lac Bastien"	46.4	-78.91667	1024	"AWI"	1024	2050	2742	2371	8	12	33	0	0	4	3	0	312	0	1	1	0	0	0	3	3	0	0	0	8	5	1	0	0	24	6	1	8	19	12	454	3	3	0	0	36	1	0	0	1	1	1	0	0	25	10
235	238	"Lac Bastien"	46.4	-78.91667	1032	"AWI"	1032	2186	2905	2528	5	0	0	0	0	3	2	0	295	0	2	0	0	0	0	1	6	0	1	0	12	8	0	1	0	100	1	0	1	9	9	367	3	0	0	2	30	0	0	0	0	0	2	0	2	63	11
235	238	"Lac Bastien"	46.4	-78.91667	1040	"AWI"	1040	2323	3077	2682	5	0	0	0	0	1	0	0	322	0	1	0	0	0	0	4	7	0	0	0	12	12	0	0	0	76	4	0	2	11	9	403	3	3	0	8	45	1	0	0	0	0	3	0	0	81	17
235	238	"Lac Bastien"	46.4	-78.91667	1056	"AWI"	1056	2625	3381	2990	4	17	0	1	0	3	6	0	353	0	0	0	0	1	0	0	2	0	0	0	8	10	0	0	0	57	11	0	3	15	8	438	5	4	0	1	56	0	0	0	2	0	0	0	1	64	12
