"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Anacardiaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Arecaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Bromeliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cephalanthus"	"Cistaceae"	"Citrus"	"Combretaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Cyrilla"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gordonia"	"Grossulariaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Itea"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Malvaceae"	"Meliaceae"	"Moraceae"	"Myrica"	"Myrtaceae"	"Nyssa"	"Onagraceae"	"Osmanthus"	"Ostrya.Carpinus"	"Pinus"	"Planera"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rhododendron"	"Rhus"	"Rosaceae"	"Rumex"	"Salix"	"Sambucus"	"Sapindaceae"	"Serenoa"	"Symplocos"	"Taxodium"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"	"Zanthoxylum"
229	232	"Barchampe Lake"	30.62222	-83.25389	598	"AWI"	598	1397	2688	1930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.18232044198895	0	0	0	0	0	0	0	0	0	0	0	0	0	0.552486187845304	0	0.552486187845304	1.10497237569061	0.552486187845304	0	3.31491712707182	0	0	0	0	0.552486187845304	0	4.41988950276243	0	0	0	24.3093922651934	0	6.07734806629834	0	0	1.65745856353591	0	0	0	0	0	0	0	44.1988950276243	0	0	0	0	0	0	0	0	0	0	0	4.41988950276243	0.552486187845304	0	0.552486187845304	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	603	"AWI"	603	1472	2813	2032	0	0	0	0	0	0	0	0	0	0	0.869565217391304	0	0	0	7.82608695652174	0	0.869565217391304	0	0	0	0	0	0	0	0	0	0	0	0.869565217391304	0	4.34782608695652	1.73913043478261	0	0	3.47826086956522	1.73913043478261	0	0	0	0	0	3.47826086956522	0	0	0	25.2173913043478	0	8.69565217391304	0	0	1.73913043478261	0	0.869565217391304	0	0	0	0	0	36.5217391304348	0	0	0	0	0	0	0	0	0	0	0	1.73913043478261	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	608	"AWI"	608	1547	2965	2135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.03225806451613	0	0	0	0.806451612903226	0	0	0	0	0	0	0.806451612903226	0	0	0.806451612903226	0	2.41935483870968	0.806451612903226	0	0	3.2258064516129	3.2258064516129	0	0.806451612903226	0	0	0	3.2258064516129	0	0	0	17.741935483871	0	3.2258064516129	0	0	2.41935483870968	0	0	0	0	0	0	0	53.2258064516129	0	0	0	0	0	0	0.806451612903226	0	0	0	0	1.61290322580645	0	0	0.806451612903226	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	613	"AWI"	613	1629	3086	2240	0	0.471698113207547	0	0	0	0	0	0	0	0	0	0	0	0	8.0188679245283	0	0.943396226415094	0	0.471698113207547	0	0	0	0	0	0	0.471698113207547	0	0	0	0	1.41509433962264	0.471698113207547	0	0	2.83018867924528	0.471698113207547	0	0.943396226415094	0	0	0	2.35849056603774	0	0	0	24.5283018867925	0	4.71698113207547	0.471698113207547	0	0.943396226415094	0	0	0	0	0	0	0	46.6981132075472	0	0.471698113207547	0	0	0	0	0	0	0	0	0	2.83018867924528	0	0	0.471698113207547	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	618	"AWI"	618	1698	3198	2344	0	0	0	0	0	0	0	0	0	0	0.671140939597315	0	0	0	6.04026845637584	0	1.34228187919463	0	2.01342281879195	0.671140939597315	0	0.671140939597315	0	0	0	2.01342281879195	0	0	0	0	1.34228187919463	0	0	0	2.68456375838926	4.69798657718121	0	0	0	0	0	2.68456375838926	0	0	0	18.1208053691275	0	5.36912751677852	0	0	1.34228187919463	0	0	0	0	0	0	0	44.9664429530201	0	0	0	0	0	0	0	0	0	0	0	5.36912751677852	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	623	"AWI"	623	1785	3326	2451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.125	0	0.625	0	0	0	0	0	0	0	0	0.625	0	0	0.625	0	2.5	0.625	0	0	0.625	1.25	0	0	0	0	0	5.625	0	0	0	36.25	0	0.625	0	0	2.5	0	0	0	0	0	0	0	41.25	0	0	0	0	0	0	0	0	0	0	0	0.625	0	0	3.125	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	628	"AWI"	628	1856	3439	2558	0	0	0	0.699300699300699	0	0	0	0	0	0	0	0	0	0	5.59440559440559	0	0	0	0.699300699300699	0	0	0	0	0	0	2.7972027972028	0	0	0.699300699300699	0	0.699300699300699	0	0	0	4.1958041958042	4.1958041958042	0	0	0	0	0	4.1958041958042	0	0.699300699300699	0	25.8741258741259	0	2.7972027972028	0	0	2.7972027972028	0	0	0	0	0	0	0	41.2587412587413	0	0	0	0	0	0	0	0	0	0	0	2.7972027972028	0	0	0	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	641	"AWI"	641	2059	3736	2829	0	0.591715976331361	0	0	0	0	0	0	0	0	0	0	0	0	5.32544378698225	0	0	0	1.18343195266272	0	0	0	0	0	0	1.18343195266272	0	0	0	0	1.18343195266272	1.18343195266272	0	0	4.14201183431953	0.591715976331361	0	1.18343195266272	0	0	0	4.14201183431953	0	0	0	21.301775147929	0	4.14201183431953	0	0	1.18343195266272	0	0	0	0	0	0	0	42.603550295858	0	0	0	0	0	0	0	0	0	0	0	9.46745562130178	0	0	0.591715976331361	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	653	"AWI"	653	2278	4013	3080	0	0	0	0	0	0	0	0.37037037037037	0	0	0.37037037037037	0	0	0	7.03703703703704	0	0	0	0.37037037037037	0	0	0.37037037037037	0	0	0	1.11111111111111	0	0	0.740740740740741	0	1.48148148148148	0.740740740740741	0	0	2.22222222222222	1.11111111111111	0	0.37037037037037	0	0	0	2.59259259259259	0	0	0	23.7037037037037	0	2.22222222222222	0	0	2.59259259259259	0	0	0.37037037037037	0	0	0	0	46.2962962962963	0.37037037037037	0	0	0	0	0	0.37037037037037	0	0	0	0	4.07407407407407	0	0	1.11111111111111	0	0	0
229	232	"Barchampe Lake"	30.62222	-83.25389	673	"AWI"	673	2646	4446	3504	0	0.284090909090909	0	0	0	0	0	0	0	0	0.284090909090909	0	0.284090909090909	0	7.10227272727273	0	0	0	1.98863636363636	0	0	0	0	0.284090909090909	0	0.284090909090909	0	0	0.852272727272727	0	1.42045454545455	0.284090909090909	0	0	2.84090909090909	1.13636363636364	0	0	0	0	0	3.125	0	0	0	16.1931818181818	0	4.26136363636364	0.284090909090909	0	2.55681818181818	0	0	0	0	0	0	0	48.8636363636364	0	0	0	0	0	0	0	0	0	0	0	6.53409090909091	0	0	1.13636363636364	0	0	0
