"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Ceanothus"	"Cercocarpus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Euphorbiaceae"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"
699	719	"Dome Creek Meadow"	40.02417	-107.05083	5	"AWI"	5	-63	257	51	41	1	17	0	27	0	0	5	0	0	15	8	70	1	0	0	15	1	27	129	6	0	11	0	0	0	2	4	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	25	"AWI"	25	0	1379	429	24	0	11	0	37	0	0	1	0	0	4	3	63	1	0	2	14	0	110	83	2	0	2	1	0	0	0	0	2
699	719	"Dome Creek Meadow"	40.02417	-107.05083	45	"AWI"	45	160	2262	827	13	0	8	0	4	0	0	1	0	0	0	0	0	2	0	0	5	0	117	0	0	0	1	0	0	0	0	0	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	65	"AWI"	65	317	2728	1261	17	0	24	0	20	0	0	4	0	0	3	5	13	2	0	1	29	0	106	0	2	0	0	1	1	0	0	2	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	85	"AWI"	85	603	3257	1690	16	0	9	0	22	0	0	0	0	0	6	5	124	2	0	0	7	0	80	141	6	0	2	0	0	0	0	1	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	105	"AWI"	105	851	3648	2154	30	0	11	0	17	0	0	1	0	1	0	1	16	0	0	0	9	0	81	0	3	0	1	2	0	0	0	2	2
699	719	"Dome Creek Meadow"	40.02417	-107.05083	125	"AWI"	125	1181	4067	2583	28	0	7	0	14	0	0	0	0	1	4	4	37	1	0	0	11	0	86	129	5	0	1	0	0	0	2	4	1
699	719	"Dome Creek Meadow"	40.02417	-107.05083	145	"AWI"	145	1531	4465	3027	25	1	13	0	18	0	0	1	0	0	6	8	356	0	0	0	8	0	85	140	0	0	1	0	0	0	0	0	3
699	719	"Dome Creek Meadow"	40.02417	-107.05083	165	"AWI"	165	2026	4761	3490	24	0	17	0	12	0	0	0	0	0	1	2	19	1	0	0	1	0	110	124	1	0	3	2	0	3	0	1	0
699	719	"Dome Creek Meadow"	40.02417	-107.05083	185	"AWI"	185	2378	5061	4000	22	0	14	0	13	0	0	1	0	0	6	0	124	0	0	0	7	0	121	114	0	0	1	0	0	0	0	1	0
