"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Crassulaceae"	"Cyperaceae"	"Droseraceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Lamiaceae"	"Larix"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"
1640	1695	"Maltan River Exposure"	60.88333	151.61667	0	"AWI"	0	934	1115	1010	48	0	23	0	158	0	0	0	0	0	0	4	0	45	1	0	0	3	0	0	1	70	0	0	58	0	0	0	0	11	4	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	25	"AWI"	25	4319	6263	5620	248	0	10	0	222	0	0	0	2	0	0	1	0	121	0	1	0	0	0	0	2	530	0	0	2	0	1	10	0	27	2	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	55	"AWI"	55	7646	9464	8867	191	1	4	0	195	0	0	2	0	0	0	50	0	36	0	1	0	5	0	0	1	2	0	0	6	0	0	0	0	10	1	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	75	"AWI"	75	9299	9632	9508	280	0	1	0	722	0	0	0	0	0	0	201	0	24	0	0	0	3	0	0	0	17	0	0	6	0	0	4	0	13	4	2	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	100	"AWI"	100	9582	10001	9766	229	0	1	0	459	0	0	0	0	0	0	142	1	14	0	0	0	0	0	0	0	19	0	0	5	0	0	0	0	8	0	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	120	"AWI"	120	9635	10122	9859	229	0	3	0	402	0	0	0	0	0	0	91	0	12	0	0	4	7	0	0	0	37	0	0	5	0	0	10	0	7	0	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	150	"AWI"	150	9810	10236	10045	241	0	6	0	377	0	0	0	1	0	0	156	0	12	0	0	0	2	0	0	0	12	0	0	6	0	0	7	0	8	2	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	180	"AWI"	180	9969	10398	10210	118	1	2	0	149	0	0	0	1	1	0	88	0	24	0	0	1	11	0	0	0	9	0	0	9	0	1	0	0	11	1	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	210	"AWI"	210	10119	10562	10356	498	0	1	0	807	0	0	0	0	1	0	76	0	92	0	0	0	0	1	0	1	8	0	0	17	0	3	12	0	30	0	0	0
1640	1695	"Maltan River Exposure"	60.88333	151.61667	240	"AWI"	240	10288	10695	10498	489	0	2	0	158	0	0	0	1	0	0	98	0	22	0	0	0	6	0	0	0	3	0	0	22	0	0	0	0	6	2	0	0
