"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"
12	12	"Ageröds Mosse"	55.933292	13.425594	0	"AWI"	0	-117	51	-27	0	124	5	0	0	6	0	196	1	0	0	0	0	52	11	269	2	95	0	3	0	0	10	15	123	0	612	0	30	0	0	2	85	2	0	0	10	3
12	12	"Ageröds Mosse"	55.933292	13.425594	5	"AWI"	5	-75	155	34	0	83	11	0	0	1	0	151	0	0	0	0	0	64	3	397	0	161	0	0	0	3	8	17	145	8	99	0	19	0	0	0	0	1	0	0	9	10
12	12	"Ageröds Mosse"	55.933292	13.425594	10	"AWI"	10	-51	310	89	0	180	1	0	0	5	0	201	2	0	0	0	0	93	31	147	0	113	0	0	0	0	12	10	76	0	30	0	23	0	0	0	2	0	0	0	2	1
12	12	"Ageröds Mosse"	55.933292	13.425594	15	"AWI"	15	5	360	161	0	73	1	1	0	5	0	231	0	0	0	0	0	111	2	207	0	128	0	2	0	0	20	2	78	0	22	0	38	0	0	0	0	1	0	0	26	9
12	12	"Ageröds Mosse"	55.933292	13.425594	20	"AWI"	20	31	442	227	0	91	8	3	0	7	0	224	2	0	0	0	0	48	24	351	0	90	0	2	1	0	6	8	133	0	70	0	46	0	0	0	11	0	0	0	5	4
12	12	"Ageröds Mosse"	55.933292	13.425594	25	"AWI"	25	122	473	292	0	77	1	0	0	7	0	71	1	0	0	0	0	15	44	183	0	249	0	0	0	0	4	14	136	0	67	0	51	0	1	0	13	1	0	0	0	1
12	12	"Ageröds Mosse"	55.933292	13.425594	30	"AWI"	30	168	528	360	0	84	3	1	0	1	0	93	0	0	0	0	0	29	27	78	0	243	0	0	0	0	1	4	139	0	38	0	43	0	0	0	5	1	0	0	2	0
12	12	"Ageröds Mosse"	55.933292	13.425594	35	"AWI"	35	278	588	430	0	103	1	1	0	10	0	164	0	0	0	0	0	66	46	71	0	178	0	1	0	0	11	1	91	0	45	1	58	0	0	0	3	1	0	0	1	0
12	12	"Ageröds Mosse"	55.933292	13.425594	40	"AWI"	40	321	661	486	0	135	5	0	0	2	0	205	0	0	0	0	0	54	50	85	0	141	0	0	0	0	1	1	118	0	20	0	19	0	0	1	3	2	0	0	0	1
12	12	"Ageröds Mosse"	55.933292	13.425594	45	"AWI"	45	362	720	544	0	149	0	0	0	4	0	260	0	0	0	0	0	94	6	146	0	126	0	2	0	0	19	5	73	0	20	0	28	0	0	0	2	3	0	0	2	4
