"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Isoëtes"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tsuga"	"Ulmus"
1556	1598	"Lake LB1"	57.91667	-75.61667	0	"AWI"	0	-144	23	-66	0	0	55	4	4	6	246	0	0	0	1	2	64	30	0	0	0	0	0	0	0	0	98.5	17.5	0	0	13	0	0	0	0	0	0	3	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	6	"AWI"	6	15	1144	544	0	0	61	1	15	16	201	0	0	0	0	1	79	32	0	0	0	0	0	0	0	0	132.5	0	1	0	12	1	0	0	0	0	0	10	0	0	1	0
1556	1598	"Lake LB1"	57.91667	-75.61667	10	"AWI"	10	73	1952	951	0	0	64	1	16	10	196	0	0	0	0	2	55	32	1	0	1	2	0	0	0	0	142	0	0	0	10	0	0	0	0	0	0	7	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	14	"AWI"	14	756	2057	1353	0	0	75	0	8	11	221	0	0	0	0	3	55	30	0	0	0	0	0	1	0	0	149	0	2	0	8	0	0	1	0	0	0	3	0	1	2	0
1556	1598	"Lake LB1"	57.91667	-75.61667	20	"AWI"	20	1440	2412	2003	0	0	79	2	8	6	197	0	0	0	1	8	39	25	0	0	0	0	0	0	0	0	172	17.5	0	0	8	0	0	0	0	0	0	4	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	24	"AWI"	24	1582	2508	2116	0	0	66	0	10	10	201	0	0	0	0	4	50	30	0	0	0	0	1	0	1	2	272	0	1	0	5	0	0	0	3	0	0	4	0	1	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	30	"AWI"	30	1729	2817	2269	0	0	59	0	10	7	230	0	0	0	0	4	35	34	0	0	0	0	0	0	0	0	223.5	0	0	0	12	0	1	0	0	0	0	1	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	34	"AWI"	34	1867	2910	2386	0	0	77	0	5	0	183	0	0	0	0	4	28	22	0	0	0	0	0	0	0	0	157	0	0	0	4	0	0	1	0	0	0	2	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	40	"AWI"	40	1999	3151	2551	0	0	112	1	13	6	278	0	0	1	0	5	41	31	0	0	0	1	0	0	0	1	175	0	0	0	8	0	0	1	0	0	0	9	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	46	"AWI"	46	2192	3305	2720	0	1	64	2	8	0	229	0	0	0	0	5	35	14	0	0	0	0	0	0	0	0	223	10.5	3	0	5	0	0	0	0	0	0	4	0	1	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	50	"AWI"	50	2268	3440	2836	0	0	81	0	8	9	222	0	0	0	0	3	40	23	0	0	1	0	0	0	0	1	148.5	9	1	0	6	0	0	0	0	1	0	7	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	56	"AWI"	56	2531	3586	2997	0	0	81	0	8	7	234	0	0	0	0	1	34	29	0	0	0	0	0	0	0	0	223	0	0	1	6	0	0	0	0	0	0	6	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	60	"AWI"	60	2630	3726	3107	0	0	139	2	12	6	266	0	0	0	0	3	48	35	0	0	0	4	0	1	0	0	205	0	0	0	14	0	0	0	0	0	0	7	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	64	"AWI"	64	2919	3867	3275	0	0	144	1	10	6	288	0	0	0	0	4	30	27	0	0	0	0	0	1	0	0	168.5	0	0	0	15	0	0	0	2	0	0	6	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	70	"AWI"	70	3089	4320	3527	1	0	108	0	6	6	156	0	0	0	0	3	31	30	0	0	0	0	1	0	0	0	129	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	76	"AWI"	76	3468	4920	4186	1	0	259	2	9	9	271	0	0	0	0	1	47	27	0	0	0	0	0	1	1	0	181	0	0	0	7	0	0	1	0	0	0	7	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	80	"AWI"	80	3583	5596	4593	1	0	206	2	9	12	285	0	1	0	0	0	29	24	0	0	0	0	1	0	0	0	129.5	10.5	1	0	4	0	0	1	0	0	0	7	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	84	"AWI"	84	4259	5693	4973	0	0	164	1	9	9	211	0	0	0	0	1	41	22	0	0	0	0	0	1	1	0	102.5	0	0	0	10	0	0	0	0	0	0	10	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	90	"AWI"	90	4830	6034	5590	0	0	230	3	5	0	252	0	0	0	0	1	20	35	0	0	0	0	0	1	0	0	89	6.5	1	0	7	0	0	0	0	0	0	10	2	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	94	"AWI"	94	5133	6136	5754	0	0	173	0	5	4	207	0	0	0	0	1	18	27	0	0	0	0	0	1	0	0	85	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	100	"AWI"	100	5422	6515	6015	0	0	292	4	16	8	215	0	0	0	0	2	46	39	0	0	0	0	1	0	0	0	124	17	0	0	18	0	0	1	0	0	0	9	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	104	"AWI"	104	5563	6599	6122	0	0	230	2	7	7	314	0	0	0	0	2	29	25	0	0	0	0	0	1	0	0	81	0	2	0	13	0	0	0	0	0	0	9	0	1	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	110	"AWI"	110	5715	6801	6281	0	0	208	0	10	8	281	0	0	0	0	1	42	38	0	0	0	0	0	0	1	0	96.5	0	2	0	8	0	0	0	0	0	0	8	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	114	"AWI"	114	5845	6868	6382	0	0	159	1	7	5	181	0	0	0	0	1	37	17	0	0	1	0	0	0	1	0	65.5	0	0	0	11	0	0	0	0	0	0	10	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	120	"AWI"	120	5982	7037	6538	0	0	226	0	10	5	318	1	0	0	0	0	32	19	0	0	2	2	1	1	0	0	66.5	9.5	0	0	11	0	0	0	0	0	0	11	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	124	"AWI"	124	6139	7092	6641	0	0	192	3	6	7	264	0	0	0	0	0	63	21	0	0	0	0	0	2	0	0	73.5	0	0	0	10	0	0	0	0	0	0	16	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	130	"AWI"	130	6295	7242	6802	0	0	135	2	14	3	187	0	0	0	0	3	67	14	0	0	2	0	0	0	0	0	59.5	0	0	0	11	0	0	0	0	0	0	20	0	0	0	0
1556	1598	"Lake LB1"	57.91667	-75.61667	136	"AWI"	136	6574	7355	6965	0	0	122	3	21	4	88	0	0	0	0	2	105	10	0	1	0	0	0	1	0	0	117.5	0	1	0	10	0	0	1	0	0	0	24	0	0	0	1
1556	1598	"Lake LB1"	57.91667	-75.61667	140	"AWI"	140	6661	7496	7077	0	0	101	4	30	9	90	0	1	0	0	1	92	7	0	1	0	0	0	0	0	0	123	0	2	0	13	0	0	1	0	0	0	30	0	0	0	2
1556	1598	"Lake LB1"	57.91667	-75.61667	144	"AWI"	144	6785	7749	7222	0	0	121	11	26	19	88	1	0	0	0	4	86	4	0	0	1	0	0	0	0	0	123	15	1	1	21	0	0	1	0	0	1	31	0	0	0	4
