"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Indeterminable"	"Juniperus"	"Larix"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinaceae"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polemoniaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
213	214	"Arrington Marsh"	39.495	-95.52667	513	"AWI"	513	22211	24995	23581	9	2	1	0	0	24	0	5	0	0	0	0	0	0	1	0	0	0	0	81	0	0	0	0	0	5	1	4	7	0	0	0	1	221	0	9	0	1	26	0	0	0	6	0	0	0	0	1	0	0	3	0	1	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	533	"AWI"	533	22645	25432	24006	3	1	1	0	2	8	0	3	0	0	0	0	0	0	0	0	0	1	0	89	1	0	0	0	0	0	0	4	4	0	0	0	2	270	1	8	0	1	24	2	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	553	"AWI"	553	23060	25872	24433	5	2	2	0	1	9	0	7	0	0	1	0	0	0	0	0	0	2	0	68	0	0	0	0	0	0	0	0	6	0	0	0	3	222	1	20	0	0	23	0	0	0	5	0	0	1	0	3	1	0	1	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	573	"AWI"	573	23471	26283	24850	7	3	3	0	1	19	0	0	0	0	0	0	0	0	1	0	0	1	0	101	0	0	0	1	0	0	0	1	5	0	0	0	2	328	3	39	0	0	37	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	593	"AWI"	593	23894	26689	25268	0	0	0	0	0	12	0	5	1	0	0	0	0	0	2	0	0	1	0	63	0	0	0	0	0	0	0	9	8	0	0	0	4	236	0	9	0	0	25	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	613	"AWI"	613	24322	27119	25685	1	2	2	0	1	15	0	6	0	1	0	0	0	0	0	0	0	0	0	182	0	0	0	0	1	0	0	3	5	0	0	0	2	224	1	28	0	0	21	0	0	0	3	0	0	0	0	1	0	0	2	1	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	633	"AWI"	633	24743	27542	26105	2	0	1	0	1	14	0	3	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	2	0	0	0	4	5	0	0	0	1	264	0	16	0	0	26	0	0	0	1	0	0	0	2	4	0	0	4	0	0	0	0	1	0
213	214	"Arrington Marsh"	39.495	-95.52667	653	"AWI"	653	25170	27970	26522	1	0	0	0	2	18	0	4	1	0	0	0	0	0	2	0	0	0	0	78	0	0	0	1	0	0	0	1	4	0	0	0	1	273	2	42	0	1	21	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	673	"AWI"	673	25592	28375	26939	0	1	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	224	23	25	0	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	693	"AWI"	693	26021	28780	27365	2	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	44	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	715	"AWI"	715	26492	29233	27828	1	0	3	0	1	9	0	5	0	0	0	0	0	1	1	0	0	0	0	49	0	0	0	0	0	0	0	1	8	0	0	0	1	168	7	51	0	1	21	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	733	"AWI"	733	26864	29612	28207	0	0	0	0	0	19	0	5	0	0	0	1	0	0	1	0	0	0	0	28	0	0	0	0	0	0	0	2	2	0	0	0	0	266	0	78	0	0	14	0	2	0	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	743	"AWI"	743	27074	29825	28415	1	1	2	0	0	12	0	2	0	0	0	0	0	0	2	0	0	0	0	107	0	0	0	0	0	0	0	1	3	0	0	0	2	183	0	65	0	0	22	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	1	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	753	"AWI"	753	27291	30043	28630	3	1	2	1	3	23	0	1	0	0	0	0	0	0	3	0	0	1	0	108	0	0	0	0	0	0	0	0	7	0	1	0	1	198	0	43	0	0	35	0	0	0	3	0	0	0	1	10	0	0	4	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	763	"AWI"	763	27494	30271	28836	0	3	6	0	3	22	0	9	1	0	0	0	0	0	4	1	0	0	0	211	0	0	0	0	0	0	0	0	4	0	0	0	1	88	0	57	0	3	48	0	0	0	11	0	0	0	1	12	0	0	1	0	0	0	0	0	0
213	214	"Arrington Marsh"	39.495	-95.52667	778	"AWI"	778	27794	30606	29156	0	2	10	0	3	40	0	7	0	0	1	0	0	0	6	0	0	13	1	173	0	0	0	0	0	0	0	19	24	1	0	0	2	162	5	86	0	0	85	0	0	0	11	0	0	0	0	18	0	1	2	0	0	1	0	0	0
