"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Celtis"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rosaceae"	"Salix"	"Santalaceae"	"Sarcobataceae"	"Tilia"	"Tsuga"	"Ulmus"
1561	1606	"Lake QC"	46.82833	-80.69833	1	"AWI"	1	-135	46	-49	2	0	6	3	1	0	32	0	0	0	0	2	0	1	0	0	0	3	0	0	1	0	0	1	22	209	0	1	0	3	0	0	0	0	0	1	0
1561	1606	"Lake QC"	46.82833	-80.69833	20	"AWI"	20	91	717	336	2	0	10	0	3	0	58	0	0	0	0	2	0	1	5	0	0	8	0	0	4	1	0	4	21	171	0	1	1	9	0	0	0	0	0	1	3
1561	1606	"Lake QC"	46.82833	-80.69833	40	"AWI"	40	403	1217	763	5	0	11	0	0	0	59	0	0	0	1	2	0	1	4	0	0	2	0	0	2	4	0	1	17	167	0	1	1	15	0	1	0	0	0	3	2
1561	1606	"Lake QC"	46.82833	-80.69833	60	"AWI"	60	753	1654	1192	3	0	9	0	2	0	78	1	0	1	0	2	0	0	3	4	0	5	0	0	4	1	0	0	11	159	0	1	1	10	0	0	0	0	0	1	0
1561	1606	"Lake QC"	46.82833	-80.69833	80	"AWI"	80	1152	2067	1616	2	0	12	0	2	0	73	1	0	0	0	7	0	2	1	0	0	1	0	0	1	5	0	1	18	154	0	1	1	8	0	0	0	0	0	5	2
1561	1606	"Lake QC"	46.82833	-80.69833	100	"AWI"	100	1561	2473	2032	5	0	12	0	0	0	42	1	0	0	0	3	0	0	2	0	0	3	0	0	0	3	0	1	25	192	0	2	1	6	0	0	0	0	0	1	0
1561	1606	"Lake QC"	46.82833	-80.69833	120	"AWI"	120	2019	2828	2457	1	0	6	0	0	0	52	0	0	1	1	2	0	2	1	0	0	2	0	0	4	0	0	0	18	194	0	4	0	7	0	0	0	0	0	1	1
1561	1606	"Lake QC"	46.82833	-80.69833	140	"AWI"	140	2537	3157	2881	2	0	5	0	0	0	61	0	0	1	4	2	0	1	1	4	0	2	0	0	0	2	0	1	15	184	0	3	2	7	0	0	0	0	0	1	5
1561	1606	"Lake QC"	46.82833	-80.69833	160	"AWI"	160	3007	3615	3273	2	5	23	1	1	0	73	0	0	0	2	1	0	0	2	0	1	6	0	0	2	0	0	3	5	162	0	0	1	11	0	0	0	0	0	1	4
1561	1606	"Lake QC"	46.82833	-80.69833	180	"AWI"	180	3306	4124	3672	3	0	13	0	0	0	43	0	0	0	3	0	0	0	3	0	1	3	0	0	0	1	0	1	8	217	0	0	2	3	0	0	0	0	0	0	1
