"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Diapensiaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Isoëtes"	"Juglans"	"Juniperus"	"Larix"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Viburnum"
217	219	"Lac des Atocas"	45.54306	-73.31111	835	"AWI"	835	11393	12831	12117	1	0	15	0	10	0	57	0	0	0	13	0	3	0	0	0	0	10	0	0	0	0	1	1	0	1	33	108	4	0	15	3	0	9	0	1	1	3	3	0
217	219	"Lac des Atocas"	45.54306	-73.31111	840	"AWI"	840	11466	13167	12255	0	0	6	0	2	0	17	0	0	0	3	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	32	45	2	0	2	0	0	1	0	2	0	2	1	0
217	219	"Lac des Atocas"	45.54306	-73.31111	845	"AWI"	845	11590	13350	12407	0	0	4	2	3	0	19	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	21	28	2	0	5	0	0	2	0	0	0	3	0	0
217	219	"Lac des Atocas"	45.54306	-73.31111	855	"AWI"	855	11751	13932	12681	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0
217	219	"Lac des Atocas"	45.54306	-73.31111	865	"AWI"	865	11957	14355	12978	0	0	0	0	1	0	5	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	1	0	0	0	0	0	0	0	0	1	0	0
217	219	"Lac des Atocas"	45.54306	-73.31111	880	"AWI"	880	12242	15025	13421	0	0	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
217	219	"Lac des Atocas"	45.54306	-73.31111	900	"AWI"	900	12653	15918	14000	0	0	3	0	3	0	10	0	2	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	34	38	0	0	0	0	0	2	0	0	0	2	0	0
217	219	"Lac des Atocas"	45.54306	-73.31111	0	"AWI"	0	-148	21	-57	1	0	8	0	1	0	120	5	0	0	4	0	0	0	0	0	45	0	0	0	3	0	0	0	0	1	7	78	2	3	14	0	0	1	0	0	9	41	10	0
217	219	"Lac des Atocas"	45.54306	-73.31111	25	"AWI"	25	-10	638	218	0	0	0	0	0	0	110	1	0	0	0	0	0	0	1	0	57	0	0	0	2	0	0	0	0	0	8	50	0	0	13	0	0	1	0	1	1	78	11	0
217	219	"Lac des Atocas"	45.54306	-73.31111	50	"AWI"	50	158	1073	517	0	0	0	0	0	0	133	0	0	0	4	0	0	0	0	0	101	16	2	0	2	0	0	0	0	1	3	95	1	0	10	0	0	0	0	1	4	101	9	0
217	219	"Lac des Atocas"	45.54306	-73.31111	75	"AWI"	75	345	1446	817	1	0	0	0	0	0	162	4	0	0	4	0	0	0	0	0	65	20	0	0	0	0	0	0	0	0	0	56	2	0	25	0	0	1	0	0	3	79	6	0
217	219	"Lac des Atocas"	45.54306	-73.31111	95	"AWI"	95	539	1703	1069	0	0	0	0	0	0	107	6	0	0	2	0	0	0	0	0	83	21	0	0	0	0	0	0	0	1	3	68	2	3	15	0	0	1	0	0	7	86	12	0
217	219	"Lac des Atocas"	45.54306	-73.31111	125	"AWI"	125	850	2087	1436	0	0	0	0	3	0	87	3	0	0	4	0	0	0	0	0	106	0	0	0	0	0	3	0	0	0	9	117	4	0	25	0	0	0	0	0	5	114	15	0
217	219	"Lac des Atocas"	45.54306	-73.31111	150	"AWI"	150	1100	2393	1747	0	0	0	0	1	0	114	3	0	1	3	0	0	0	0	0	100	0	3	0	0	0	0	0	0	1	4	90	3	0	15	0	0	0	0	0	4	92	16	0
217	219	"Lac des Atocas"	45.54306	-73.31111	175	"AWI"	175	1397	2665	2049	1	0	0	0	0	0	179	4	0	0	7	0	0	1	0	0	125	0	1	0	0	0	1	0	0	0	12	137	4	0	26	0	0	0	0	0	1	119	30	0
217	219	"Lac des Atocas"	45.54306	-73.31111	200	"AWI"	200	1717	2928	2361	1	0	19	0	2	0	210	2	0	1	3	0	0	0	0	0	82	24	0	2	3	0	0	0	0	1	6	71	6	0	46	0	0	1	0	0	13	92	13	0
217	219	"Lac des Atocas"	45.54306	-73.31111	225	"AWI"	225	2031	3173	2660	0	0	0	0	1	0	114	2	0	0	8	0	0	0	0	0	118	0	0	0	3	0	0	0	0	0	0	53	5	0	20	0	0	0	0	1	3	69	20	0
217	219	"Lac des Atocas"	45.54306	-73.31111	250	"AWI"	250	2414	3387	2968	0	0	0	0	0	0	63	2	0	0	3	0	0	0	0	0	69	0	1	0	0	0	0	0	0	0	2	53	1	0	14	0	0	0	0	0	5	100	9	0
217	219	"Lac des Atocas"	45.54306	-73.31111	275	"AWI"	275	2833	3597	3262	0	0	15	0	4	0	100	2	0	0	4	0	0	0	0	0	80	0	1	0	0	0	2	0	0	0	5	82	1	0	23	0	0	1	0	0	7	83	16	0
217	219	"Lac des Atocas"	45.54306	-73.31111	300	"AWI"	300	3197	3855	3536	1	0	14	0	4	0	123	2	0	0	0	0	0	0	0	0	110	29	0	0	0	0	0	0	0	1	6	109	7	0	27	0	0	0	0	0	4	73	16	0
217	219	"Lac des Atocas"	45.54306	-73.31111	325	"AWI"	325	3409	4195	3785	0	0	0	0	0	0	102	2	0	0	3	0	0	0	0	0	77	14	0	0	0	0	0	0	0	0	6	100	0	0	14	0	0	0	0	0	7	28	16	0
