"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Arecaceae"	"Asteraceae"	"Byrsonima"	"Cecropia"	"Celtis"	"Combretaceae"	"Cyperaceae (<50 µm)"	"Cyperaceae (>50 µm)"	"Didymopanax"	"Euphorbiaceae"	"Euterpe"	"Hedyosmum"	"Ilex"	"Indeterminable"	"Isoëtes"	"Malvaceae"	"Marcgraviaceae"	"Mauritia"	"Mauritiella"	"Menispermaceae"	"Myrsine"	"Myrtaceae"	"Peraceae"	"Piper"	"Poaceae"	"Podocarpus"	"Protium"	"Rhizophora"	"Sapotaceae"	"Solanaceae"	"Symphonia"	"Urticaceae"	"Virola"	"Zanthoxylum"
526	540	"Lagoa da Curuça"	-0.76667	-47.85	370	"AWI"	370	10538	11187	10921	2	0	1	2	7	0	5	15	0	0	0	0	0	0	4	1	1	0	13	14	0	0	8	0	1	26	0	0	6	1	0	0	16	1	0
526	540	"Lagoa da Curuça"	-0.76667	-47.85	380	"AWI"	380	10654	11513	11089	1	0	0	2	1	0	12	4	0	0	0	1	0	14	11	0	1	0	4	1	0	0	3	1	0	6	0	4	0	1	0	0	11	0	1
526	540	"Lagoa da Curuça"	-0.76667	-47.85	390	"AWI"	390	10800	11723	11252	8	0	0	4	5	0	29	10	0	9	0	0	0	6	7	1	2	0	14	0	0	0	8	0	2	10	0	1	3	2	2	0	23	2	1
526	540	"Lagoa da Curuça"	-0.76667	-47.85	400	"AWI"	400	10952	11909	11435	8	0	0	1	3	0	17	23	9	7	0	2	0	3	10	0	1	1	7	11	0	4	3	0	0	13	2	7	0	4	0	0	31	2	0
526	540	"Lagoa da Curuça"	-0.76667	-47.85	417	"AWI"	417	11258	12191	11740	12	0	0	1	2	0	21	33	0	6	0	1	1	2	14	0	0	0	18	1	1	0	2	0	6	12	4	6	0	3	2	0	23	0	0
526	540	"Lagoa da Curuça"	-0.76667	-47.85	437	"AWI"	437	11616	12492	12113	13	0	0	3	11	0	65	7	0	7	0	2	0	1	6	0	1	0	3	0	0	1	5	0	4	3	0	8	2	0	0	0	36	0	1
526	540	"Lagoa da Curuça"	-0.76667	-47.85	447	"AWI"	447	11815	12624	12302	28	0	1	3	20	0	16	2	1	8	0	0	1	2	2	0	0	0	5	1	1	4	4	0	2	2	0	1	0	0	1	0	72	0	5
526	540	"Lagoa da Curuça"	-0.76667	-47.85	457	"AWI"	457	12019	12734	12479	25	0	0	3	12	0	27	3	0	10	0	0	0	3	6	0	0	0	12	0	1	0	2	0	0	0	2	4	0	2	2	0	53	1	0
526	540	"Lagoa da Curuça"	-0.76667	-47.85	467	"AWI"	467	12257	12840	12655	22	0	0	1	33	0	20	0	0	7	0	0	0	2	7	0	0	2	16	6	0	1	3	0	3	1	0	2	0	4	0	0	43	3	3
526	540	"Lagoa da Curuça"	-0.76667	-47.85	477	"AWI"	477	12404	12969	12783	8	0	0	5	11	1	42	3	0	0	1	0	0	3	12	1	0	0	10	4	0	0	9	0	2	2	1	6	0	5	0	0	60	1	0
526	540	"Lagoa da Curuça"	-0.76667	-47.85	487	"AWI"	487	12541	13105	12881	5	3	1	2	3	3	29	9	1	0	0	1	0	2	12	13	0	0	13	3	0	1	10	0	2	1	1	5	0	1	0	0	46	2	2
526	540	"Lagoa da Curuça"	-0.76667	-47.85	497	"AWI"	497	12671	13214	12978	6	0	1	1	7	0	41	12	1	0	0	0	0	1	18	11	0	0	8	4	0	2	10	0	1	4	2	3	0	2	0	0	34	0	1
526	540	"Lagoa da Curuça"	-0.76667	-47.85	507	"AWI"	507	12795	13315	13078	2	0	0	2	1	2	33	5	0	0	0	1	0	3	13	16	0	0	26	7	0	1	13	2	3	2	2	3	0	1	1	1	35	1	3
526	540	"Lagoa da Curuça"	-0.76667	-47.85	517	"AWI"	517	12926	13409	13175	7	0	2	2	2	1	36	6	0	0	0	0	0	4	15	14	0	0	25	3	1	2	12	0	0	1	0	0	0	7	1	0	23	0	0
526	540	"Lagoa da Curuça"	-0.76667	-47.85	527	"AWI"	527	13058	13497	13272	6	0	0	2	2	1	39	8	3	0	0	1	0	3	14	22	0	0	27	1	0	3	6	1	3	3	0	2	0	2	0	0	32	2	0
526	540	"Lagoa da Curuça"	-0.76667	-47.85	534	"AWI"	534	13165	13568	13347	4	0	0	1	0	2	29	9	3	0	0	0	0	4	15	32	0	0	11	15	0	1	10	0	3	4	3	2	0	4	0	0	23	0	4
526	540	"Lagoa da Curuça"	-0.76667	-47.85	547	"AWI"	547	13286	13838	13512	8	0	0	3	2	0	26	13	1	0	0	1	0	3	11	43	0	0	36	0	0	1	16	2	2	4	2	1	0	1	1	0	28	0	1
526	540	"Lagoa da Curuça"	-0.76667	-47.85	557	"AWI"	557	13374	14103	13650	8	0	0	0	2	2	20	4	3	0	0	0	0	3	19	48	0	0	32	12	4	0	9	0	0	4	3	1	0	1	0	1	27	3	1
