"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acacia"	"Amaranthaceae"	"Apiaceae"	"Asparagaceae"	"Asphodelaceae"	"Asteliaceae"	"Asteraceae"	"Banksia"	"Brassicaceae"	"Callitris"	"Caryophyllaceae"	"Casuarina (<23 µm)"	"Casuarina (>23 µm)"	"Cyperaceae"	"Dodonaea"	"Drimys"	"Ericales"	"Eucalyptus"	"Exocarpos"	"Fabaceae"	"Geraniaceae"	"Goodeniaceae"	"Grevillea"	"Hakea"	"Haloragaceae"	"Hibbertia"	"Lamiaceae"	"Liliaceae"	"Lomatia"	"Malvaceae"	"Montiaceae"	"Myrtaceae"	"Nothofagus"	"Phyllocladus"	"Picrodendraceae"	"Pinus"	"Pittosporaceae"	"Plantaginaceae"	"Poaceae"	"Podocarpus"	"Polygalaceae"	"Proteaceae"	"Ranunculaceae"	"Restionaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Stylidiaceae"
1583	1630	"Lake George"	-35.111608	149.418218	0	"AWI"	0	-151	14	-69	0	37	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	11	0	0	0	4	0	0	0	0	0
1583	1630	"Lake George"	-35.111608	149.418218	5	"AWI"	5	598	771	682	0	21	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	9	0	0	1	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	27	0	0	0	3	1	0	0	0	0
1583	1630	"Lake George"	-35.111608	149.418218	10	"AWI"	10	1313	1560	1432	0	46	0	0	0	0	44	0	0	1	1	2	0	4	0	0	0	0	7	0	2	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	1	107	0	0	0	4	0	0	0	5	0
1583	1630	"Lake George"	-35.111608	149.418218	15	"AWI"	15	2019	2366	2183	0	25	0	0	0	0	30	0	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	57	0	0	0	0	0	0	0	0	0
1583	1630	"Lake George"	-35.111608	149.418218	20	"AWI"	20	2716	3176	2932	0	27	0	0	0	0	50	0	0	0	0	6	0	4	0	0	0	0	3	0	0	0	6	0	5	0	0	5	0	0	0	0	0	0	0	0	0	1	183	0	0	0	3	0	0	0	1	0
1583	1630	"Lake George"	-35.111608	149.418218	30	"AWI"	30	4109	4721	4401	0	14	0	0	0	0	22	0	0	0	2	3	0	3	0	0	0	0	4	0	1	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	3	104	0	0	0	0	0	0	0	0	7
1583	1630	"Lake George"	-35.111608	149.418218	40	"AWI"	40	5183	6017	5720	0	11	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	122	0	0	0	0	0	0	0	0	11
1583	1630	"Lake George"	-35.111608	149.418218	45	"AWI"	45	5615	6752	6375	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
1583	1630	"Lake George"	-35.111608	149.418218	50	"AWI"	50	6018	7520	7026	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	1	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	9	73	0	0	0	0	0	0	0	0	3
1583	1630	"Lake George"	-35.111608	149.418218	55	"AWI"	55	6432	8298	7681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
