"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2053	"AWI"	2053	-93	86	-6	2	0	12	0	0	11	68	1	0	0	0	0	2	3	4	5	6	0	0	17	2	16	0	0	3	1	7	0	0	0	0	6	0	0	74	0	31	0	0	0	0	10	0	0	0	0	0	0
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2060	"AWI"	2060	-64	237	54	0	0	1	0	3	2	0	0	0	0	0	0	0	1	2	5	3	1	0	9	1	12	0	0	3	1	4	0	0	0	0	3	0	0	26	0	24	0	2	0	0	5	1	0	0	0	1	1
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2070	"AWI"	2070	-39	483	140	2	1	8	0	1	5	0	0	0	0	0	0	1	0	3	2	3	0	0	8	0	7	0	0	3	3	1	0	0	0	0	0	0	0	39	0	29	0	0	0	0	5	3	0	0	0	1	0
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2080	"AWI"	2080	-13	717	228	2	0	13	0	0	4	0	1	0	0	0	0	0	0	1	3	6	1	0	17	8	14	0	0	4	0	3	3	0	0	0	4	0	1	52	0	74	0	1	0	0	11	0	0	0	0	1	0
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2090	"AWI"	2090	66	781	334	4	0	10	0	5	0	0	1	0	0	0	0	0	0	0	10	5	2	0	15	2	18	0	0	2	2	5	0	0	1	0	5	0	0	69	0	71	0	0	0	0	9	0	0	0	0	2	0
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2100	"AWI"	2100	111	867	444	4	0	2	0	4	4	0	1	0	0	0	0	1	3	1	10	9	1	0	14	4	16	0	0	3	1	8	0	0	0	0	11	0	0	65	0	64	0	0	0	0	5	0	0	0	0	0	3
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2110	"AWI"	2110	166	983	545	1	1	6	0	0	3	97	0	0	0	0	0	2	0	0	13	2	1	0	17	2	1	0	2	3	0	10	0	0	0	0	23	0	0	36	0	72	0	0	0	0	4	0	0	0	0	0	0
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2120	"AWI"	2120	300	1036	649	2	2	1	0	1	4	62	1	0	0	1	0	0	0	1	26	11	0	0	14	0	0	0	3	1	0	4	0	0	0	0	59	0	0	30	0	84	0	1	0	0	7	0	0	0	1	2	0
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2130	"AWI"	2130	374	1098	761	0	2	3	0	9	4	0	2	0	0	1	0	1	1	3	4	6	0	0	22	2	9	1	0	5	2	14	0	0	0	0	21	0	0	87	0	64	0	0	0	0	11	1	0	0	2	0	0
1537	1577	"Lago de Ajo"	43.041046	-6.139342	2153	"AWI"	2153	725	1252	993	4	0	0	0	1	0	0	0	0	0	0	0	1	1	2	16	4	0	0	16	3	5	1	0	3	0	5	0	0	0	0	30	0	0	37	0	95	0	0	0	0	7	1	0	0	0	4	0
