"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Indeterminable"	"Isoëtes"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Rosaceae"	"Salix"
1668	1724	"McMaster Lake"	64.13333	-110.58333	0	"AWI"	0	-133	43	-58	52	0	1	0	192	2	0	5	0	10	9	0	12	0	0	96	1	0	0	0	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	2.5	"AWI"	2.5	109	1978	730	57	0	2	0	201	1	0	12	1	20	2	12	32	0	0	100	0	0	0	0	2
1668	1724	"McMaster Lake"	64.13333	-110.58333	5	"AWI"	5	565	3253	1856	99	0	5	0	243	2	0	15	0	12	8	9	9	0	0	89	1	2	0	0	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	7.5	"AWI"	7.5	1577.5	3706.5	2873	38	0	1	0	144	1	0	10	0	5	3	7	1	0	52	66	0	2	0	0	1
1668	1724	"McMaster Lake"	64.13333	-110.58333	10	"AWI"	10	3000	4068	3804	48	0	1	0	126	0	0	7	0	20	17	5	8	0	70	65	0	0	1	0	1
1668	1724	"McMaster Lake"	64.13333	-110.58333	12.5	"AWI"	12.5	3250	4268	3960	52	0	0	0	139	0	0	11	0	11	17	6	0	0	0	64	0	0	0	0	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	15	"AWI"	15	3448	4473	4058	52	0	0	0	141	9	0	4	0	15	13	7	5	0	49	53	1	0	0	0	6
1668	1724	"McMaster Lake"	64.13333	-110.58333	17.5	"AWI"	17.5	3660	4624	4153.5	62	0	1	0	194	4	4	1	0	9	0	14	8	0	0	43	0	2	0	0	1
1668	1724	"McMaster Lake"	64.13333	-110.58333	20	"AWI"	20	3855	4778	4249	68	0	1	0	152	1	3	8	0	6	16	13	8	0	75	23	0	2	0	0	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	22.5	"AWI"	22.5	4110.5	5002	4457.5	78	1	1	0	147	0	2	4	0	5	16	23	4	0	0	44	0	0	0	0	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	25	"AWI"	25	4327	5487	4864	56	0	1	0	163	2	0	2	0	5	20	11	10	0	0	37	0	2	0	0	2
1668	1724	"McMaster Lake"	64.13333	-110.58333	27.5	"AWI"	27.5	4729	5711	5322.5	71	1	0	0	141	0	1	6	7	9	14	28	3	0	98	30	0	1	0	0	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	30	"AWI"	30	5414	5925	5721	120	0	5	0	245	1	1	6	0	20	6	6	13	0	0	27	0	1	0	7	7
1668	1724	"McMaster Lake"	64.13333	-110.58333	32.5	"AWI"	32.5	5592.5	6053.5	5851.5	53	0	4	0	290	1	2	3	0	14	8	11	5	0	51	25	0	1	0	0	1
1668	1724	"McMaster Lake"	64.13333	-110.58333	35	"AWI"	35	5707	6177	5953	133	0	1	0	232	1	0	10	0	21	13	13	22	0	50	17	0	0	0	7	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	37.5	"AWI"	37.5	5837.5	6250.5	6049.5	159	0	2	0	234	1	1	6	0	18	7	10	20	0	35	15	0	0	0	0	1
1668	1724	"McMaster Lake"	64.13333	-110.58333	40	"AWI"	40	5956	6338	6148	110	1	1	0	184	4	2	12	0	16	15	11	16	1	43	7	0	2	0	9	4
1668	1724	"McMaster Lake"	64.13333	-110.58333	42.5	"AWI"	42.5	6064.5	6458.5	6257.5	115	1	1	0	270	0	0	6	0	15	10	7	14	0	22	5	0	0	0	0	3
1668	1724	"McMaster Lake"	64.13333	-110.58333	45	"AWI"	45	6138	6644	6367	67	0	0	0	228	11	1	16	0	19	11	15	15	0	26	8	0	0	0	13	4
1668	1724	"McMaster Lake"	64.13333	-110.58333	47.5	"AWI"	47.5	6231	6771.5	6484.5	66	1	0	0	265	0	0	7	2	19	9	25	21	0	26	3	0	1	0	0	1
1668	1724	"McMaster Lake"	64.13333	-110.58333	50	"AWI"	50	6314	6900	6601	30	1	1	0	322	2	3	20	0	19	7	12	29	0	0	5	0	0	0	6	7
1668	1724	"McMaster Lake"	64.13333	-110.58333	52.5	"AWI"	52.5	6441	7002	6719	11	1	0	0	261	1	0	22	1	25	0	26	70	0	0	4	0	0	0	0	4
1668	1724	"McMaster Lake"	64.13333	-110.58333	55	"AWI"	55	6558	7111	6835	16	4	8	0	306	6	2	25	1	18	8	74	8	1	28	2	0	2	0	0	10
1668	1724	"McMaster Lake"	64.13333	-110.58333	57.5	"AWI"	57.5	6700.5	7194	6951.5	4	0	0	0	245	0	0	28	0	11	0	79	25	0	0	26	0	0	0	0	0
1668	1724	"McMaster Lake"	64.13333	-110.58333	60	"AWI"	60	6843	7287	7066	20	2	17	0	187	6	0	20	3	17	3	16	3	0	0	24	0	3	0	0	28
1668	1724	"McMaster Lake"	64.13333	-110.58333	62.5	"AWI"	62.5	6973.5	7452.5	7199.5	5	0	9	0	65	0	0	13	0	5	10	2	16	0	0	31	0	11	0	0	4
1668	1724	"McMaster Lake"	64.13333	-110.58333	65	"AWI"	65	7059	7731	7336	0	5	2	0	53	3	0	2	0	4	1	1	4	0	0	6	0	2	0	0	3
