"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Indeterminable"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	0	"AWI"	0	-114	57	-31	2	33	0	0	1	0	32	0	0	0	0	6	0	2	2	3	0	1	0	3	0	0	300	0	1	0	0	0	0	0	7	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	10	"AWI"	10	46	789	319	4	44	0	0	2	0	35	0	0	0	0	5	0	0	1	0	0	0	0	4	0	115	280	0	4	0	0	0	0	0	8	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	20	"AWI"	20	259	1218	686	2	41	2	1	2	0	34	0	0	0	0	6	0	5	1	0	0	0	0	2	0	120	294	0	3	0	0	0	0	0	17	0	1	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	30	"AWI"	30	558	1559	1071	3	44	1	0	0	0	38	0	0	0	0	5	0	2	0	1	0	0	0	1	0	136	290	0	4	0	0	0	0	0	5	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	40	"AWI"	40	951	1818	1451	0	40	0	1	6	0	25	0	0	0	0	5	0	1	0	1	0	0	0	7	0	0	300	0	8	0	0	0	0	0	10	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	50	"AWI"	50	1540	2067	1807	0	39	0	1	1	0	30	0	0	0	0	4	0	0	0	2	0	0	0	2	0	0	320	0	4	0	0	0	0	0	9	0	1	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	60	"AWI"	60	1899	2810	2222	0	57	0	1	5	0	25	0	0	0	0	5	0	2	0	2	0	1	1	4	0	140	257	0	1	0	0	0	0	0	10	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	70	"AWI"	70	2211	3376	2721	0	49	0	2	0	0	17	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	313	0	1	0	0	0	0	0	8	0	0	2
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	80	"AWI"	80	2581	3864	3221	0	38	0	3	1	0	20	0	0	0	0	5	0	1	0	2	0	1	0	3	0	152	270	0	5	0	0	0	0	0	15	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	90	"AWI"	90	3072	4260	3740	0	42	0	0	1	0	30	0	0	0	0	1	0	1	1	1	0	0	0	2	0	0	323	0	3	0	0	0	0	0	5	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	100	"AWI"	100	3794	4568	4210	1	51	1	2	1	0	15	0	0	0	0	2	0	3	0	0	1	0	0	3	0	140	260	0	2	0	0	0	0	0	15	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	110	"AWI"	110	4139	5070	4573	2	45	0	2	1	0	15	0	0	0	0	0	0	1	0	3	0	1	0	1	0	213	246	0	0	0	0	0	0	0	6	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	120	"AWI"	120	4401	5484	4906	0	47	0	0	1	0	22	0	0	0	0	4	0	1	0	0	0	0	0	5	0	180	235	0	1	0	0	0	0	0	10	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	130	"AWI"	130	4688	5864	5250	2	36	0	1	1	0	25	0	0	0	0	2	1	0	0	0	0	0	0	0	0	180	251	0	2	0	2	0	0	0	5	0	1	1
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	140	"AWI"	140	4962	6246	5589	0	56	1	0	0	0	35	0	0	0	0	10	0	0	0	0	0	0	0	2	0	190	250	0	3	0	1	0	0	0	15	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	150	"AWI"	150	5268	6583	5941	2	33	0	0	0	0	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	212	278	0	0	0	0	0	0	0	5	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	160	"AWI"	160	5626	6887	6284	0	60	0	1	0	0	20	0	0	0	0	15	1	0	0	2	0	0	0	3	0	190	200	0	2	0	0	0	0	0	10	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	170	"AWI"	170	5984	7176	6627	0	0	0	0	0	0	19	0	0	0	0	1	0	0	0	2	0	0	0	1	0	135	353	0	2	0	0	0	0	0	5	0	1	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	180	"AWI"	180	6366	7425	6967	1	34	0	2	2	0	25	0	0	0	2	8	0	0	1	0	0	0	0	3	0	0	300	0	7	0	0	0	0	1	10	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	190	"AWI"	190	6834	7654	7310	2	24	0	0	1	0	15	0	0	0	0	1	0	0	1	1	0	0	0	1	0	178	307	0	3	0	0	0	0	0	1	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	200	"AWI"	200	7347	7864	7630	1	26	0	2	3	0	25	0	0	3	2	7	1	0	0	3	0	1	0	1	0	192	250	1	7	0	5	1	0	0	6	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	210	"AWI"	210	7607	8193	7881	0	0	1	0	1	0	26	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	274	0	1	0	0	0	0	0	5	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	220	"AWI"	220	7768	8520	8108	1	28	0	0	3	0	35	0	0	0	0	4	1	0	0	1	0	0	0	0	0	220	220	0	4	0	0	0	0	0	10	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	230	"AWI"	230	7937	8827	8338	2	27	1	0	0	0	47	0	0	0	0	3	1	0	1	0	0	1	0	3	0	219	230	0	1	0	1	0	0	0	11	1	1	1
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	240	"AWI"	240	8131	9067	8574	0	29	0	1	5	0	60	0	0	0	2	15	1	0	2	2	0	1	0	4	0	230	120	0	11	0	5	0	0	0	20	0	3	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	250	"AWI"	250	8358	9300	8809	4	9	0	0	1	0	107	0	0	1	0	5	0	0	1	0	0	0	0	6	0	263	100	1	3	0	2	0	0	0	26	0	2	2
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	260	"AWI"	260	8553	9535	9049	1	20	0	0	5	0	85	1	0	0	0	13	0	0	2	0	0	0	0	0	0	268	115	0	16	0	3	0	0	0	18	0	1	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	270	"AWI"	270	8786	9750	9283	0	11	0	0	3	0	204	0	0	0	0	3	1	0	0	0	0	0	0	10	0	215	48	0	4	1	0	0	0	0	13	0	1	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	280	"AWI"	280	9042	9949	9517	0	15	2	0	4	0	203	0	0	0	0	7	3	0	0	3	0	0	0	1	0	203	55	0	11	1	2	0	0	0	20	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	290	"AWI"	290	9290	10152	9747	2	15	0	0	6	0	153	0	0	0	0	11	0	0	0	5	0	0	0	4	0	238	55	0	8	0	1	0	0	0	19	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	300	"AWI"	300	9613	10351	9986	0	14	0	0	5	0	70	0	0	1	0	10	0	0	0	3	0	0	0	6	0	371	33	0	8	0	1	0	0	0	37	0	2	4
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	310	"AWI"	310	9891	10763	10292	0	10	4	0	4	0	41	3	0	0	0	9	0	0	0	3	0	0	0	0	1	375	38	1	5	0	5	0	0	0	18	0	2	2
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	320	"AWI"	320	10171	11204	10654	0	9	0	1	6	0	67	0	0	0	0	15	0	0	0	0	0	0	0	2	1	389	20	0	9	0	4	0	0	0	16	0	0	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	330	"AWI"	330	10528	11510	11022	0	5	4	0	73	0	114	0	0	0	1	51	6	1	3	5	0	0	0	0	0	116	19	0	26	0	10	0	0	0	37	0	1	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	340	"AWI"	340	10989	11831	11378	0	0	0	0	48	0	0	0	0	0	5	45	0	0	0	1	0	0	0	0	0	4	5	1	6	0	10	0	0	0	50	0	0	1
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	350	"AWI"	350	11381	12310	11786	0	0	12	0	112	0	0	1	0	0	4	16	0	0	0	5	0	0	0	0	0	0	0	1	77	0	1	6	0	0	44	0	1	0
1606	1657	"Lone Fox Lake"	56.71667	-119.71667	360	"AWI"	360	11756	12727	12261	0	0	8	0	120	0	0	0	0	0	5	58	0	0	0	5	0	0	0	0	0	0	0	0	48	0	5	50	0	0	8	0	0	0
