"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Ilex"	"Juglans"	"Myrica"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Saxifragaceae"	"Ulmus"
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	90	"AWI"	90	2503	3353	3034	80	130	0	3	7	5	42	1	0	0	5	0	2	0	0	1	0	87	10	2	0	0	4	3	0	3
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	110	"AWI"	110	2636	3602	3173	60	97	0	0	2	0	35	0	0	1	4	0	0	0	0	1	1	157	0	2	0	0	4	0	0	1
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	120	"AWI"	120	2706	3706	3247	78	87	1	0	16	1	62	0	0	0	2	0	1	1	0	0	0	105	0	2	2	0	5	0	0	3
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	130	"AWI"	130	2785	3808	3320	19	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	29	0	1	0	0	0	0	0	0
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	150	"AWI"	150	2939	4013	3466	22	0	0	2	2	3	0	0	1	0	0	0	0	0	0	0	0	38	0	17	3	0	0	0	0	0
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	170	"AWI"	170	3083	4198	3611	105	14	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	241	0	0	0	1	2	0	0	2
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	180	"AWI"	180	3158	4288	3686	58	149	0	0	4	1	49	0	0	0	1	0	0	0	0	0	0	164	0	12	0	0	6	0	0	2
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	195	"AWI"	195	3265	4407	3800	22	88	1	0	9	0	0	0	0	0	3	0	0	0	0	1	0	51	0	18	0	0	4	0	0	4
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	220	"AWI"	220	3435	4619	3986	53	96	0	0	20	0	47	0	0	0	4	0	0	0	0	0	0	150	0	0	0	0	9	0	0	5
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	230	"AWI"	230	3499	4711	4064	37	119	0	1	21	0	49	0	0	0	4	0	0	0	0	0	0	130	0	0	0	1	11	0	0	5
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	260	"AWI"	260	3709	4968	4284	42	238	1	0	1	0	116	1	0	0	11	0	0	0	0	0	0	83	0	7	0	0	10	0	0	5
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	270	"AWI"	270	3776	5066	4359	25	43	0	0	1	0	162	0	0	0	2	0	0	0	1	0	0	59	0	3	0	8	7	0	0	6
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	280	"AWI"	280	3889	5156	4455	37	160	0	0	6	1	103	0	0	0	1	0	0	0	1	0	0	46	0	10	0	1	9	0	0	5
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	300	"AWI"	300	4094	5376	4675	25	137	0	0	11	0	79	1	0	1	6	0	1	0	1	0	1	52	0	23	0	0	30	0	1	14
1122	1156	"Izylmet'evskaya Terrace Exposure 3410"	48.81667	141.96667	310	"AWI"	310	4168	5553	4794	26	99	0	0	12	0	111	0	0	1	33	0	3	0	2	0	0	51	0	3	0	0	29	2	0	16
