"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Cyperaceae"	"Elaeagnaceae"	"Elaeagnus"	"Ericales"	"Fabaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
970	1001	"Hail Lake"	60.03333	-129.01667	190	"AWI"	190	4373	5501	5099	3.03030303030303	0	0	0	0	3.03030303030303	0	63.6363636363636	0	0	0	0	3.03030303030303	0	0	0	0	0	0	0	6.06060606060606	0	0	12.1212121212121	0	0	0	0	0	0	0	0	0	0	0	0	0	6.06060606060606	0	0	0	0	0	0	0	3.03030303030303
970	1001	"Hail Lake"	60.03333	-129.01667	198	"AWI"	198	4906	5644	5364	3.57142857142857	0	0	0	0	0	0	64.2857142857143	0	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714	0	0	7.14285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8571428571429	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	206	"AWI"	206	5397	5867	5623	6.25	0	0	0	0	4.16666666666667	0	66.6666666666667	0	0	0	0	2.08333333333333	0	0	0	0	0	0	0	6.25	0	0	6.25	0	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0	4.16666666666667	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	214	"AWI"	214	5564	6381	5859	1.96078431372549	0	0	0	0	0	0	78.4313725490196	0	0	0	0	0	0	0	0	0	0	1.96078431372549	0	7.84313725490196	0	0	3.92156862745098	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88235294117647	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	218	"AWI"	218	5626	6461	5980	2.5	0	0	0	0	0	7.5	56.25	0	0	0	0	2.5	0	0	0	0	0	2.5	0	11.25	0	0	1.25	0	0	0	0	5	0	0	0	0	0	0	0	0	11.25	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	222	"AWI"	222	5671	6621	6090	0	0	0	0	0	2.38095238095238	0	70.2380952380952	0	0	0	0	2.38095238095238	0	0	0	0	0	0	0	17.8571428571429	0	0	0	0	0	0	0	1.19047619047619	0	0	0	0	0	0	0	0	4.76190476190476	0	0	0	1.19047619047619	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	226	"AWI"	226	5708	6829	6189	3.63636363636364	0	0	0	0	5.45454545454545	0	67.2727272727273	0	0	0	0	3.63636363636364	0	0	0	0	0	0	0	16.3636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63636363636364	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	230	"AWI"	230	5767	7014	6289	4.3010752688172	0	0	0	0	3.2258064516129	0	75.2688172043011	0	0	0	0	1.0752688172043	0	0	0	0	0	1.0752688172043	0	8.60215053763441	0	0	1.0752688172043	0	0	0	0	0	0	0	0	0	0	0	0	1.0752688172043	3.2258064516129	0	0	0	1.0752688172043	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	234	"AWI"	234	5867	7097	6410	1.61290322580645	0	0	0	0	9.67741935483871	0	70.9677419354839	0	0	0	0	0	0	0	0	0	0	1.61290322580645	0	11.2903225806452	0	0	0	0	0	0	0	3.2258064516129	0	0	0	0	0	0	0	0	1.61290322580645	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	238	"AWI"	238	5939	7207	6530	1.19047619047619	0	1.19047619047619	0	0	3.57142857142857	0	77.3809523809524	0	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714	0	0	0	0	0	0	0	2.38095238095238	0	0	0	0	0	0	0	0	5.95238095238095	0	0	0	1.19047619047619	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	242	"AWI"	242	5977	7365	6638	0	0	0	0	0	7.14285714285714	0	64.2857142857143	0	0	0	0	3.57142857142857	0	0	0	0	0	0	0	11.9047619047619	0	0	0	0	0	0	0	0	0	0	0	1.19047619047619	0	0	0	0	9.52380952380952	2.38095238095238	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	246	"AWI"	246	6023	7555	6745	0	0	0	0	0	4.54545454545455	0	66.3636363636364	0	0	0	0	5.45454545454545	0	0	0	0	0	0.909090909090909	0	8.18181818181818	0	0	0	0	0	0	0	2.72727272727273	0	0	0	0	0	0	0	0	10	0.909090909090909	0	0	0.909090909090909	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	254	"AWI"	254	6205	7732	6924	0.952380952380952	0	0	0	0	3.80952380952381	0	64.7619047619048	0	0	0.952380952380952	0	2.85714285714286	0	0	0	0	0	0	0	11.4285714285714	0	0	0	0.952380952380952	0	0	0	0	0	0	0	0	0	0	0.952380952380952	0	13.3333333333333	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	262	"AWI"	262	6318	7948	7105	0	0	0.847457627118644	0	0	4.23728813559322	0.847457627118644	62.7118644067797	0	0	0	0	2.54237288135593	0	0	0	0	0	0	0	21.1864406779661	0	0	0	0	0	0	0	0.847457627118644	0	0	0	0	0	0	0	0	6.77966101694915	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	270	"AWI"	270	6474	8114	7292	0	0	0	0	0	3.2258064516129	0	70.9677419354839	0	0	0	0	3.2258064516129	0	0	0	0	0	0.806451612903226	0	13.7096774193548	0	0	0	0	0	0	0	0.806451612903226	0	0	0	0	0	0	0	0	7.25806451612903	0	0	0	0	0	0	0	0
970	1001	"Hail Lake"	60.03333	-129.01667	278	"AWI"	278	6587	8328	7490	0	0	0	0	0	4.05405405405405	0	72.2972972972973	0	0	0	0	3.37837837837838	0	0	0	0	0	0.675675675675676	0	8.10810810810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.45945945945946	0	0	0	2.02702702702703	0	0	0	0
