"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Juglans"	"Larix"	"Oleaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Saxifragaceae"	"Tilia"	"Ulmus"
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	150	"AWI"	150	28679	31288	30096	0	0	0	0	0	4	0	0	1	0	0	6	0	8	3	10	3	0	1	56	0	0	9	5	0	0	2	6
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	160	"AWI"	160	29341	31833	30704	6	0	0	0	0	13	4	0	0	0	2	67	3	0	2	35	0	1	1	14	0	0	4	22	0	0	1	7
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	180	"AWI"	180	30745	32911	31947	5	1	0	0	0	8	2	0	0	0	1	29	0	0	0	12	0	0	1	29	0	0	3	9	0	0	0	3
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	225	"AWI"	225	33668	35616	34713	7	0	0	0	0	7	0	0	0	0	1	6	2	0	2	25	0	0	2	18	0	0	8	22	0	0	1	6
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	240	"AWI"	240	34593	36574	35626	0	0	0	0	0	1	0	0	0	0	1	14	0	0	0	18	0	0	0	53	0	0	12	7	0	3	0	10
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	275	"AWI"	275	36768	38743	37803	0	0	0	3	0	41	0	0	0	1	5	64	0	0	1	52	0	4	2	12	0	1	12	52	0	0	0	14
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	290	"AWI"	290	37737	39646	38721	0	0	6	0	0	10	2	0	2	0	0	31	0	5	2	0	0	0	0	48	0	0	0	0	1	1	1	0
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	300	"AWI"	300	38411	40227	39343	1	0	0	0	0	7	0	0	0	0	0	10	4	0	0	26	0	0	0	22	0	0	44	12	0	0	0	8
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	310	"AWI"	310	39070	40808	39954	3	0	0	0	0	10	5	0	0	0	1	2	1	0	1	47	0	0	0	52	0	2	29	18	0	0	0	5
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	320	"AWI"	320	39725	41373	40574	5	0	5	0	0	4	0	0	0	0	0	93	0	7	1	0	1	0	0	122	0	2	0	0	0	0	0	0
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	325	"AWI"	325	40075	41656	40884	2	0	0	0	0	4	0	0	0	0	0	25	1	0	0	25	0	2	0	16	0	0	20	15	0	0	2	15
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	350	"AWI"	350	41911	43013	42413	2	0	0	2	0	9	7	0	0	0	1	18	8	0	3	43	0	1	0	23	0	3	80	26	0	0	1	20
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	360	"AWI"	360	42578	43691	43009	2	0	18	0	0	4	1	0	0	0	0	109	0	4	5	0	2	0	0	72	0	0	0	0	3	1	0	0
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	380	"AWI"	380	43508	45178	44223	2	0	7	0	1	0	2	0	1	0	0	82	0	2	0	0	1	0	0	84	0	1	0	0	1	2	1	0
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	210	"AWI"	210	32718	34558	33793	5	0	0	0	0	3	0	0	0	0	0	23	2	0	0	5	0	0	0	13	0	0	2	9	0	0	0	11
293	299	"Bolotnyii Stream Exposure 117"	42.85	132.78333	355	"AWI"	355	42358	43286	42711	6	0	0	0	0	4	1	0	0	0	0	66	0	5	0	0	0	0	0	60	0	0	0	0	0	3	0	0
