"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Lamiaceae"	"Malvaceae"	"Onagraceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Rosaceae"	"Salix"	"Saxifragaceae"	"Thalictrum"
1405	1442	"Kargopolovo Exposure"	55	83	50	"AWI"	50	-66	288	65	3	0	21	0	135	0	24	0	0	10	4	0	0	5	6	4	102	10	6	6	6	6	0
1405	1442	"Kargopolovo Exposure"	55	83	75	"AWI"	75	-28	405	136	4	2	19	4	48	2	110	16	0	8	0	0	0	40	0	11	154	10	0	0	10	0	8
1405	1442	"Kargopolovo Exposure"	55	83	100	"AWI"	100	28	494	214	2	0	30	4	80	1	74	2	1	4	6	0	0	50	1	1	73	2	0	0	0	2	2
1405	1442	"Kargopolovo Exposure"	55	83	150	"AWI"	150	138	684	362	2	0	14	2	30	6	195	0	0	0	0	3	0	0	0	3	96	12	0	0	2	0	14
1405	1442	"Kargopolovo Exposure"	55	83	180	"AWI"	180	219	785	451	0	0	12	5	36	6	161	0	0	0	0	6	0	0	0	0	75	12	0	0	12	0	30
1405	1442	"Kargopolovo Exposure"	55	83	200	"AWI"	200	296	844	505	0	0	24	0	44	2	124	0	0	0	0	2	0	0	0	8	30	6	0	0	0	0	12
1405	1442	"Kargopolovo Exposure"	55	83	250	"AWI"	250	518	1045	686	0	2	12	1	24	14	60	3	5	12	2	0	0	0	0	1	192	6	1	2	20	0	1
1405	1442	"Kargopolovo Exposure"	55	83	300	"AWI"	300	1031	1406	1227	0	0	6	1	10	5	80	6	2	5	0	0	0	0	0	0	180	5	0	0	0	0	2
1405	1442	"Kargopolovo Exposure"	55	83	310	"AWI"	310	1282	1570	1400	0	10	3	1	28	3	126	2	0	3	0	3	0	0	0	9	84	6	3	0	11	2	1
1405	1442	"Kargopolovo Exposure"	55	83	350	"AWI"	350	1618	3208	2228	0	0	2	0	8	5	135	2	0	1	0	0	0	0	0	2	165	2	0	0	1	0	1
1405	1442	"Kargopolovo Exposure"	55	83	370	"AWI"	370	1788	4351	2654	1	0	84	2	20	0	180	0	0	2	0	0	4	0	0	0	165	1	0	0	2	0	2
1405	1442	"Kargopolovo Exposure"	55	83	410	"AWI"	410	2398	5626	3700	0	0	3	2	12	0	205	0	0	4	0	0	4	0	0	0	155	4	0	0	0	0	0
1405	1442	"Kargopolovo Exposure"	55	83	430	"AWI"	430	2715	6061	4253	0	0	0	0	12	0	117	0	0	6	0	0	0	0	0	0	63	6	10	0	0	0	6
1405	1442	"Kargopolovo Exposure"	55	83	450	"AWI"	450	3096	6577	4763	0	0	16	1	20	3	120	0	3	2	0	0	2	0	1	0	80	4	0	0	0	5	2
1405	1442	"Kargopolovo Exposure"	55	83	500	"AWI"	500	4250	7522	6038	0	0	15	0	20	20	90	0	0	5	0	0	0	0	0	12	75	5	0	0	3	10	5
1405	1442	"Kargopolovo Exposure"	55	83	550	"AWI"	550	5830	8535	7270	0	0	25	0	15	15	105	0	2	7	0	0	1	0	0	10	88	6	0	0	3	0	10
