"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Betula"	"Cyperaceae"	"Ericales"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Salix"
783	803	"Ennadai Lake"	61.16667	-100.91667	0	"AWI"	0	-149	30	-63	94	0	1	47	1	273	132	216	141	1	1
783	803	"Ennadai Lake"	61.16667	-100.91667	5	"AWI"	5	-85	677	-15	54	0	1	47	1	122	129	190	115	1	0
783	803	"Ennadai Lake"	61.16667	-100.91667	10	"AWI"	10	3	949	566	59	10	1	20	0	295	89	404	54	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	15	"AWI"	15	224	1142	793	113	0	1	47	1	113	66	473	104	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	20	"AWI"	20	705	1304	1039	45	0	5	10	0	45	30	308	25	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	25	"AWI"	25	863	1370	1131	76	0	0	10	0	86	95	447	276	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	30	"AWI"	30	1034	1441	1215	39	0	0	0	0	106	34	763	56	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	35	"AWI"	35	1158	1507	1273	13	0	0	30	0	162	85	359	214	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	40	"AWI"	40	1280	2224	1578	19	0	0	0	0	86	14	784	76	1	0
783	803	"Ennadai Lake"	61.16667	-100.91667	45	"AWI"	45	1454	2549	1956	49	0	0	33	0	25	8	131	123	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	50	"AWI"	50	1752	2766	2305	18	0	0	15	0	22	7	225	73	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	55	"AWI"	55	2314	2949	2658	120	9	1	28	0	37	18	499	222	0	18
783	803	"Ennadai Lake"	61.16667	-100.91667	60	"AWI"	60	2465	3197	2849	192	0	0	9	0	64	201	339	119	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	65	"AWI"	65	2650	3378	3033	46	0	0	27	0	7	7	228	44	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	70	"AWI"	70	2901	3551	3234	130	0	0	4	0	24	12	162	55	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	75	"AWI"	75	3129	3763	3441	60	13	7	7	0	13	40	440	87	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	80	"AWI"	80	3299	4048	3649	22	0	0	10	0	30	33	166	73	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	85	"AWI"	85	3510	4266	3872	103	0	1	37	0	103	112	439	177	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	90	"AWI"	90	3796	4500	4102	58	0	1	8	0	37	41	600	82	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	95	"AWI"	95	4009	5045	4472	219	0	0	9	0	55	55	425	142	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	100	"AWI"	100	4278	5339	4826	95	0	0	7	0	26	129	552	86	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	105	"AWI"	105	4622	5553	5201	175	0	1	25	0	29	75	408	104	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	110	"AWI"	110	5120	5790	5532	170	0	1	20	0	10	35	659	71	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	115	"AWI"	115	5324	6093	5728	153	0	1	19	0	9	28	631	65	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	120	"AWI"	120	5540	6269	5944	85	0	0	17	0	85	60	607	51	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	125	"AWI"	125	5782	6416	6160	177	0	0	17	0	17	78	493	69	0	1
783	803	"Ennadai Lake"	61.16667	-100.91667	130	"AWI"	130	6141	6544	6345	133	0	0	14	0	10	33	238	19	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	135	"AWI"	135	6254	6713	6460	133	0	1	14	1	38	11	238	19	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	140	"AWI"	140	6347	6879	6565	109	0	0	0	0	94	50	241	10	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	145	"AWI"	145	6434	7037	6672	81	0	0	25	0	20	15	254	18	0	0
783	803	"Ennadai Lake"	61.16667	-100.91667	150	"AWI"	150	6535	7210	6790	126	0	0	20	0	16	39	161	8	0	0
