"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Urticaceae"
495	507	"Coppermine Saddleback"	67.83333	-115.31667	0	"AWI"	0	-148	16	-69	0	68	0	9	0	114	0	0	0	0	28	0	110	0	0	9	33	0	0	27	0	0	2	0	130	0	1
495	507	"Coppermine Saddleback"	67.83333	-115.31667	2.5	"AWI"	2.5	-68.5	129.5	26	1	50	0	3	0	100	0	0	1	0	18	0	360	9	0	14	19	0	1	23	0	0	0	0	119	0	1
495	507	"Coppermine Saddleback"	67.83333	-115.31667	5	"AWI"	5	-25	306	121	0	9	0	4	0	22	0	0	0	0	4	0	310	3	0	5	7	0	0	10	0	4	0	1	29	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	7.5	"AWI"	7.5	3.5	496.5	215.5	0	34	0	1	0	46	1	0	0	1	3	0	577	2	0	4	9	0	0	11	0	1	0	0	260	0	2
495	507	"Coppermine Saddleback"	67.83333	-115.31667	10	"AWI"	10	27	683	309	0	12	1	3	0	11	0	0	0	0	5	0	20	1	4	5	1	0	0	17	0	2	0	0	40	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	12.5	"AWI"	12.5	264.5	914	590.5	0	14	0	4	0	7	0	0	0	0	10	0	18	2	0	4	8	1	1	29	0	6	0	0	308	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	15	"AWI"	15	408	1235	890	0	9	0	1	0	20	0	0	0	0	4	0	9	0	0	5	4	0	0	6	0	0	3	0	39	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	17.5	"AWI"	17.5	517.5	1615.5	1186.5	1	48	1	1	0	66	0	0	0	0	11	0	46	9	0	13	16	0	3	27	1	2	0	0	173	0	4
495	507	"Coppermine Saddleback"	67.83333	-115.31667	20	"AWI"	20	601	2024	1476	0	8	0	1	0	40	0	0	0	0	4	0	9	4	0	1	4	0	0	3	0	0	0	0	28	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	22.5	"AWI"	22.5	963.5	2070	1618.5	0	30	0	0	0	206	0	1	0	0	12	0	27	4	0	9	9	0	0	11	0	1	0	0	168	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	25	"AWI"	25	1269	2133	1766	0	25	0	1	0	222	0	1	0	0	6	0	60	6	0	17	7	0	0	7	0	0	0	0	80	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	27.5	"AWI"	27.5	1461.5	2249.5	1927.5	0	20	0	1	0	281	1	0	0	1	12	0	21	3	0	4	5	0	0	5	0	4	0	0	59	0	5
495	507	"Coppermine Saddleback"	67.83333	-115.31667	30	"AWI"	30	1586	2474	2077	0	30	0	0	0	247	0	0	0	0	6	0	56	7	0	9	5	0	0	5	0	0	0	0	77	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	32.5	"AWI"	32.5	1652.5	2520	2130.5	0	18	0	0	0	251	1	1	0	0	11	0	34	12	0	3	3	0	0	5	0	0	0	0	75	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	35	"AWI"	35	1705	2583	2183	0	28	0	1	0	240	0	0	0	0	9	0	28	20	0	7	5	0	0	4	0	0	0	0	64	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	37.5	"AWI"	37.5	1754	2659.5	2232	0	17	0	0	0	245	0	0	0	0	5	0	29	22	1	4	2	0	0	4	0	0	0	0	72	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	40	"AWI"	40	1786	2761	2281	0	36	0	0	0	264	0	0	0	0	12	1	38	2	0	5	3	0	0	12	0	0	0	0	62	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	42.5	"AWI"	42.5	1842.5	2803	2338	0	27	2	1	0	245	0	0	0	0	1	0	27	18	0	5	2	0	0	2	0	0	0	0	64	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	45	"AWI"	45	1896	2851	2396	0	23	0	1	0	255	0	2	0	0	8	0	40	8	0	4	3	0	0	7	0	0	0	0	69	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	47.5	"AWI"	47.5	1941.5	2913.5	2453.5	0	27	0	0	0	260	0	1	0	0	7	0	17	10	0	2	1	0	0	5	0	1	0	0	72	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	50	"AWI"	50	1980	2993	2507	0	25	0	1	0	268	0	0	0	0	10	0	51	5	0	2	2	0	0	8	0	0	0	0	71	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	52.5	"AWI"	52.5	2058	3027.5	2563	0	23	0	0	0	248	1	1	0	0	10	0	34	18	0	3	3	0	0	4	0	0	0	0	71	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	55	"AWI"	55	2127	3070	2621	0	20	0	0	0	266	0	0	0	0	7	0	39	10	0	4	3	0	0	10	0	0	0	0	55	0	0
495	507	"Coppermine Saddleback"	67.83333	-115.31667	57.5	"AWI"	57.5	2181	3120	2682	0	19	0	0	0	258	0	0	0	0	10	0	28	5	0	3	3	0	0	6	0	0	0	0	82	0	0
