"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Carya"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rubiaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
1540	1580	"Lake Sixteen"	45.6	-84.31667	67	"AWI"	67	1543	2924	2345	1	17	5	1	0	1	0	34	0	1	0	16	1	0	28	0	0	11	0	5	0	4	12	243	0	2	0	6	0	1	0	1	65	10
1540	1580	"Lake Sixteen"	45.6	-84.31667	70	"AWI"	70	1623	3035	2442	2	0	3	0	0	1	0	35	0	1	1	25	1	0	13	0	0	8	0	4	0	1	11	326	0	1	0	11	0	0	0	0	56	12
1540	1580	"Lake Sixteen"	45.6	-84.31667	75	"AWI"	75	1896	3103	2618	2	0	7	1	0	4	0	41	0	0	0	12	3	0	21	0	0	7	0	3	0	7	7	297	0	1	1	10	0	0	0	0	34	4
1540	1580	"Lake Sixteen"	45.6	-84.31667	80	"AWI"	80	2038	3217	2802	1	10	4	0	0	2	0	39	0	1	0	22	1	0	14	0	0	10	0	3	0	4	11	350	0	2	2	14	0	0	0	1	38	6
1540	1580	"Lake Sixteen"	45.6	-84.31667	85	"AWI"	85	2523	3265	2955	2	0	6	1	0	3	0	40	0	0	0	20	1	0	14	3	1	5	0	5	0	1	4	322	0	3	0	12	0	1	0	0	26	5
1540	1580	"Lake Sixteen"	45.6	-84.31667	90	"AWI"	90	2795	3374	3133	2	0	5	1	1	3	0	50	0	0	0	25	5	0	19	3	0	12	0	11	0	6	1	320	0	1	0	7	0	1	0	1	29	10
1540	1580	"Lake Sixteen"	45.6	-84.31667	95	"AWI"	95	3018	3569	3305	2	0	7	0	0	2	0	27	0	3	1	21	1	0	10	0	0	11	0	1	0	3	6	384	2	1	0	13	0	0	0	0	15	8
1540	1580	"Lake Sixteen"	45.6	-84.31667	100	"AWI"	100	3089	4016	3446	1	7	4	2	0	1	0	25	0	0	0	17	1	0	8	3	0	6	0	2	0	7	4	355	0	1	0	16	0	0	0	2	8	10
1540	1580	"Lake Sixteen"	45.6	-84.31667	105	"AWI"	105	3219	4185	3614	3	0	4	0	0	0	0	31	0	1	0	17	4	0	11	0	0	8	0	4	0	8	4	377	2	0	0	16	0	0	0	0	5	7
1540	1580	"Lake Sixteen"	45.6	-84.31667	110	"AWI"	110	3285	4473	3776	2	0	2	0	0	1	0	19	0	2	1	18	2	0	2	0	0	10	0	0	0	7	8	386	0	0	0	10	0	1	0	1	4	12
