"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Larix"	"Myrica"	"Picea"	"Pinus"	"Poaceae"	"Salix"
1629	1684	"Lynn Lake"	56.84167	-101.04194	0	"AWI"	0	-142	22	-63	308	1	7	0	121	0	65	0	1	28	168	205	0	1
1629	1684	"Lynn Lake"	56.84167	-101.04194	5	"AWI"	5	-18	1107	415	440	0	10	0	108	0	29	10	1	0	78	205	29	1
1629	1684	"Lynn Lake"	56.84167	-101.04194	10	"AWI"	10	321	1401	986	57	1	0	0	57	0	114	19	19	0	162	333	10	0
1629	1684	"Lynn Lake"	56.84167	-101.04194	15	"AWI"	15	1310	1541	1418	67	0	19	0	38	0	238	10	1	10	209	333	10	0
1629	1684	"Lynn Lake"	56.84167	-101.04194	20	"AWI"	20	1389	1952	1605	209	0	19	0	48	0	314	10	0	1	105	171	10	10
1629	1684	"Lynn Lake"	56.84167	-101.04194	25	"AWI"	25	1521	2201	1825	91	0	0	0	58	0	362	1	0	1	107	231	1	8
1629	1684	"Lynn Lake"	56.84167	-101.04194	27.5	"AWI"	27.5	1635	2276.5	1929.5	72	0	9	0	452	0	27	18	0	18	90	172	1	27
1629	1684	"Lynn Lake"	56.84167	-101.04194	30	"AWI"	30	1700	2415	2035	56	0	1	0	380	0	94	1	0	19	75	197	9	66
1629	1684	"Lynn Lake"	56.84167	-101.04194	40	"AWI"	40	2200	3904	2748	116	0	8	0	208	0	46	23	0	62	116	146	6	15
1629	1684	"Lynn Lake"	56.84167	-101.04194	45	"AWI"	45	2488	4447	3297	94	1	8	0	224	0	78	16	0	31	141	180	6	16
1629	1684	"Lynn Lake"	56.84167	-101.04194	50	"AWI"	50	2909	4949	3881	192	0	9	0	183	0	70	9	0	44	175	183	9	9
1629	1684	"Lynn Lake"	56.84167	-101.04194	55	"AWI"	55	3433	5314	4459	81	0	12	0	60	0	226	12	0	8	242	177	12	0
1629	1684	"Lynn Lake"	56.84167	-101.04194	58	"AWI"	58	3899	5460	4796	93	0	163	0	7	0	147	8	0	16	233	225	0	8
1629	1684	"Lynn Lake"	56.84167	-101.04194	60	"AWI"	60	4091	5626	5025	113	12	16	0	65	0	89	12	0	16	251	259	0	8
1629	1684	"Lynn Lake"	56.84167	-101.04194	63	"AWI"	63	4710	5716	5324	215	1	33	0	132	0	50	0	1	124	190	124	0	17
1629	1684	"Lynn Lake"	56.84167	-101.04194	65	"AWI"	65	4969	5851	5553	213	4	8	16	129	0	38	0	0	38	182	137	0	15
1629	1684	"Lynn Lake"	56.84167	-101.04194	70	"AWI"	70	5627	6031	5818	207	8	8	0	154	0	31	0	0	54	215	77	0	8
1629	1684	"Lynn Lake"	56.84167	-101.04194	75	"AWI"	75	5697	6204	5926	321	1	9	20	175	0	38	0	0	28	265	95	0	19
1629	1684	"Lynn Lake"	56.84167	-101.04194	80	"AWI"	80	5779	6331	6037	324	16	21	0	240	0	21	0	0	10	178	115	0	21
1629	1684	"Lynn Lake"	56.84167	-101.04194	85	"AWI"	85	5861	6453	6144	314	10	29	0	233	0	19	0	0	14	247	114	0	1
1629	1684	"Lynn Lake"	56.84167	-101.04194	90	"AWI"	90	5963	6595	6260	438	1	1	0	158	0	19	0	0	19	270	75	0	9
1629	1684	"Lynn Lake"	56.84167	-101.04194	95	"AWI"	95	6060	6708	6374	249	1	17	2	175	0	46	1	0	28	222	166	1	9
1629	1684	"Lynn Lake"	56.84167	-101.04194	100	"AWI"	100	6169	6811	6487	376	0	1	0	203	1	10	0	0	39	270	48	19	5
1629	1684	"Lynn Lake"	56.84167	-101.04194	105	"AWI"	105	6291	6905	6601	398	1	15	0	185	0	1	1	0	19	301	39	1	19
1629	1684	"Lynn Lake"	56.84167	-101.04194	110	"AWI"	110	6422	7008	6713	319	1	10	20	155	0	5	0	0	58	329	87	1	10
1629	1684	"Lynn Lake"	56.84167	-101.04194	115	"AWI"	115	6554	7088	6823	388	10	18	0	189	0	5	0	0	50	234	80	10	5
1629	1684	"Lynn Lake"	56.84167	-101.04194	120	"AWI"	120	6730	7174	6930	306	19	19	0	191	0	29	1	0	10	162	220	1	29
1629	1684	"Lynn Lake"	56.84167	-101.04194	125	"AWI"	125	6853	7390	7102	369	10	10	2	189	0	10	0	0	40	249	80	20	1
1629	1684	"Lynn Lake"	56.84167	-101.04194	130	"AWI"	130	6988	7582	7281	397	10	31	0	142	0	20	1	0	71	244	20	15	31
1629	1684	"Lynn Lake"	56.84167	-101.04194	135	"AWI"	135	7189	7729	7453	384	10	20	0	167	0	20	0	0	39	227	79	10	15
1629	1684	"Lynn Lake"	56.84167	-101.04194	140	"AWI"	140	7330	8285	7662	429	26	1	0	153	1	1	0	0	112	215	41	10	10
