"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Carya"	"Caryophyllaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Populus"	"Quercus"	"Rhamnus"	"Rhus"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
205	205	"Andrus Lake"	46.701316	-85.03964	0.25	"AWI"	0.25	-36.75	-31.5	-34.25	4	0	3	2	0	0	13	22	0	0	0	3	1	0	1	0	0	2	1	1	0	0	0	13	167	0	2	1	6	1	0	0	1	0	0	2	2
205	205	"Andrus Lake"	46.701316	-85.03964	3.25	"AWI"	3.25	-25	-20.75	-23	3	0	0	0	0	3	0	33	0	0	1	17	2	1	0	0	0	1	0	0	0	0	2	11	147	0	5	2	11	0	1	0	0	1	1	6	2
205	205	"Andrus Lake"	46.701316	-85.03964	6.25	"AWI"	6.25	-9	-2.25	-6	5	0	8	0	0	1	18	48	0	0	0	8	1	0	3	0	0	3	1	0	0	0	0	27	177	0	1	7	11	0	0	0	2	0	0	4	5
205	205	"Andrus Lake"	46.701316	-85.03964	10.25	"AWI"	10.25	24	31.75	27.75	4	0	4	1	0	3	16	44	1	0	1	20	0	0	2	5	1	2	0	0	1	0	0	11	108	0	3	3	10	0	0	0	0	0	0	4	2
205	205	"Andrus Lake"	46.701316	-85.03964	10.75	"AWI"	10.75	28	35.25	31.25	4	0	6	0	0	2	8	41	1	1	0	17	2	0	4	0	0	2	2	0	1	0	6	18	94	0	2	2	11	0	0	0	2	0	0	6	5
205	205	"Andrus Lake"	46.701316	-85.03964	11.25	"AWI"	11.25	31.25	38.5	34.5	0	0	5	0	1	2	13	54	0	0	1	13	2	0	4	0	0	1	2	0	0	0	0	20	119	0	3	1	18	0	0	0	1	0	0	3	3
205	205	"Andrus Lake"	46.701316	-85.03964	11.75	"AWI"	11.75	33.75	41.5	37.5	1	0	1	0	0	1	10	50	0	0	0	14	5	0	5	2	0	0	0	0	1	0	3	7	101	0	1	1	15	0	0	0	0	1	0	5	0
205	205	"Andrus Lake"	46.701316	-85.03964	12.25	"AWI"	12.25	36.25	44	40.25	1	0	4	0	0	4	0	53	0	0	1	16	0	1	3	0	0	0	0	0	1	0	2	17	109	0	0	0	17	0	0	0	1	0	0	4	3
205	205	"Andrus Lake"	46.701316	-85.03964	15.25	"AWI"	15.25	46.75	55.5	50.75	1	0	1	1	0	3	0	41	1	0	1	8	1	0	3	2	2	0	0	0	2	1	3	12	130	1	3	4	14	0	1	0	0	0	0	13	4
205	205	"Andrus Lake"	46.701316	-85.03964	16.75	"AWI"	16.75	51.25	59.25	55.25	1	0	3	0	0	2	0	29	1	0	0	26	1	0	2	3	1	2	0	1	1	0	2	16	139	1	5	2	13	0	0	0	0	0	0	8	7
205	205	"Andrus Lake"	46.701316	-85.03964	18.25	"AWI"	18.25	55.75	64.75	59.75	1	0	4	0	0	6	0	59	0	0	1	17	5	0	3	0	0	2	0	0	2	0	3	17	122	0	3	0	12	0	0	0	0	0	0	7	1
205	205	"Andrus Lake"	46.701316	-85.03964	25.25	"AWI"	25.25	79	91.25	85	1	0	1	0	0	3	0	41	0	0	0	19	2	0	7	0	0	1	0	0	1	0	2	22	106	2	2	2	11	0	0	1	0	0	0	9	1
205	205	"Andrus Lake"	46.701316	-85.03964	40.5	"AWI"	40.5	137	181	156.5	3	0	8	1	0	1	0	59	0	0	0	14	1	1	4	6	0	1	0	0	4	0	0	14	162	2	3	4	9	0	0	0	1	0	0	7	1
