"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Ostrya.Carpinus"	"Phellodendron"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	110	"AWI"	110	623	1175	913	0	0	5	8	3	3	0	0	3	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	44	0	0	0	1	99	0	0	0	2
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	120	"AWI"	120	830	1236	1025	21	0	1	5	1	2	0	0	1	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	8	0	0	4	3	0	0	0	0	2
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	320	"AWI"	320	6229	7171	6709	30	123	15	0	34	7	252	13	1	3	17	0	0	0	0	2	0	0	0	0	1	0	0	0	9	0	0	140	14	26	5	0	0	45
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	340	"AWI"	340	6352	7643	6901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	380	"AWI"	380	6551	8342	7243	22	78	2	2	7	1	0	2	0	3	7	0	0	0	0	0	0	0	0	0	0	0	20	0	5	0	0	11	4	17	0	1	1	3
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	400	"AWI"	400	6693	8604	7433	50	64	1	5	7	6	0	0	0	8	1	0	2	0	0	1	0	0	0	0	0	0	0	0	5	0	1	26	6	0	0	2	0	6
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	420	"AWI"	420	6794	8904	7622	13	65	0	2	4	2	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	24	2	0	0	0	0	4
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	440	"AWI"	440	6901	9229	7804	17	27	1	1	5	6	0	0	0	3	9	0	3	0	4	2	3	0	0	0	1	0	0	0	7	0	1	56	1	5	1	0	1	10
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	460	"AWI"	460	7034	9479	7999	14	32	3	0	6	4	0	2	0	4	8	0	15	0	0	1	0	0	0	0	0	0	0	0	2	0	1	30	11	0	0	0	0	13
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	480	"AWI"	480	7118	9818	8183	2	10	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	1	0	1	2
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	540	"AWI"	540	7562	10505	8761	10	37	0	1	4	1	0	0	0	0	6	0	15	0	0	0	0	0	0	0	0	0	0	0	6	0	0	27	4	0	0	0	0	8
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	560	"AWI"	560	7683	10733	8953	5	28	1	3	14	5	80	1	0	0	26	0	110	0	0	3	0	0	0	0	1	0	30	0	10	0	3	21	3	8	0	0	0	3
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	640	"AWI"	640	8251	11632	9701	3	29	1	1	10	4	132	4	0	3	5	0	39	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22	9	0	0	0	0	11
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	700	"AWI"	700	8702	12311	10280	4	46	0	1	7	5	126	5	0	7	28	1	100	0	0	4	0	1	0	0	0	0	36	0	11	0	0	60	7	7	0	4	0	9
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	720	"AWI"	720	8825	12569	10473	2	45	0	2	8	7	164	7	2	0	33	0	45	0	0	2	0	0	0	0	0	0	12	0	40	2	1	26	2	5	1	0	0	5
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	760	"AWI"	760	9157	13023	10874	2	17	0	0	6	6	0	0	0	2	10	0	33	0	0	0	0	0	0	0	0	0	0	0	7	0	0	17	0	0	0	0	0	8
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	800	"AWI"	800	9466	13388	11279	1	28	3	0	16	5	85	0	1	1	15	0	150	0	0	2	0	0	0	0	0	0	21	0	6	0	3	25	7	6	0	0	0	9
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	880	"AWI"	880	10162	14248	12039	10	98	0	3	17	6	198	1	0	7	100	0	119	0	0	3	0	1	0	0	0	1	24	0	31	0	2	36	9	5	0	3	0	5
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	900	"AWI"	900	10336	14462	12229	2	46	2	1	1	7	0	6	1	3	6	0	80	0	0	3	0	0	0	0	0	0	0	0	4	0	3	0	16	7	0	3	0	3
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	1340	"AWI"	1340	14208	18791	16419	1	139	1	2	2	5	0	7	0	0	2	0	6	0	0	0	0	1	0	0	0	0	0	15	1	0	3	0	3	0	0	0	0	0
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	1400	"AWI"	1400	14771	19337	17008	0	109	1	1	0	11	0	4	1	2	44	0	17	0	0	0	14	0	1	0	0	0	0	0	10	2	0	0	3	0	0	0	0	0
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	1440	"AWI"	1440	15154	19735	17389	70	186	1	8	22	19	62	12	0	0	32	0	2	0	0	1	0	1	0	0	0	0	146	0	44	0	0	17	13	25	0	1	0	4
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	130	"AWI"	130	932	1375	1144	64	13	0	0	6	3	0	0	51	0	0	0	2	332	0	0	0	0	0	1	0	1	69	0	19	0	0	3	3	0	0	0	1	1
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	140	"AWI"	140	988	1606	1253	28	2	0	0	1	1	0	0	0	0	4	0	0	117	0	0	0	0	0	0	0	0	0	0	8	0	0	2	6	0	0	0	1	0
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	170	"AWI"	170	1402	3034	2153	18	6	0	0	2	6	0	0	2	0	2	0	0	126	0	0	0	0	0	2	0	0	0	0	4	0	0	4	2	0	0	0	0	0
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	200	"AWI"	200	2293	4509	3293	35	48	7	3	5	7	0	0	0	7	6	0	0	533	0	1	0	0	0	4	0	0	34	0	11	0	0	33	17	10	0	0	1	3
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	240	"AWI"	240	4718	6086	5440	16	37	15	0	5	5	0	0	0	0	1	0	1	465	0	0	0	0	0	3	0	0	27	0	2	0	14	31	10	0	0	0	0	3
1680	1736	"Mereya River, Lagoon Terrace Exposure S4000(30)"	46.61667	142.91667	260	"AWI"	260	5303	6273	5815	27	72	3	5	5	7	0	0	0	0	4	1	3	0	0	0	0	0	2	0	0	0	0	0	10	0	1	27	4	16	0	0	1	3
