"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Carya"	"Caryophyllaceae"	"Ceanothus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Rhus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sarcobataceae"	"Thalictrum"	"Thuja"	"Ulmus"	"Urticaceae"
266	272	"Big John Pond"	47.558974	-94.971068	0	"AWI"	0	-121	37	-38	1	0	0	2	5	0	5	0	1	0	0	4	47	0	0	0	11	0	0	1	2	3.5	123	0	10	0	3	3	1	0	0	1	0	0	1	0	0
266	272	"Big John Pond"	47.558974	-94.971068	15	"AWI"	15	11	317	152	4.5	0	7	4	4	0	12	0	0	0	0	0	59.5	0	0	0	16	0	0	0	1	8	155	0	0	0	2	5	0	1	0	3	0	1	1	2	0
266	272	"Big John Pond"	47.558974	-94.971068	20	"AWI"	20	44	439	226	0	0	9	3	1	0	11	0	0	1	0	4	53	0	0	0	6.5	0	0	2	1	7	192.5	1	0	0	1	8	0	0	0	2	1	0	0	3	0
266	272	"Big John Pond"	47.558974	-94.971068	40	"AWI"	40	302	1065	675	1	0	10	2	6	0	10	0	0	0	0	0	40.5	0	0	0	10	0	0	1	1	6	164.5	0	0	0	2	3	0	0	0	3	0	0	0	1	0
266	272	"Big John Pond"	47.558974	-94.971068	50	"AWI"	50	527	1235	924	3.5	0	9	0	3	0	19	0	0	0	0	6	60	0	0	0	8	0	0	1	1	9.5	235	0	0	2	1	6	0	0	0	0	1	0	1	2	0
266	272	"Big John Pond"	47.558974	-94.971068	65	"AWI"	65	1071	1566	1311	0.5	0	8	1	7	0	15	1	0	0	0	2	74	0	0	0	16.5	0	0	4	4	12.5	143.5	0	0	0	3	11	0	0	0	2	0	1	2	0	0
266	272	"Big John Pond"	47.558974	-94.971068	90	"AWI"	90	1548	2865	2148	1.5	0	13	4	8	0	26	0	0	0	0	5	85	0	0	0	19.5	0	0	1	11	7.5	151.5	0	0	0	9	23	0	0	0	2	0	1	1	1	0
266	272	"Big John Pond"	47.558974	-94.971068	105	"AWI"	105	2040	3263	2696	2	0	11	3	13	0	24	0	0	0	0	1	67	0	0	7	28	0	1	2	7	6	72.5	0	0	0	6	37	0	0	0	2	1	0	2	1	0
266	272	"Big John Pond"	47.558974	-94.971068	115	"AWI"	115	2429	3493	3050	0	0	18	0	22.5	0	36	0	0	0	1	1	92	0	0	0	21	1	0	1	11	3	100.5	0	0	1	6	40	1	0	0	6	0	0	0	4	1
266	272	"Big John Pond"	47.558974	-94.971068	125	"AWI"	125	2989	3703	3380	1.5	0	11	9	23	0	24	0	0	0	0	3	172	0	0	0	20.5	0	1	0	3	2.5	53.5	0	0	0	9	23	0	0	1	3	0	0	0	1	0
266	272	"Big John Pond"	47.558974	-94.971068	145	"AWI"	145	3553	4666	3975	0	0	9	4	28	0	10	0	0	1	0	0	162	0	0	3	20	0	0	1	3	4	41.5	0	0	2	2	10	0	0	0	0	0	1	0	4	0
266	272	"Big John Pond"	47.558974	-94.971068	200	"AWI"	200	4791	6736	5725	0.5	0	4	6	43	0	7	0	0	1	0	2	170	1	0	0	29	0	2	0	5	2.5	41	0	0	0	7	28	0	0	0	2	0	0	0	1	0
