"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alchornea"	"Anacardium"	"Arecaceae"	"Asteraceae"	"Byrsonima"	"Cannabaceae"	"Cecropia"	"Celtis"	"Chrysophyllum"	"Combretaceae"	"Copaifera"	"Cyperaceae"	"Didymopanax"	"Dilleniaceae"	"Euphorbiaceae"	"Fabaceae"	"Indeterminable"	"Loranthaceae"	"Luehea"	"Malpighiaceae"	"Myrsine"	"Myrtaceae"	"Nyctaginaceae"	"Peraceae"	"Petiveriaceae"	"Piper"	"Poaceae"	"Protium"	"Pseudobombax"	"Psychotria"	"Pteridophyta (monolete, psilate, <50 µm)"	"Schinus"	"Spirotheca"
1575	1621	"Lago do Pires"	-17.95	-42.21667	515	"AWI"	515	2304	2899	2585	15	8	5	6	6	89	104	5	1	17	2	6	0	0	37	12	32	0	0	1	20	10	1	3	3	10	25	3	0	0	1	13	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	535	"AWI"	535	2426	2996	2685	16	3	3	4	5	82	178	9	2	11	8	7	0	1	18	13	35	0	0	4	13	18	0	1	4	7	20	1	0	0	0	5	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	555	"AWI"	555	2565	3089	2783	29	3	6	11	6	103	63	12	2	11	15	11	2	2	43	12	35	0	0	7	18	11	3	2	2	5	27	4	1	0	2	5	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	575	"AWI"	575	2717	3183	2883	11	5	1	5	8	96	126	10	1	14	9	11	0	1	34	12	32	0	0	4	7	12	0	7	2	2	22	6	0	0	0	5	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	597	"AWI"	597	2820	3336	3014	17	17	9	24	8	61	52	8	2	31	16	18	0	0	37	15	39	0	0	4	17	7	0	0	0	2	70	4	0	0	1	24	2
1575	1621	"Lago do Pires"	-17.95	-42.21667	615	"AWI"	615	2899	3473	3128	19	9	9	18	8	50	68	5	0	22	8	18	3	0	25	13	31	1	0	1	19	13	0	11	0	6	38	5	0	0	4	17	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	635	"AWI"	635	2985	3621	3254	19	10	7	15	5	63	88	8	1	29	11	17	2	0	23	6	43	1	0	4	12	11	0	2	1	8	45	2	0	0	1	19	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	655	"AWI"	655	3081	3765	3378	20	8	9	10	6	78	85	14	0	22	13	11	3	1	45	16	31	0	0	3	22	14	0	7	1	10	38	0	1	0	0	7	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	675	"AWI"	675	3179	3899	3506	24	5	3	2	0	95	74	15	2	13	5	10	2	3	42	6	26	1	0	1	15	17	0	9	5	7	31	1	1	0	1	9	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	697	"AWI"	697	3297	4055	3645	20	9	13	9	7	71	102	17	0	15	10	13	6	0	31	7	45	1	0	2	20	8	1	4	4	4	36	5	0	0	2	22	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	715	"AWI"	715	3393	4166	3757	22	6	5	22	3	71	50	13	1	17	6	11	6	0	41	14	40	2	0	0	23	8	0	1	6	10	44	2	1	0	2	27	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	735	"AWI"	735	3514	4296	3883	18	3	6	20	5	108	58	8	0	16	8	13	2	0	29	5	36	1	0	1	16	11	0	1	5	3	47	0	2	0	5	16	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	755	"AWI"	755	3632	4424	4007	19	6	5	20	8	121	48	13	1	17	4	19	1	1	28	13	31	0	0	4	7	8	0	5	1	3	38	1	2	0	3	18	0
1575	1621	"Lago do Pires"	-17.95	-42.21667	775	"AWI"	775	3742	4563	4130	16	4	10	7	8	116	66	16	0	22	4	12	0	1	25	12	32	0	0	4	20	11	0	9	5	8	28	4	2	0	1	4	1
1575	1621	"Lago do Pires"	-17.95	-42.21667	797	"AWI"	797	3878	4690	4275	17	12	7	9	4	122	71	15	0	23	7	15	2	3	31	17	25	1	0	3	19	8	1	2	0	4	22	4	1	0	3	10	1
