"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Betulaceae"	"Caprifoliaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Indeterminable"	"Isoëtes"	"Juglans"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"
977	1008	"Harrie Lake"	52.93333	-66.95	547	"AWI"	547	-98	83	-8	3	0	0	0	1	4	51	11	2	0	0	8	0	0	0	0	8	20	0	1	0	3	0	0	0	22	2	0	1	0	0	0	0	0	1	1
977	1008	"Harrie Lake"	52.93333	-66.95	555	"AWI"	555	-59	339	74	7	0	49	0	2	0	40	10	0	0	0	4	0	2	0	0	6	6	0	3	0	1	0	0	0	26	5	0	1	0	0	0	1	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	605	"AWI"	605	241	1360	705	7	0	34	0	1	0	24	11	0	1	0	4	0	1	1	0	11	17	0	1	0	0	0	0	0	0	4	1	1	0	0	1	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	629	"AWI"	629	470	1700	1034	9	0	44	0	0	0	54	13	1	1	2	4	0	0	0	0	4	17	0	2	0	0	0	0	0	28	4	0	0	0	0	2	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	630	"AWI"	630	481	1707	1047	1	0	25	1	1	0	24	7	0	0	0	6	0	0	0	0	11	7	0	1	0	2	0	0	0	26	3	0	0	0	0	3	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	650	"AWI"	650	669	1931	1306	8	0	34	0	0	0	54	17	2	2	0	8	0	2	0	0	12	16	0	5	0	1	0	1	0	0	0	0	1	0	0	3	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	690	"AWI"	690	1170	2324	1836	9	0	0	0	1	0	0	16	0	0	1	1	0	1	0	0	8	11	0	2	0	1	0	0	0	26	1	0	0	0	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	730	"AWI"	730	1944	2623	2335	20	0	56	0	1	0	82	12	1	2	0	7	0	2	0	0	11	39	0	6	0	2	0	0	0	40	2	0	1	0	0	3	2	0	1	0
977	1008	"Harrie Lake"	52.93333	-66.95	780	"AWI"	780	2545	3207	2861	13	0	44	1	0	0	55	15	0	0	1	5	0	0	0	0	3	19	0	0	0	3	0	3	0	21	1	2	0	0	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	800	"AWI"	800	2719	3406	3067	12	0	15	0	0	0	57	2	0	0	0	3	0	1	0	0	5	8	0	2	0	0	0	0	214	7	1	1	0	0	0	1	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	830	"AWI"	830	3065	3656	3366	11	0	22	0	0	0	33	10	0	0	0	3	0	1	0	0	3	12	1	3	0	0	1	0	0	15	0	0	1	0	0	0	0	0	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	860	"AWI"	860	3443	4020	3693	13	0	31	0	1	0	100	18	0	0	0	11	0	1	0	2	4	9	0	12	1	2	0	0	0	17	1	0	1	0	0	1	0	1	0	0
977	1008	"Harrie Lake"	52.93333	-66.95	880	"AWI"	880	3589	4326	3926	15	0	44	1	2	0	66	14	0	0	0	1	0	1	0	1	3	7	0	3	0	0	0	1	0	11	1	1	0	0	0	0	0	0	0	0
