"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Isoëtes"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Sambucus"	"Sarcobataceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
830	857	"Saint-Gabriel"	46.27583	-73.47583	740	"AWI"	740	9282	11061	10198	0	0	32	0	18	9	78	0	0	1	1	0	0	0	1	29	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	7	34	0	0	13	0	0	0	19	0	0	2	0	0	0	0	0	0	0	0	1	26	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	730	"AWI"	730	9173	10563	9931	1	0	36	1	113	0	54	0	0	0	5	0	0	0	0	152	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	90	0	0	0	8	0	0	11	0	75	0	0	0	0	1	0	2	0	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	735	"AWI"	735	9228	10811	10060	0	0	34	1	15	5	20	1	0	0	7	0	0	0	2	115	1	0	48	0	0	0	0	0	0	0	0	0	0	1	1	1	1	18	0	1	104	0	0	0	8	0	0	24	0	0	0	0	0	0	0	0	2	3	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	5	"AWI"	5	-100	132	12	8	0	12	0	2	0	258	0	0	0	0	1	0	0	2	4	0	1	0	41	11	0	0	1	0	0	17	0	3	0	2	0	6	18	0	0	6	0	0	0	19	0	0	0	0	0	0	0	0	0	0	3	49	12	1	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	15	"AWI"	15	-64	447	172	5	0	7	0	0	0	264	0	0	0	0	0	0	0	0	9	0	1	0	39	16	0	0	0	2	0	0	0	0	0	1	0	0	0	67	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	62	7	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	25	"AWI"	25	-41	780	332	9	0	8	0	2	0	238	0	0	3	0	1	0	1	0	3	0	1	0	36	5	0	2	2	2	0	12	0	3	0	0	0	3	0	54	0	9	0	0	0	20	0	0	0	0	0	0	0	0	1	0	2	40	2	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	50	"AWI"	50	14	1607	731	6	0	14	0	1	0	319	0	0	3	0	1	0	0	0	3	0	0	0	76	0	0	0	0	1	0	0	0	3	0	1	0	3	26	72	0	3	0	0	0	14	0	1	0	0	0	0	0	0	2	0	4	70	7	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	75	"AWI"	75	597	1758	1170	3	0	8	0	1	0	204	0	0	1	0	0	0	0	0	6	0	2	0	78	0	0	1	0	1	0	12	0	0	0	1	0	13	8	0	0	3	0	0	0	22	0	0	0	0	0	0	0	0	1	0	2	55	8	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	100	"AWI"	100	900	2089	1599	9	0	18	0	1	0	237	0	0	0	0	0	0	0	1	7	0	0	0	54	5	0	0	1	4	0	0	0	0	0	0	0	3	0	95	0	2	0	0	0	9	0	0	0	0	0	0	0	0	3	0	0	25	5	0	0
830	857	"Saint-Gabriel"	46.27583	-73.47583	125	"AWI"	125	1054	2280	1755	4	0	8	0	1	0	281	0	0	1	0	0	0	0	0	11	0	1	0	60	12	0	1	3	4	0	20	0	3	0	1	0	5	0	100	0	7	0	0	0	13	0	0	0	0	0	0	0	0	0	0	4	52	7	0	0
