"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ephedraceae"	"Fabaceae"	"Fraxinus"	"Gentianaceae"	"Juniperus"	"Liliaceae"	"Nyctaginaceae"	"Picea"	"Pinus"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Pseudotsuga"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sarcobataceae"	"Thalictrum"
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	1	"AWI"	1	-47	253	59	8	0	18	1	25	17	0	0	0	0	141	0	0	2	0	10	0	0	82	122	12	0	0	0	0	5	0	12	3	24	2	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	5	"AWI"	5	59	943	349	9	0	16	8	28	13	0	0	3	0	327	0	2	0	3	2	0	0	125	121	24	0	1	0	1	9	0	3	0	7	1	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	10	"AWI"	10	300	1528	767	12	1	17	2	34	25	0	0	4	1	480	0	1	1	0	2	0	0	98	108	16	0	1	0	1	3	0	4	0	3	2	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	15	"AWI"	15	580	2044	1195	15	0	4	4	29	17	0	0	3	0	403	0	0	0	1	0	0	0	133	104	9	0	0	0	0	4	0	0	0	3	0	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	20	"AWI"	20	904	2522	1616	22	1	18	14	45	29	0	0	7	0	372	0	0	0	0	5	0	0	95	118	21	0	0	0	1	8	0	3	0	15	1	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	25	"AWI"	25	1247	2965	2038	19	1	32	0	46	36	0	0	0	0	409	0	1	0	0	6	1	0	118	132	42	0	0	0	2	8	0	3	0	16	5	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	30	"AWI"	30	1598	3421	2460	20	0	33	15	35	31	0	1	4	0	398	0	1	0	2	5	1	0	120	120	38	1	0	0	3	4	0	2	0	130	0	2
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	35	"AWI"	35	1970	3865	2883	19	0	15	1	26	8	0	0	3	0	126	0	0	0	1	8	0	0	140	117	7	0	0	0	0	2	0	1	0	2	3	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	40	"AWI"	40	2362	4291	3310	8	0	6	5	30	18	1	1	4	0	285	0	0	0	1	2	0	0	119	114	10	0	0	1	0	3	0	3	1	6	0	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	45	"AWI"	45	2772	4677	3737	21	0	11	3	29	19	0	1	1	0	137	0	1	1	0	2	1	0	113	124	9	0	0	2	0	1	6	1	0	4	1	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	50	"AWI"	50	3177	5084	4165	18	0	14	2	26	9	0	0	3	0	46	0	0	0	0	3	0	0	114	97	14	0	0	1	1	7	0	3	0	4	1	2
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	55	"AWI"	55	3621	5456	4593	12	0	12	2	23	8	0	0	0	1	86	0	0	0	0	1	0	0	115	107	22	0	0	1	2	5	0	0	0	1	2	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	57	"AWI"	57	3806	5595	4758	10	0	14	0	27	11	0	0	0	0	30	0	0	0	6	10	0	0	108	131	13	0	0	1	1	7	3	2	0	0	2	4
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	60	"AWI"	60	4076	5811	5019	7	1	15	2	26	15	0	0	0	0	20	0	1	0	0	6	0	0	114	118	12	0	0	1	1	6	0	2	0	3	1	3
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	65	"AWI"	65	4554	6172	5445	7	1	16	4	28	25	1	0	0	0	29	0	0	0	0	11	0	0	93	103	11	0	0	0	0	13	0	1	0	5	2	5
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	70	"AWI"	70	4914	6568	5816	9	1	15	0	31	11	0	0	0	0	40	0	1	0	0	10	0	0	91	126	20	0	0	0	0	12	0	5	0	0	1	4
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	75	"AWI"	75	5266	6969	6173	10	1	15	2	22	15	2	0	0	0	27	0	0	0	0	5	2	0	115	107	9	0	0	0	2	10	0	0	0	3	3	2
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	80	"AWI"	80	5637	7342	6536	12	2	22	2	29	17	1	0	0	0	20	0	1	0	0	6	0	0	129	99	16	0	0	0	1	9	0	3	0	1	4	4
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	85	"AWI"	85	5985	7733	6894	14	0	14	2	26	13	0	0	0	0	10	0	0	0	0	8	0	0	106	129	10	0	0	0	1	10	5	0	1	0	1	3
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	90	"AWI"	90	6353	8100	7264	12	1	16	1	32	12	0	0	0	0	11	0	0	0	2	4	1	0	91	113	17	0	0	0	3	4	0	1	0	0	2	2
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	95	"AWI"	95	6747	8456	7619	12	0	14	0	20	14	0	0	0	0	17	0	0	0	0	6	0	0	118	125	9	0	0	1	0	14	0	0	0	1	2	2
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	100	"AWI"	100	7113	8806	7990	15	1	24	0	23	13	0	0	0	0	13	0	0	0	1	2	2	1	157	128	9	0	0	0	1	8	0	0	0	0	0	3
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	105	"AWI"	105	7505	9131	8360	18	1	9	0	22	12	1	0	0	0	10	0	0	0	0	0	0	0	162	110	7	0	0	0	1	9	0	3	0	0	1	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	110	"AWI"	110	7924	9440	8730	19	1	20	0	21	19	0	0	0	1	7	0	1	0	1	1	0	0	119	155	8	0	0	0	0	9	0	0	0	0	0	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	115	"AWI"	115	8347	9748	9096	19	1	8	1	16	0	0	0	0	0	9	0	0	0	0	2	0	0	123	132	2	0	0	0	3	3	0	0	0	1	1	3
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	120	"AWI"	120	8776	10017	9457	19	0	12	0	17	9	1	0	0	0	4	0	0	0	0	2	0	0	123	132	1	0	0	0	1	4	0	1	0	1	2	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	125	"AWI"	125	9305	10267	9815	18	0	9	1	32	10	0	0	0	0	8	0	0	0	0	4	0	0	110	125	8	0	0	0	0	6	3	0	0	0	1	0
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	130	"AWI"	130	9740	10606	10164	12	0	13	0	43	0	0	0	0	0	11	0	0	0	1	10	1	0	68	160	8	0	0	0	2	4	4	0	0	0	2	1
1706	1762	"Molas Pass Bog"	37.73778	-107.6975	140	"AWI"	140	10243	11598	10840	1	0	10	0	88	16	0	0	0	0	12	0	0	0	0	6	0	0	65	110	9	0	1	0	0	2	0	2	0	0	2	2
